group,dataset,paper,paper_link,year,language,size,queries,metric,ML,MD,MT,MM,text,layout,tables,figures,equations,forms,stamps,typography,public,release_link
Retrieval & RAG,ViDoRe v1,ColPali: Efficient Document Retrieval with Vision Language Models,https://arxiv.org/abs/2407.01449,2025,"EN, FR",,,nDCG@5,yes,yes,yes,yes,annotated,present,present,present,present,present,absent,absent,yes,https://huggingface.co/collections/vidore/vidore-benchmark
Retrieval & RAG,ViDoRe v2,ViDoRe Benchmark v2: Raising the Bar for Visual Retrieval,https://arxiv.org/abs/2505.17166,2025,multi,,,,yes,yes,not stated,not stated,annotated,present,present,present,present,present,absent,absent,yes,https://huggingface.co/collections/vidore/vidore-benchmark-v2
Retrieval & RAG,ViDoRe v3,ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios,https://arxiv.org/abs/2601.08620,2026,6 langs,,,,yes,not stated,not stated,yes,annotated,annotated,annotated,annotated,present,present,absent,absent,yes,https://huggingface.co/collections/vidore/vidore-benchmark-v3
Retrieval & RAG,MMDocIR,MMDocIR: Benchmarking Multimodal Retrieval for Long Documents,,2025,EN,,,,not stated,not stated,not stated,yes,annotated,annotated,annotated,annotated,present,present,absent,absent,yes,https://huggingface.co/MMDocIR
Retrieval & RAG,MMDocRAG,Benchmarking Retrieval-Augmented Multimodal Generation for Document Question Answering,https://arxiv.org/abs/2505.16470,2025,EN,,,,not stated,not stated,not stated,yes,annotated,present,annotated,annotated,present,present,absent,absent,yes,https://github.com/MMDocRAG/MMDocRAG
Retrieval & RAG,M3DocVQA,M3DocVQA: Multi-modal Multi-page Multi-document Understanding,https://arxiv.org/abs/2411.04952,2025,EN,40K+ pages,,,not stated,not stated,not stated,yes,annotated,present,present,annotated,present,present,absent,absent,yes,https://github.com/bloomberg/m3docrag
Retrieval & RAG,ViDoSeek,ViDoRAG: Visual Document Retrieval-Augmented Generation via Dynamic Iterative Reasoning Agents,https://aclanthology.org/2025.emnlp-main.464,2025,EN,,,,not stated,not stated,not stated,not stated,annotated,present,present,present,present,present,absent,absent,yes,https://github.com/Alibaba-NLP/ViDoRAG
Retrieval & RAG,UniDoc-Bench,UniDoc-Bench: A Unified Benchmark for Document-Centric Multimodal RAG,https://arxiv.org/abs/2510.03663,2025,EN,70K pages,,,not stated,yes,not stated,yes,annotated,annotated,annotated,present,present,present,absent,absent,yes,https://github.com/SalesforceAIResearch/UniDOC-Bench
Retrieval & RAG,BBox-DocVQA,BBox-DocVQA: A Large-Scale Bounding-Box Grounded Dataset for Enhancing Reasoning in Document Visual Question Answering,https://arxiv.org/abs/2511.15090,2025,EN,3.6K docs,32K,,not stated,yes,not stated,yes,annotated,annotated,present,present,present,present,absent,absent,not stated,
Document QA,DocVQA,DocVQA: A Dataset for VQA on Document Images,https://doi.org/10.1109/WACV48630.2021.00225,2021,EN,"12,767 images","50,000",ANLS,not stated,not stated,yes,not stated,annotated,present,present,absent,absent,present,absent,absent,yes,https://www.docvqa.org
Document QA,InfographicVQA,InfographicVQA,,2022,EN,"5,485 images","30,035",ANLS,not stated,not stated,not stated,yes,annotated,annotated,present,annotated,absent,absent,absent,absent,yes,https://www.docvqa.org
Document QA,ChartQA,ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning,,2022,EN,"20,882 charts","32,719",relaxed acc.,not stated,not stated,not stated,not stated,present,absent,absent,annotated,absent,absent,absent,absent,yes,https://github.com/vis-nlp/ChartQA
Document QA,TAT-DQA,Towards Complex Document Understanding by Discrete Reasoning,,2022,EN,"2,758 docs","16,558","EM, F1",not stated,not stated,not stated,yes,annotated,present,annotated,absent,absent,absent,absent,absent,yes,https://github.com/NExTplusplus/TAT-DQA
Document QA,SPIQA,SPIQA: A Dataset for Multimodal Question Answering on Scientific Papers,,2024,EN,,270K,,not stated,not stated,not stated,yes,annotated,present,annotated,annotated,present,absent,absent,absent,yes,https://huggingface.co/datasets/google/spiqa
Document QA,LongDocURL,"LongDocURL: A Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning and Locating",https://arxiv.org/abs/2412.18424,2024,EN,396 docs,"2,325",,not stated,not stated,not stated,yes,annotated,annotated,annotated,annotated,present,present,absent,absent,yes,https://github.com/dengc2023/LongDocURL
Document QA,MTVQA,MTVQA: Benchmarking Multilingual Text-Centric Visual Question Answering,https://arxiv.org/abs/2405.11985,2025,9 langs,,,,yes,not stated,not stated,not stated,annotated,present,present,present,absent,present,absent,absent,yes,https://github.com/bytedance/MTVQA
Channel-specific,FUNSD,FUNSD: A Dataset for Form Understanding in Noisy Scanned Documents,,2019,EN,199 forms,,F1,not stated,not stated,not stated,not stated,annotated,present,absent,absent,absent,annotated,absent,absent,yes,https://guillaumejaume.github.io/FUNSD/
Channel-specific,VRDU,VRDU: A Benchmark for Visually-rich Document Understanding,https://doi.org/10.1145/3580305.3599929,2023,EN,,,,not stated,not stated,not stated,not stated,annotated,present,absent,absent,absent,annotated,absent,absent,yes,https://github.com/google-research-datasets/vrdu
Channel-specific,DocLayNet,DocLayNet: A Large Human-Annotated Dataset for Document-Layout Segmentation,https://doi.org/10.1145/3534678.3539043,2022,EN,"80,863 pages",,mAP,not stated,yes,yes,yes,annotated,annotated,annotated,annotated,annotated,absent,absent,absent,yes,https://github.com/DS4SD/DocLayNet
Channel-specific,PubTables-1M,PubTables-1M: Towards Comprehensive Table Extraction from Unstructured Documents,,2022,EN,,,GriTS,not stated,not stated,not stated,not stated,present,present,annotated,absent,absent,absent,absent,absent,yes,https://github.com/microsoft/table-transformer
Channel-specific,UniMER,UniMERNet: A Universal Network for Real-World Mathematical Expression Recognition,https://arxiv.org/abs/2404.15254,2024,not stated,,,,not stated,not stated,not stated,not stated,present,absent,absent,absent,annotated,absent,absent,absent,yes,https://github.com/opendatalab/UniMERNet
Channel-specific,SPODS,"SPODS: A Dataset of Color-Official Documents and Detection of Logo, Stamp, and Signature",https://doi.org/10.1007/978-3-319-68124-5_19,2017,not stated,,,,not stated,not stated,not stated,not stated,present,present,absent,absent,absent,absent,annotated,absent,yes,https://facweb.iitkgp.ac.in/~jay/spods/index.html
Channel-specific,ReST,ICDAR 2023 Competition on Reading the Seal Title,,2023,ZH,,,,not stated,not stated,not stated,not stated,present,absent,absent,absent,absent,absent,annotated,absent,not stated,
Channel-specific,DKDS,DKDS: A Benchmark Dataset of Degraded Kuzushiji Documents with Seals for Detection and Binarization,https://arxiv.org/abs/2511.09117,2025,JA,,,,not stated,not stated,not stated,not stated,present,present,absent,absent,absent,absent,annotated,absent,yes,https://github.com/RuiyangJu/DKDS
Channel-specific,TexTAR,TexTAR: Textual Attribute Recognition in Multi-domain and Multi-lingual Document Images,https://doi.org/10.1007/978-3-032-04614-7_16,2026,multi,,,,yes,yes,not stated,not stated,annotated,present,absent,absent,absent,absent,absent,annotated,yes,https://github.com/tex-tar/tex-tar
