BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
gao-etal-2026-scaling,Scaling Beyond Context: A Survey of Multimodal Retrieval-Augmented Generation for Document Understanding,"Gao, Sensen and Zhao, Shanshan and Jiang, Xu and Duan, Lunhao and Chng, Yong Xien and Chen, Qing-Guo and Luo, Weihua and Zhang, Kaifu and Bian, Jia-Wang and Gong, Mingming",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.204/,yes,https://aclanthology.org/2026.acl-long.204/,paper
yan2026unlocking,Unlocking Multimodal Document Intelligence: From Current Triumphs to Future Frontiers of Visual Document Retrieval,"Yan, Yibo and Huo, Jiahao and Feng, Guanbo and Ou, Mingdong and Cao, Yi and Zou, Xin and Liu, Shuliang and Lyu, Yuanhuiyi and Huang, Yu and Li, Jungang and Zheng, Kening and Zheng, Xu and Yu, Philip S. and Kwok, James and Hu, Xuming",2026,arXiv preprint arXiv:2602.19961,,https://arxiv.org/abs/2602.19961,yes,https://arxiv.org/abs/2602.19961,paper
zhang2025rolesmllm,Roles of MLLMs in Visually Rich Document Retrieval for RAG: A Survey,"Zhang, Xiantao",2025,Proc. IJCNLP-AACL,,,yes,https://arxiv.org/abs/2601.03262,arXiv
ding-etal-2026-survey,"A Survey on MLLM-based Visually Rich Document Understanding: Methods, Challenges, and Emerging Trends","Ding, Yihao and Luo, Siwen and Dai, Yue and others",2026,Findings Assoc. Comput. Linguistics: ACL,,https://aclanthology.org/2026.findings-acl.652/,yes,https://aclanthology.org/2026.findings-acl.652/,paper
ding2024vrdusurvey,Deep Learning based Visually Rich Document Content Understanding: A Survey,"Ding, Yihao and Han, Soyeon Caren and Lee, Jean and Hovy, Eduard",2026,Artificial Intelligence Review,,,yes,https://arxiv.org/abs/2408.01287,arXiv
abootorabi-etal-2025-ask,Ask in Any Modality: A Comprehensive Survey on Multimodal Retrieval-Augmented Generation,"Abootorabi, Mohammad Mahdi and Zobeiri, Amirhosein and Dehghani, Mahdi and others",2025,Findings Assoc. Comput. Linguistics: ACL,,https://aclanthology.org/2025.findings-acl.861/,yes,https://aclanthology.org/2025.findings-acl.861/,paper
mei2025multimodalragsurvey,A Survey of Multimodal Retrieval-Augmented Generation,"Mei, Lang and Mo, Siyu and Yang, Zhihan and Chen, Chong",2025,arXiv preprint arXiv:2504.08748,,,yes,https://arxiv.org/abs/2504.08748,arXiv
ragvisionsurvey2025,Retrieval Augmented Generation and Understanding in Vision: A Survey and New Outlook,"Zheng, Xu and Weng, Ziqiao and Lyu, Yuanhuiyi and Jiang, Lutao and Xue, Haiwei and Ren, Bin and Paudel, Danda and Sebe, Nicu and Gool, Luc Van and Hu, Xuming",2025,arXiv preprint arXiv:2503.18016,,,yes,https://arxiv.org/abs/2503.18016,arXiv
kasem2024tablesurvey,Deep Learning for Table Detection and Structure Recognition: A Survey,"Kasem, Mahmoud and others",2024,ACM Comput. Surv.,10.1145/3657281,,yes,https://doi.org/10.1145/3657281,paper
alaei2016logosealsurvey,Logo and Seal Based Administrative Document Image Retrieval: A Survey,"Alaei, Alireza and Roy, Partha Pratim and Pal, Umapada",2016,Computer Science Review,10.1016/j.cosrev.2016.09.002,,yes,https://doi.org/10.1016/j.cosrev.2016.09.002,paper
zanibbi2025mathir,Mathematical Information Retrieval: Search and Question Answering,"Zanibbi, Richard and Mansouri, Behrooz and Agarwal, Anurag",2025,Foundations and Trends in Information Retrieval,,,yes,https://scholar.google.com/scholar?q=Mathematical+Information+Retrieval%3A+Search+and+Question+Answering,Scholar search
zhang2024documentparsing,"Document Parsing Unveiled: Techniques, Challenges and Prospects for Structured Information Extraction","Zhang, Qintong and Wang, Bin and Huang, Victor Shea-Jay and Zhang, Junyuan and Wang, Zhengren and Liang, Hao and He, Conghui and Zhang, Wentao",2024,arXiv preprint arXiv:2410.21169,,,yes,https://arxiv.org/abs/2410.21169,arXiv
