key,title,authors,venue,year,preprint,decision,reason
gao-etal-2026-scaling,Scaling Beyond Context: A Survey of Multimodal Retrieval-Augmented Generation for Document Understanding,"Gao, Sensen and Zhao, Shanshan and Jiang, Xu and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
yan2026unlocking,Unlocking Multimodal Document Intelligence: From Current Triumphs to Future Frontiers of Visual Document Retrieval,"Yan, Yibo and others",arXiv preprint arXiv:2602.19961,2026,yes,included,
zhang2025rolesmllm,Roles of MLLMs in Visually Rich Document Retrieval for RAG: A Survey,"Zhang, Xiantao",Proc. IJCNLP-AACL,2025,no,included,
ding-etal-2026-survey,"A Survey on MLLM-based Visually Rich Document Understanding: Methods, Challenges, and Emerging Trends","Ding, Yihao and Luo, Siwen and Dai, Yue and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
ding2024vrdusurvey,Deep Learning based Visually Rich Document Content Understanding: A Survey,"Ding, Yihao and others",Artificial Intelligence Review,2026,no,included,
abootorabi-etal-2025-ask,Ask in Any Modality: A Comprehensive Survey on Multimodal Retrieval-Augmented Generation,"Abootorabi, Mohammad Mahdi and Zobeiri, Amirhosein and Dehghani, Mahdi and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
mei2025multimodalragsurvey,A Survey of Multimodal Retrieval-Augmented Generation,"Mei, Lang and others",arXiv preprint arXiv:2504.08748,2025,yes,included,
ragvisionsurvey2025,Retrieval Augmented Generation and Understanding in Vision: A Survey and New Outlook,"Zhao, Xu and others",arXiv preprint arXiv:2503.18016,2025,yes,included,
graphragsurvey2024,Graph Retrieval-Augmented Generation: A Survey,"Peng, Boci and Zhu, Yun and Liu, Yongchao and others",ACM Trans. Inf. Syst.,2026,no,included,
kasem2024tablesurvey,Deep Learning for Table Detection and Structure Recognition: A Survey,"Kasem, Mahmoud and others",ACM Comput. Surv.,2024,no,included,
alaei2016logosealsurvey,Logo and Seal Based Administrative Document Image Retrieval: A Survey,"Alaei, Alireza and Roy, Partha Pratim and Pal, Umapada",Computer Science Review,2016,no,included,
giotis2017wordspottingsurvey,A Survey of Document Image Word Spotting Techniques,"Giotis, Angelos P. and Sfikas, Giorgos and Gatos, Basilis and Nikou, Christophoros",Pattern Recognition,2017,no,included,
zanibbi2025mathir,Mathematical Information Retrieval: Search and Question Answering,"Zanibbi, Richard and Mansouri, Behrooz and Agarwal, Anurag",Foundations and Trends in Information Retrieval,2025,no,included,
zhang2024documentparsing,"Document Parsing Unveiled: Techniques, Challenges and Prospects for Structured Information Extraction","Zhang, Qintong and Huang, Victor Shea-Jay and Wang, Bin and Zhang, Junyuan and Wang, Zhengren and Liang, Hao and Wang, Shawn and Lin, Matthieu and Zhang, Wentao and He, Conghui",arXiv preprint arXiv:2410.21169,2024,yes,included,
wang2025documentintelligencellm,Document Intelligence in the Era of Large Language Models: A Survey,"Wang, Zhengyuan and others",arXiv preprint arXiv:2510.13366,2025,yes,included,
fu-etal-2025-multimodal,Multimodal Large Language Models for Text-rich Image Understanding: A Comprehensive Review,"Fu, Pei and Guan, Tongkun and Wang, Zining and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
anon2026documentintelligence,"Large Language Models in Document Intelligence: A Comprehensive Survey, Recent Advances, Challenges, and Future Trends",Anonymous,ACM Trans. Inf. Syst.,2026,no,included,
