No,Type,Title,Authors,Track,Issue,Paper_Link,PDF_Link
1,Dataset,Beyond Content: A Comprehensive Speech Toxicity Dataset and Detection Framework Incorporating Paralinguistic Cues,"Zhongjie Ba, Liang Yi, Peng Cheng, Qingcao Li, Qinglong Wang, Li Lu",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36960,https://ojs.aaai.org/index.php/AAAI/article/view/36960/40922
2,Dataset,RareAgents: Autonomous Multi-disciplinary Team for Rare Disease Diagnosis and Treatment,"Xuanzhong Chen, Ye Jin, Xiaohao Mao, Lun Wang, Shuyang Zhang, Ting Chen",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36969,https://ojs.aaai.org/index.php/AAAI/article/view/36969/40931
3,Dataset,SIDE: Surrogate Conditional Data Extraction from Diffusion Models,"Yunhao Chen, Shujie Wang, Difan Zou, Xingjun Ma",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36972,https://ojs.aaai.org/index.php/AAAI/article/view/36972/40934
4,Dataset,ProAR: Probabilistic Autoregressive Modeling for Molecular Dynamics,"Kaiwen Cheng, Yutian Liu, Zhiwei Nie, Mujie Lin, Yanzhen Hou, Yiheng Tao, Chang Liu, Jie Chen, Youdong Mao, Yonghong Tian",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36974,https://ojs.aaai.org/index.php/AAAI/article/view/36974/40936
5,Dataset,InteChar: A Unified Oracle Bone Character List for Ancient Chinese Language Modeling,"Xiaolei Diao, Zhihan Zhou, Lida Shi, Ting Wang, Ruihua Qi, Daqian Shi, Hao Xu",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36981,https://ojs.aaai.org/index.php/AAAI/article/view/36981/40943
6,Dataset,Learning from Long-Term Engagement: Adaptive Tutoring Dialogue Planning for Personalized Education,"Zhiang Dong, Zhenlong Dai, Xiangwei Lv, Jingyuan Chen",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36984,https://ojs.aaai.org/index.php/AAAI/article/view/36984/40946
7,Dataset,3DAlign-DAER: Dynamic Attention Policy and Efficient Retrieval Strategy for Fine-grained 3D-Text Alignment at Scale,"Yijia Fan, Jusheng Zhang, Kaitong Cai, Jing Yang, Jian Wang, Keze Wang",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36987,https://ojs.aaai.org/index.php/AAAI/article/view/36987/40949
8,Dataset,Failure Localization in Multi-Agent Code Generation via Knowledge-Guided and Transferable Reasoning,"Mingyang Geng, Shanzhi Gu, Zhipeng Liu, Chuanfu Xu, Zhaoyang Qu, Haotian Wang",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/36993,https://ojs.aaai.org/index.php/AAAI/article/view/36993/40955
9,Dataset,PanFoMa: A Lightweight Foundation Model and Benchmark for Pan-Cancer,"Xiaoshui Huang, Tianlin Zhu, Yifan Zuo, Xue Xia, Zonghan Wu, Jiebin Yan, Dingli Hua, Zongyi Xu, Yuming Fang, Jian Zhang",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/37008,https://ojs.aaai.org/index.php/AAAI/article/view/37008/40970
10,Dataset,"FinRpt: Dataset, Evaluation System and LLM-based Multi-agent Framework for Equity Research Report Generation","Song Jin, Shuqi Li, Shukun Zhang, Rui Yan",AAAI Technical Track on Application Domains I,Vol. 40 No. 1: AAAI-26 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/37014,https://ojs.aaai.org/index.php/AAAI/article/view/37014/40976
