No,Type,Title,Authors,Track,Paper_Link,PDF_Link,arXiv_Link
1,Dataset,MedBLIP: Bootstrapping Language-Image Pre-training from 3D Medical Images and Texts,"Qiuhui Chen, Yi Hong",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Chen_MedBLIP_Bootstrapping_Language-Image_Pre-training_from_3D_Medical_Images_and_Texts_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Chen_MedBLIP_Bootstrapping_Language-Image_Pre-training_from_3D_Medical_Images_and_Texts_ACCV_2024_paper.pdf,http://arxiv.org/abs/2305.10799
2,Dataset,ELLAR: An Action Recognition Dataset for Extremely Low-Light Conditions with Dual Gamma Adaptive Modulation,"Minse Ha, Wan-Gi Bae, Geunyoung Bae, Jong Taek Lee",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Ha_ELLAR_An_Action_Recognition_Dataset_for_Extremely_Low-Light_Conditions_with_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Ha_ELLAR_An_Action_Recognition_Dataset_for_Extremely_Low-Light_Conditions_with_ACCV_2024_paper.pdf,
3,Dataset,FG-CXR: A Radiologist-Aligned Gaze Dataset for Enhancing Interpretability in Chest X-Ray Report Generation,"Trong Thang Pham, Ngoc-Vuong Ho, Nhat-Tan Bui, Thinh Phan, Patel Brijesh, Donald Adjeroh, Gianfranco Doretto, Anh Nguyen, Carol C. Wu, Hien Nguyen, Ngan Le",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Pham_FG-CXR_A_Radiologist-Aligned_Gaze_Dataset_for_Enhancing_Interpretability_in_Chest_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Pham_FG-CXR_A_Radiologist-Aligned_Gaze_Dataset_for_Enhancing_Interpretability_in_Chest_ACCV_2024_paper.pdf,
4,Dataset,Guide3D: A Bi-planar X-ray Dataset for Guidewire Segmentation and 3D Reconstruction,"Tudor Jianu, Baoru Huang, Hoan Nguyen, Binod Bhattarai, Tuong Do, Erman Tjiputra, Quang Tran, Pierre Berthet-Rayne, Ngan Le, Sebastiano Fichera, Anh Nguyen",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Jianu_Guide3D_A_Bi-planar_X-ray_Dataset_for_Guidewire_Segmentation_and_3D_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Jianu_Guide3D_A_Bi-planar_X-ray_Dataset_for_Guidewire_Segmentation_and_3D_ACCV_2024_paper.pdf,
5,Dataset,NT-VOT211: A Large-Scale Benchmark for Night-time Visual Object Tracking,"Yu Liu, Arif Mahmood, Muhammad Haris Khan",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Liu_NT-VOT211_A_Large-Scale_Benchmark_for_Night-time_Visual_Object_Tracking_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Liu_NT-VOT211_A_Large-Scale_Benchmark_for_Night-time_Visual_Object_Tracking_ACCV_2024_paper.pdf,
6,Dataset,Strong but simple: A Baseline for Domain Generalized Dense Perception by CLIP-based Transfer Learning,"Christoph Hümmer, Manuel Schwonberg, Liangwei Zhou, Hu Cao, Alois Knoll, Hanno Gottschalk",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Hummer_Strong_but_simple_A_Baseline_for_Domain_Generalized_Dense_Perception_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Hummer_Strong_but_simple_A_Baseline_for_Domain_Generalized_Dense_Perception_ACCV_2024_paper.pdf,
7,Dataset,DFIMat: Decoupled Flexible Interactive Matting in Multi-Person Scenarios,"Siyi Jiao, Wenzheng Zeng, Changxin Gao, Nong Sang",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Jiao_DFIMat_Decoupled_Flexible_Interactive_Matting_in_Multi-Person_Scenarios_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Jiao_DFIMat_Decoupled_Flexible_Interactive_Matting_in_Multi-Person_Scenarios_ACCV_2024_paper.pdf,http://arxiv.org/abs/2410.09788
8,Dataset,OneDiff: A Generalist Model for Image Difference Captioning,"Erdong Hu, Longteng Guo, Tongtian Yue, Zijia Zhao, Shuning Xue, Jing Liu",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Hu_OneDiff_A_Generalist_Model_for_Image_Difference_Captioning_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Hu_OneDiff_A_Generalist_Model_for_Image_Difference_Captioning_ACCV_2024_paper.pdf,http://arxiv.org/abs/2407.05645
9,Dataset,Telling Stories for Common Sense Zero-shot Action Recognition,"Shreyank N Gowda, Laura Sevilla-Lara",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Gowda_Telling_Stories_for_Common_Sense_Zero-shot_Action_Recognition_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Gowda_Telling_Stories_for_Common_Sense_Zero-shot_Action_Recognition_ACCV_2024_paper.pdf,http://arxiv.org/abs/2309.17327
10,Dataset,Tails Tell Tales: Chapter-wide Manga Transcriptions with Character Names,"Ragav Sachdeva, Gyungin Shin, Andrew Zisserman",Main,https://openaccess.thecvf.com/content/ACCV2024/html/Sachdeva_Tails_Tell_Tales_Chapter-wide_Manga_Transcriptions_with_Character_Names_ACCV_2024_paper.html,https://openaccess.thecvf.com/content/ACCV2024/papers/Sachdeva_Tails_Tell_Tales_Chapter-wide_Manga_Transcriptions_with_Character_Names_ACCV_2024_paper.pdf,http://arxiv.org/abs/2408.00298
