No,Type,Title
1,Dataset,Vision Model Inference on Mobile Devices: A Large-Scale Delegate-Aware Benchmark Beyond FLOPs
2,Dataset,GeoDisaster: Benchmarking Orchestrated Agents for Operational Disaster Geo-Intelligence
3,Dataset,Benchmarking RAW and RGB Restoration for Image Signal Processors
4,Dataset,VOR-Bench: A Human Perception-Driven Benchmark for Video Object Removal
5,Dataset,CountVideoBench: A Benchmark to Evaluate Prediction Biases on the Object Counting task by Video-Language Models
6,Dataset,A New Multicenter Testicular US Dataset and a Lightweight Cond-UNet for Generalization in US Segmentation
7,Dataset,Are General-Purpose Vision Models All We Need for 2D Medical Image Segmentation? A Cross-Dataset Empirical Study
8,Dataset,AliGen: Benchmarking and Advancing Few-Shot Industrial Anomaly Generation under Object-Level Misalignment
9,Dataset,"Benchmarking Interaction, Beyond Policy: a Reproducible Benchmark for Collaborative Instance Object Navigation"
10,Dataset,HNH40K: A Robust Dataset and Risk-Weighted Learning for Hand Filtering
11,Dataset,DocAttriBench: Benchmarking Answer Grounding in Document Visual Question Answering
12,Dataset,Statistical Prior-guided Dense Assembly for Optimization-free Object Detection Dataset Distillation
13,Dataset,EgoMaize: A First-Person Maize Instance Segmentation Benchmark under Severe Field Occlusion
14,Dataset,A Structured Benchmark for Text-Guided Anomaly Detection: When Language Stops Conditioning the Decision
15,Dataset,Advancing Semiconductor Inspection: A New Dataset and Approach for Robust Anomaly Detection with Large Vision Language Models
16,Dataset,$\text{DA}^2$: Dataset-Aware Adaptive Augmentation for Few-Shot Class-Incremental Learning
17,Dataset,RevalExo: A Functional Daily-Activity Benchmark for Inertial and Visual Locomotion Mode Recognition in Older Adults and Clinical Cohorts
18,Dataset,SynthFaces: Balanced Large Scale Human Dataset
19,Dataset,Motion-Equivariant Pseudo-Video Augmentation: Video-Style Generalization from a Single Static Polyp Dataset
20,Dataset,SynGlass: A Large-Scale Synthetic Dataset for Fine-Grained Eyeglasses Segmentation
21,Dataset,Advancing Trademark Image Retrieval: A Real-World Benchmark and Foundation Model Adaptation
22,Method,From Static to Interactive: Adapting Visual in-Context Learners for User-Driven Tasks
23,Method,Geometry-Constrained Dynamic Hypergraph Convolutional Network with Contrastive Score Refinement for Skeleton-Based Action Recognition
24,Method,Beyond Direct Answers: Camera Motion Grounded Training and Evaluation for Vision-Language Models
25,Method,Towards Conditional Feature Alignment for Cross-Domain Counting
26,Method,Recursive Flow: Fast and Stable Generation via Next State Prediction
27,Method,CR-JEPA: Cross-Modal Joint-Embedding Predictive Learning for Remote Sensing Image Retrieval
28,Method,Recognising BSL Fingerspelling in Continuous Signing Sequences
29,Method,Self-Attention And Beyond the Infinite: Towards Linear Transformers with Infinite Self-Attention
30,Method,PruneNAS: Constraint Aware Neural Architecture Search based Pruning
31,Method,Asset-Grounded Screenshot-to-Code: Bridging the Visual Asset Gap in UI Generation
32,Method,SCE-CLIP: Geometry-Guided Attribute Decoupling via Spatial Consistency Enhancement
33,Method,CoSeP: Complementary Separability Pruning via Class-Separability Clustering
34,Method,Reasmory: 3D Reconstruction as Explicit Memory for VLMs Spatial Reasoning
35,Method,SAT-Net: Semantic-Aware Adapter Tuning for Joint Thyroid Nodule Segmentation and Malignancy Classification
36,Method,Multimodal Action Diffusion for Robust End-to-End Autonomous Driving
37,Method,Cycle Consistency in Video Object-Centric Learning
38,Method,Camera-Agnostic Pruning of 3D Gaussian Splats via Descriptor-Based Beta Evidence
39,Method,EA-IID : Exposure-Aware Intrinsic Image Decomposition for Exposure Correction
40,Method,TriCCOT: Tri-part Convolutional Conformal Transformer for Onboard Space Object Detection
41,Method,HybridMamba: Hierarchical State-Space Temporal Encoding for Sub-Second Crash Localization in Surveillance Video
42,Method,Boundary Distance Regression and Adaptive Depth Allocation for Temporal Action Localization
43,Method,Prioritizing Faithfulness: Efficient Zero-Shot Novel View Synthesis via Homography-Guided SA-RePaint
44,Method,GaussVLA: Geometry-Aware Spatial Reasoning for Vision-Language-Action Model
45,Method,AURA : AUdio-dRiven streaming Avatar
46,Method,SignFML: Gloss-Free Sign Language Production via Multi-Scale Latent Flow Matching
47,Method,GeoMAD: Geometry-Aware Multi-View Anomaly Detection via Deformable Fusion and Distributional Alignment
48,Method,Composed Historical Image Retrieval by Modeling Temporal Representations
49,Method,MorphoStyle: Motion Style Transfer with Morphology Control
50,Method,Memory-Bounded Continuation of Greedy Sampling for Continual Anomaly Detection
51,Method,PhysEdit: Accelerating Physics-Sensitive Image Editing with Risk-Aware Caching
52,Method,Efficient and Explicit Emotion-Controllable Video Dubbing Synthesis via Audio-Visual Alignment onto Implicit Motion Space
53,Method,Parameter-efficient Latent Diffusion for Label-free Virtual Staining in High-content Microscopy
54,Method,TeCoNeRV: Leveraging Temporal Coherence for Compressible Neural Representations for Videos
55,Method,Hyper$^2$: Unleashing Hyperbolic Geometry's Full Potential via Dual-Space Consistency
56,Method,CoDehaze: Color-Driven Diffusion with Structured Haze Guidance for Image Dehazing
57,Method,ML-CLIPSim: Multi-Layer CLIP Similarity for Machine-Oriented Image Quality
58,Method,3D-MRL: Nested Multimodal 3D Representations via Matryoshka Representation Learning
59,Method,VSDPose: Voxel-based Self-distillation for Multi-view 3D Human Pose Estimation
60,Method,Geometry-Preserving Robust Neural Reconstruction via Statistical Reweighting
61,Method,Neural Residual Maps: Proposal-Level False Positive Suppression for Fixed-Camera Object Detection
62,Method,MicroBT: Centroid-Guided Synergistic Learning for Multi-Modal Micro Brain Tumor Segmentation and Counting
63,Method,Towards A More Transparent Understanding of Weight-Averaged Model Merging: A Qualitative and Quantitative Study
64,Method,Brush-2-Blendshape: Interpretable User-Friendly Blendshapes for Editing Avatar Expressions
65,Method,SLICE: Semantic Latent Injection via Compartmentalized Embedding for Image Watermarking
66,Method,CamoNeXt: Structure-Preserving Camouflage Generation with Background-Conditioned Diffusion
67,Method,TQD-Track: Temporal Query Denoising for 3D Multi-Object Tracking
68,Method,Post-training VLMs for Video Mistake Detection
69,Method,SAGE-OR: Semi-supervised Adaptive Scene Graph Generation for Operating Rooms
70,Method,SELECT: SELEctive Context Transfer for Class-Incremental Semantic Segmentation
71,Method,Restoration Utility Maps: Diagnosing and Refining Face Restoration for Recognition
