No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
1,Dataset,LLIE-Face: A multi-modal dataset for low-light facial image enhancement,"Haoyuan Sun, Dahua Gao, Pengfei He, Xiaoqian Li, Fuming Wang",263.0,,2026-1,Issue/Volume,10.1016/j.cviu.2025.104576,https://doi.org/10.1016/j.cviu.2025.104576
2,Dataset,A vision-based framework and dataset for human behavior understanding in industrial assembly lines,"Konstantinos Papoutsakis, Nikolaos Bakalos, Athena Zacharia, Konstantinos Fragkoulis, Georgia Kapetadimitri, Maria Pateraki",263.0,,2026-1,Issue/Volume,10.1016/j.cviu.2025.104592,https://doi.org/10.1016/j.cviu.2025.104592
3,Dataset,Extending Large Language Models to multimodality for non-English languages,"Elio Musacchio, Lucia Siciliani, Pierpaolo Basile, Giovanni Semeraro",264.0,,2026-2,Issue/Volume,10.1016/j.cviu.2025.104618,https://doi.org/10.1016/j.cviu.2025.104618
4,Dataset,EventSleep2: Sleep activity recognition on complete night sleep recordings with an event camera,"Nerea Gallego, Carlos Plou, Miguel Marcos, Pablo Urcola, Luis Montesano, Eduardo Montijano, Ruben Martinez-Cantin, Ana C. Murillo",264.0,,2026-2,Issue/Volume,10.1016/j.cviu.2025.104619,https://doi.org/10.1016/j.cviu.2025.104619
5,Dataset,Human-in-the-loop RGB semantic segmentation for intuitive teaching of novel grasping tasks via few-shot adaptation of lightweight neural networks,"Furkan Kaynar, Sudarshan Rajagopalan, Mahmoud Krichene, Eckehard Steinbach",267.0,,2026-4,Issue/Volume,10.1016/j.cviu.2025.104620,https://doi.org/10.1016/j.cviu.2025.104620
6,Dataset,Slope-Track: Multiple Object Tracking on Ski Slopes,"M’Saydez Campbell, Christophe Ducottet, Damien Muselet, Rémi Emonet",264.0,,2026-2,Issue/Volume,10.1016/j.cviu.2026.104663,https://doi.org/10.1016/j.cviu.2026.104663
7,Dataset,Enhancing workplace safety through assistive computer vision: Real-time hazard recognition using the Workplace Hazards Dataset (WHD),"Masoud Ayoubi, Mehrdad Arashpour",265.0,,2026-3,Issue/Volume,10.1016/j.cviu.2026.104681,https://doi.org/10.1016/j.cviu.2026.104681
8,Dataset,A survey on class-agnostic counting: Advancements from reference-based to open-world text-guided approaches,"Luca Ciampi, Ali Azmoudeh, Elif Ecem Akbaba, Erdi Sarıtaş, Ziya Ata Yazıcı, Hazım Kemal Ekenel, Giuseppe Amato, Fabrizio Falchi",267.0,,2026-4,Issue/Volume,10.1016/j.cviu.2026.104703,https://doi.org/10.1016/j.cviu.2026.104703
9,Dataset,BARD: A Basketball Action Recognition Dataset for multi-label classification,"Gabriele Giudici, Andrea Maurino, Paola Zuccolotto",267.0,,2026-4,Issue/Volume,10.1016/j.cviu.2026.104713,https://doi.org/10.1016/j.cviu.2026.104713
10,Dataset,Once Upon a Goal: Towards orientation-based shot metrics in football,"Marc Gutiérrez-Pérez, Calvin Yeung, Keisuke Fujii, Antonio Agudo",268.0,,2026-5,Issue/Volume,10.1016/j.cviu.2026.104732,https://doi.org/10.1016/j.cviu.2026.104732
11,Dataset,SAM-BM: An adversarial benchmark for loss functions and multi-scale objects in segment anything models,"Huanhuan Lv, Songru Jiang, Yuhao Bai, Tuohang Wan, Chang Gou, Lijun Chen",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104789,https://doi.org/10.1016/j.cviu.2026.104789
12,Dataset,FOOTPASS: A multi-modal multi-agent tactical context dataset for play-by-play action spotting in soccer broadcast videos,"Jérémie Ochin, Raphaël Chekroun, Bogdan Stanciulescu, Sotiris Manitsaris",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104790,https://doi.org/10.1016/j.cviu.2026.104790
13,Dataset,Adaptive Blind All-in-One Image Restoration,"David Serrano-Lozano, Luis Herranz, Shaolin Su, Javier Vazquez-Corral",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104795,https://doi.org/10.1016/j.cviu.2026.104795
