No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
1,Dataset,Fine-Grained Text-to-Video Retrieval for Camera-Trap Data,"Valentin Gabeff, Baptiste Maquignaz, Jiaxian Shan, Sepideh Mamooler, Gencer Sumbul, Blair Costelloe, Devis TUIA, Alexander Mathis",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/5474,
2,Dataset,Molecular Identifier Visual Prompting and Verifiable Reinforcement Learning for Chemical Reaction Diagram Parsing,"Jiahe Song, Chuang Wang, Yinfan Wang, Hao Zheng, Bowen Jiang, Rui Nie, Xingjian Wei, Junyuan Gao, Yubin Wang, Bin Wang, Lijun Wu, Jiang Wu, Qian Yu, Conghui He",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4646,
3,Dataset,Restoring Linguistic Grounding in VLA Models via Train-Free Attention Recalibration,"Ninghao Zhang, Bin Zhu, Shijie Zhou, Jingjing Chen",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/5241,
4,Dataset,"Towards Flexible, Natural, Efficient Interaction for Conversational Talking Face Generation","Baiqin Wang, Sen Chen, Jiankuo Zhao, Xiangyu Liu, Zhen Lei, Xiangyu Zhu",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4948,
5,Dataset,OmniHuman: A Large-scale Dataset and Benchmark for Human-Centric Video Generation,"Lei Zhu, xing cai, Yingjie Chen, Li YiHeng, Binxin Yang, Hao Liu, Jie Chen, Chen Li, Jing LYU",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4251,
6,Dataset,PPTArena: A Benchmark for PowerPoint Editing,"Michael Ofengenden, Yunze Man, Ziqi Pang, Liang-Yan Gui, Yu-Xiong Wang",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4154,
7,Dataset,Video2Reaction: Mapping Video to Audience Reaction Distribution in the Wild,"Trang Nguyen, Sidong Zhang, Shiv Shankar, Gauri Jagatap, Deepak Chandran, Andrea Fanelli, Madalina Fiterau",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/3525,
8,Dataset,StarDojo: Benchmarking Open-Ended Behaviors of Agentic Multimodal LLMs in Production–Living Simulations with Stardew Valley,"Weihao Tan, Changjiu Jiang, Yu Duan, Mingcong Lei, Li JiaGeng, Yitian Hong, Xinrun Wang, Bo An",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/5361,
9,Dataset,Counting Trees from Satellite Imagery with Noisy Supervision,"Dimitri Gominski, Maurice Mugabowindekwe, Qiue XU, Xiaowei Tong, Martin Brandt, Hieu Le, Rasmus Fensholt, Dimitris Samaras, Loic Landrieu",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/3817,
10,Dataset,Few-Shot Synthetic Image Attribution: Identifying Unseen Generators with Limited Samples,"Shiyu Wu, Shuyan Li, Jing Li, Jing Liu, Yequan Wang",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/5926,
11,Dataset,MMEarth-Bench: Global Model Adaptation via Multimodal Test-Time Training,"Lucia Gordon, Serge Belongie, Christian Igel, Nico Lang",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4577,
12,Dataset,OpenGround: Planning-based Online Perception for Open-World 3D Visual Grounding,"Wenyuan Huang, zhenyu zhang, Zhao Wang, Zhou Wei, Ting Huang, Fang Zhao, Jian Yang",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/3487,
13,Dataset,Gripper-aware Vision Language Action Models,"Hanyi Zhang, Zihong Luo, Tianyu Li, Khang Nguyen, Basu Hela, Shreyas Kumar, Ngoc Tran, Feng Dai, Charith Munasinghe, Jorge Queralta, Giovanni Toffetti, Khoa Vo, Ngan Le, Ravi Prakash, Quan Vuong, Tung Ta, Long Hu, Anh Nguyen, Baoru Huang",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4272,
14,Dataset,RegHead: Non-Humanoid Head Blendshapes via Feed-Forward Registration,"Jiahao Luo, Hao Zhang, Jianqi Chen, Yijie He, Jiaxu Zou, Michael Vasilkovsky, Sergei Korolev, Sergey Tulyakov, Chaoyang Wang, Peter Wonka, James Davis, Jian Wang",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/5674,
15,Dataset,P3-SAM: Native 3D Part Segmentation,"CHANGFENG MA, YANG LI, Xinhao Yan, Jiachen Xu, Yunhan Yang, Chunshi Wang, Zibo Zhao, Yanwen Guo, Zhuo Chen, Chunchao Guo",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/4483,
16,Dataset,HCSU: A Dataset and Benchmark for Fine-Grained Historical Calligraphy Style Understanding,"Yinsheng Yao, Yan Liu, Chen Ye",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/5409,
17,Dataset,GeoBrowse: A Geolocation Benchmark for Agentic Tool Use with Expert-Annotated Reasoning Traces,"Xinyu Geng, Yanjing Xiao, Yuyang Zhang, Hanwen Wang, Xinyan Liu, Rui Min, Tianqing Fang, Yi Ren Fung",Accept Poster,https://eccv.ecva.net/virtual/2026/poster/3259,
