No,Type,Title,Authors,Track,Paper_Link,PDF_Link
1,Method,Towards Automated Error Discovery: A Study in Conversational AI,"Dominic Petrak, Thy Thy Tran, Iryna Gurevych",Main,https://aclanthology.org/2025.emnlp-main.1/,https://aclanthology.org/2025.emnlp-main.1.pdf
2,Method,Break the Checkbox: Challenging Closed-Style Evaluations of Cultural Alignment in LLMs,"Mohsinul Kabir, Ajwad Abrar, Sophia Ananiadou",Main,https://aclanthology.org/2025.emnlp-main.2/,https://aclanthology.org/2025.emnlp-main.2.pdf
3,Dataset,Biased Tales: Cultural and Topic Bias in Generating Children’s Stories,"Donya Rooein, Vilém Zouhar, Debora Nozza, Dirk Hovy",Main,https://aclanthology.org/2025.emnlp-main.3/,https://aclanthology.org/2025.emnlp-main.3.pdf
4,Method,Large Language Models as Realistic Microservice Trace Generators,"Donghyun Kim, Sriram Ravula, Taemin Ha, Alex Dimakis, Daehyeok Kim, Aditya Akella",Main,https://aclanthology.org/2025.emnlp-main.4/,https://aclanthology.org/2025.emnlp-main.4.pdf
5,Dataset,JUDGEBERT: Assessing Legal Meaning Preservation Between Sentences,"David Beauchemin, Michelle Albert-Rochette, Richard Khoury, Pierre-Luc Déziel",Main,https://aclanthology.org/2025.emnlp-main.5/,https://aclanthology.org/2025.emnlp-main.5.pdf
6,Dataset,QFrCoLA: a Quebec-French Corpus of Linguistic Acceptability Judgments,"David Beauchemin, Richard Khoury",Main,https://aclanthology.org/2025.emnlp-main.6/,https://aclanthology.org/2025.emnlp-main.6.pdf
7,Method,Revisiting LLM Value Probing Strategies: Are They Robust and Expressive?,"Siqi Shen, Mehar Singh, Lajanugen Logeswaran, Moontae Lee, Honglak Lee, Rada Mihalcea",Main,https://aclanthology.org/2025.emnlp-main.7/,https://aclanthology.org/2025.emnlp-main.7.pdf
8,Method,A Systematic Analysis of Base Model Choice for Reward Modeling,"Kian Ahrabian, Pegah Jandaghi, Negar Mokhberian, Sai Praneeth Karimireddy, Jay Pujara",Main,https://aclanthology.org/2025.emnlp-main.8/,https://aclanthology.org/2025.emnlp-main.8.pdf
9,Method,Comparing Specialised Small and General Large Language Models on Text Classification: 100 Labelled Samples to Achieve Break-Even Performance,"Branislav Pecher, Ivan Srba, Maria Bielikova",Main,https://aclanthology.org/2025.emnlp-main.9/,https://aclanthology.org/2025.emnlp-main.9.pdf
10,Method,Is the Top Still Spinning? Evaluating Subjectivity in Narrative Understanding,"Melanie Subbiah, Akankshya Mishra, Grace Kim, Liyan Tang, Greg Durrett, Kathleen McKeown",Main,https://aclanthology.org/2025.emnlp-main.10/,https://aclanthology.org/2025.emnlp-main.10.pdf
11,Dataset,MathTutorBench: A Benchmark for Measuring Open-ended Pedagogical Capabilities of LLM Tutors,"Jakub Macina, Nico Daheim, Ido Hakimi, Manu Kapur, Iryna Gurevych, Mrinmaya Sachan",Main,https://aclanthology.org/2025.emnlp-main.11/,https://aclanthology.org/2025.emnlp-main.11.pdf
12,Method,Preemptive Detection and Correction of Misaligned Actions in LLM Agents,"Haishuo Fang, Xiaodan Zhu, Iryna Gurevych",Main,https://aclanthology.org/2025.emnlp-main.12/,https://aclanthology.org/2025.emnlp-main.12.pdf
13,Method,Fingerprinting LLMs through Survey Item Factor Correlation: A Case Study on Humor Style Questionnaire,Simon Münker,Main,https://aclanthology.org/2025.emnlp-main.13/,https://aclanthology.org/2025.emnlp-main.13.pdf
14,Dataset,Gradient-Attention Guided Dual-Masking Synergetic Framework for Robust Text-based Person Retrieval,"Tianlu Zheng, Yifan Zhang, Xiang An, Ziyong Feng, Kaicheng Yang, Qichuan Ding",Main,https://aclanthology.org/2025.emnlp-main.14/,https://aclanthology.org/2025.emnlp-main.14.pdf
15,Method,From Problem-Solving to Teaching Problem-Solving: Aligning LLMs with Pedagogy using Reinforcement Learning,"David Dinucu-Jianu, Jakub Macina, Nico Daheim, Ido Hakimi, Iryna Gurevych, Mrinmaya Sachan",Main,https://aclanthology.org/2025.emnlp-main.15/,https://aclanthology.org/2025.emnlp-main.15.pdf
16,Method,CompKBQA: Component-wise Task Decomposition for Knowledge Base Question Answering,"Yuhang Tian, Dandan Song, Zhijing Wu, Pan Yang, Changzhi Zhou, Jun Yang, Hao Wang, Huipeng Ma, Chenhao Li, Luan Zhang",Main,https://aclanthology.org/2025.emnlp-main.16/,https://aclanthology.org/2025.emnlp-main.16.pdf
17,Method,Permutative Preference Alignment from Listwise Ranking of Human Judgments,"Yang Zhao, Yixin Wang, Mingzhang Yin",Main,https://aclanthology.org/2025.emnlp-main.17/,https://aclanthology.org/2025.emnlp-main.17.pdf
18,Method,ToneCraft: Cantonese Lyrics Generation with Harmony of Tones and Pitches,"Junyu Cheng, Chang Pan, Shuangyin Li",Main,https://aclanthology.org/2025.emnlp-main.18/,https://aclanthology.org/2025.emnlp-main.18.pdf
19,Method,SensorLLM: Aligning Large Language Models with Motion Sensors for Human Activity Recognition,"Zechen Li, Shohreh Deldari, Linyao Chen, Hao Xue, Flora D. Salim",Main,https://aclanthology.org/2025.emnlp-main.19/,https://aclanthology.org/2025.emnlp-main.19.pdf
20,Dataset,MixLoRA-DSI: Dynamically Expandable Mixture-of-LoRA Experts for Rehearsal-Free Generative Retrieval over Dynamic Corpora,"Tuan-Luc Huynh, Thuy-Trang Vu, Weiqing Wang, Trung Le, Dragan Gasevic, Yuan-Fang Li, Thanh-Toan Do",Main,https://aclanthology.org/2025.emnlp-main.20/,https://aclanthology.org/2025.emnlp-main.20.pdf
21,Dataset,ViClaim: A Multilingual Multilabel Dataset for Automatic Claim Detection in Videos,"Patrick Giedemann, Pius von Däniken, Jan Milan Deriu, Alvaro Rodrigo, Anselmo Peñas, Mark Cieliebak",Main,https://aclanthology.org/2025.emnlp-main.21/,https://aclanthology.org/2025.emnlp-main.21.pdf
22,Method,DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,"Yuxiang Zheng, Dayuan Fu, Xiangkun Hu, Xiaojie Cai, Lyumanshan Ye, Pengrui Lu, Pengfei Liu",Main,https://aclanthology.org/2025.emnlp-main.22/,https://aclanthology.org/2025.emnlp-main.22.pdf
23,Method,Mixture of Length and Pruning Experts for Knowledge Graphs Reasoning,"Enjun Du, Siyi Liu, Yongqi Zhang",Main,https://aclanthology.org/2025.emnlp-main.23/,https://aclanthology.org/2025.emnlp-main.23.pdf
24,Method,MPRF: Interpretable Stance Detection through Multi-Path Reasoning Framework,"ZhaoDan Zhang, Jin Zhang, Hui Xu, Jiafeng Guo, Xueqi Cheng",Main,https://aclanthology.org/2025.emnlp-main.24/,https://aclanthology.org/2025.emnlp-main.24.pdf
25,Method,Analyzing the Effects of Supervised Fine-Tuning on Model Knowledge from Token and Parameter Levels,"Junjie Ye, Yuming Yang, Yang Nan, Shuo Li, Qi Zhang, Tao Gui, Xuanjing Huang, Peng Wang, Zhongchao Shi, Jianping Fan",Main,https://aclanthology.org/2025.emnlp-main.25/,https://aclanthology.org/2025.emnlp-main.25.pdf
26,Method,JI^2S: Joint Influence‐Aware Instruction Data Selection for Efficient Fine‐Tuning,"Jingyu Wei, Bo Liu, Tianjiao Wan, Baoyun Peng, Xingkong Ma, Mengmeng Guo",Main,https://aclanthology.org/2025.emnlp-main.26/,https://aclanthology.org/2025.emnlp-main.26.pdf
27,Dataset,SoundMind: RL-Incentivized Logic Reasoning for Audio-Language Models,"Xingjian Diao, Chunhui Zhang, Keyi Kong, Weiyi Wu, Chiyu Ma, Zhongyu Ouyang, Peijun Qing, Soroush Vosoughi, Jiang Gui",Main,https://aclanthology.org/2025.emnlp-main.27/,https://aclanthology.org/2025.emnlp-main.27.pdf
28,Method,"Seeing More, Saying More: Lightweight Language Experts are Dynamic Video Token Compressors","Xiangchen Wang, Jinrui Zhang, Teng Wang, Haigang Zhang, Feng Zheng",Main,https://aclanthology.org/2025.emnlp-main.28/,https://aclanthology.org/2025.emnlp-main.28.pdf
29,Method,RoT: Enhancing Table Reasoning with Iterative Row-Wise Traversals,"Xuanliang Zhang, Dingzirui Wang, Keyan Xu, Qingfu Zhu, Wanxiang Che",Main,https://aclanthology.org/2025.emnlp-main.29/,https://aclanthology.org/2025.emnlp-main.29.pdf
30,Method,T-MAD: Target-driven Multimodal Alignment for Stance Detection,"ZhaoDan Zhang, Jin Zhang, Xueqi Cheng, Hui Xu",Main,https://aclanthology.org/2025.emnlp-main.30/,https://aclanthology.org/2025.emnlp-main.30.pdf
31,Method,Emotion Transfer with Enhanced Prototype for Unseen Emotion Recognition in Conversation,"Kun Peng, Cong Cao, Hao Peng, Guanlin Wu, Zhifeng Hao, Lei Jiang, Yanbing Liu, Philip S. Yu",Main,https://aclanthology.org/2025.emnlp-main.31/,https://aclanthology.org/2025.emnlp-main.31.pdf
32,Method,PBI-Attack: Prior-Guided Bimodal Interactive Black-Box Jailbreak Attack for Toxicity Maximization,"Ruoxi Cheng, Yizhong Ding, Shuirong Cao, Ranjie Duan, Xiaoshuang Jia, Shaowei Yuan, Simeng Qin, Zhiqiang Wang, Xiaojun Jia",Main,https://aclanthology.org/2025.emnlp-main.32/,https://aclanthology.org/2025.emnlp-main.32.pdf
