No,Type,Title,Authors,Track,Paper_Link,PDF_Link,arXiv_Link
1,Dataset,"ROADWork: A Dataset and Benchmark for Learning to Recognize, Observe, Analyze and Drive Through Work Zones","Anurag Ghosh, Shen Zheng, Robert Tamburo, Khiem Vuong, Juan Alvarez-Padilla, Hailiang Zhu, Michael Cardei, Nicholas Dunn, Christoph Mertz, Srinivasa G. Narasimhan",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Ghosh_ROADWork_A_Dataset_and_Benchmark_for_Learning_to_Recognize_Observe_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Ghosh_ROADWork_A_Dataset_and_Benchmark_for_Learning_to_Recognize_Observe_ICCV_2025_paper.pdf,
2,Dataset,Training-Free Personalization via Retrieval and Reasoning on Fingerprints,"Deepayan Das, Davide Talon, Yiming Wang, Massimiliano Mancini, Elisa Ricci",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Das_Training-Free_Personalization_via_Retrieval_and_Reasoning_on_Fingerprints_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Das_Training-Free_Personalization_via_Retrieval_and_Reasoning_on_Fingerprints_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.18623
3,Dataset,Rethinking Detecting Salient and Camouflaged Objects in Unconstrained Scenes,"Zhangjun Zhou, Yiping Li, Chunlin Zhong, Jianuo Huang, Jialun Pei, Hua Li, He Tang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Zhou_Rethinking_Detecting_Salient_and_Camouflaged_Objects_in_Unconstrained_Scenes_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_Rethinking_Detecting_Salient_and_Camouflaged_Objects_in_Unconstrained_Scenes_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.10943
4,Dataset,Demeter: A Parametric Model of Crop Plant Morphology from the Real World,"Tianhang Cheng, Albert J. Zhai, Evan Z. Chen, Rui Zhou, Yawen Deng, Zitong Li, Kejie Zhao, Janice Shiu, Qianyu Zhao, Yide Xu, Xinlei Wang, Yuan Shen, Sheng Wang, Lisa Ainsworth, Kaiyu Guan, Shenlong Wang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Cheng_Demeter_A_Parametric_Model_of_Crop_Plant_Morphology_from_the_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Cheng_Demeter_A_Parametric_Model_of_Crop_Plant_Morphology_from_the_ICCV_2025_paper.pdf,
5,Dataset,Automated Red Teaming for Text-to-Image Models through Feedback-Guided Prompt Iteration with Vision-Language Models,"Wei Xu, Kangjie Chen, Jiawei Qiu, Yuyang Zhang, Run Wang, Jin Mao, Tianwei Zhang, Lina Wang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Xu_Automated_Red_Teaming_for_Text-to-Image_Models_through_Feedback-Guided_Prompt_Iteration_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Xu_Automated_Red_Teaming_for_Text-to-Image_Models_through_Feedback-Guided_Prompt_Iteration_ICCV_2025_paper.pdf,
6,Dataset,Head2Body: Body Pose Generation from Multi-sensory Head-mounted Inputs,"Minh Tran, Hongda Mao, Qingshuang Chen, Yelin Kim",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Tran_Head2Body_Body_Pose_Generation_from_Multi-sensory_Head-mounted_Inputs_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Tran_Head2Body_Body_Pose_Generation_from_Multi-sensory_Head-mounted_Inputs_ICCV_2025_paper.pdf,
7,Dataset,OminiControl: Minimal and Universal Control for Diffusion Transformer,"Zhenxiong Tan, Songhua Liu, Xingyi Yang, Qiaochu Xue, Xinchao Wang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Tan_OminiControl_Minimal_and_Universal_Control_for_Diffusion_Transformer_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Tan_OminiControl_Minimal_and_Universal_Control_for_Diffusion_Transformer_ICCV_2025_paper.pdf,http://arxiv.org/abs/2411.15098
8,Dataset,Rethinking Few Shot CLIP Benchmarks: A Critical Analysis in the Inductive Setting,"Alexey Kravets, Da Chen, Vinay P. Namboodiri",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Kravets_Rethinking_Few_Shot_CLIP_Benchmarks_A_Critical_Analysis_in_the_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Kravets_Rethinking_Few_Shot_CLIP_Benchmarks_A_Critical_Analysis_in_the_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.20834
9,Dataset,Mind the Gap: Aligning Vision Foundation Models to Image Feature Matching,"Yuhan Liu, Jingwen Fu, Yang Wu, Kangyi Wu, Pengna Li, Jiayi Wu, Sanping Zhou, Jingmin Xin",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Liu_Mind_the_Gap_Aligning_Vision_Foundation_Models_to_Image_Feature_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Liu_Mind_the_Gap_Aligning_Vision_Foundation_Models_to_Image_Feature_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.10318
10,Dataset,GSOT3D: Towards Generic 3D Single Object Tracking in the Wild,"Yifan Jiao, Yunhao Li, Junhua Ding, Qing Yang, Song Fu, Heng Fan, Libo Zhang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Jiao_GSOT3D_Towards_Generic_3D_Single_Object_Tracking_in_the_Wild_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Jiao_GSOT3D_Towards_Generic_3D_Single_Object_Tracking_in_the_Wild_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.02129
