No,Type,Title,Authors,Track,Paper_Link,PDF_Link,arXiv_Link
1,Dataset,Valeo Near-Field: a novel dataset for pedestrian intent detection,"Antonyo Musabini, Jagdish Bhanushali, Rachid Benmokhtar, Victor Galizzi, Bertrand Luvison, Xavier Perrotton",ABAW,https://openaccess.thecvf.com/content/ICCV2025W/ABAW/html/Musabini_Valeo_Near-Field_a_novel_dataset_for_pedestrian_intent_detection_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Musabini_Valeo_Near-Field_a_novel_dataset_for_pedestrian_intent_detection_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2510.15673
2,Dataset,A Multimodal Dataset of Viewer Responses to Japanese Manzai Comedy,"Kazuki Kawamura, Nakai Kengo, Jun Rekimoto",ABAW,https://openaccess.thecvf.com/content/ICCV2025W/ABAW/html/Kawamura_A_Multimodal_Dataset_of_Viewer_Responses_to_Japanese_Manzai_Comedy_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Kawamura_A_Multimodal_Dataset_of_Viewer_Responses_to_Japanese_Manzai_Comedy_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2510.18014
3,Dataset,DEAP DIVE: Dataset Investigation with Vision transformers for EEG evaluation,"Annemarie Hoffsommer, Helen Schneider, Svetlana Pavlitska, Marius Zöllner",ABAW,https://openaccess.thecvf.com/content/ICCV2025W/ABAW/html/Hoffsommer_DEAP_DIVE_Dataset_Investigation_with_Vision_transformers_for_EEG_evaluation_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/ABAW/papers/Hoffsommer_DEAP_DIVE_Dataset_Investigation_with_Vision_transformers_for_EEG_evaluation_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2510.00725
4,Dataset,Benchmarking Feature Upsampling Methods for Vision Foundation Models using Interactive Segmentation,"Volodymyr Havrylov, Haiwen Huang, Dan Zhang, Andreas Geiger",ILR+G,https://openaccess.thecvf.com/content/ICCV2025W/ILR%2BG/html/Havrylov_Benchmarking_Feature_Upsampling_Methods_for_Vision_Foundation_Models_using_Interactive_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/ILR+G/papers/Havrylov_Benchmarking_Feature_Upsampling_Methods_for_Vision_Foundation_Models_using_Interactive_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2505.02075
5,Dataset,ImageNet-BG: A Toolkit and Dataset for Evaluating Vision Model Robustness Against Background Variations,"Łukasz Piekarek, Kamil Szyc",STREAM,https://openaccess.thecvf.com/content/ICCV2025W/STREAM/html/Piekarek_ImageNet-BG_A_Toolkit_and_Dataset_for_Evaluating_Vision_Model_Robustness_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/STREAM/papers/Piekarek_ImageNet-BG_A_Toolkit_and_Dataset_for_Evaluating_Vision_Model_Robustness_ICCVW_2025_paper.pdf,
6,Dataset,VQArt-Bench: A semantically rich VQA Benchmark for Art and Cultural Heritage,"Andrea Alfarano, Lorenzo Venturoli, Dario Negueruela Del Castillo",AI4VA,https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/html/Alfarano_VQArt-Bench_A_semantically_rich_VQA_Benchmark_for_Art_and_Cultural_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Alfarano_VQArt-Bench_A_semantically_rich_VQA_Benchmark_for_Art_and_Cultural_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2510.12750
7,Dataset,"Synthetic Hands Meet Legacy Data: A Synthetic Dataset for Structured, Controllable, and Multimodal Evaluation","Menghe Zhang, Haley M. So, Mohammad Asadi, Dongfang Zhao, Yangwen Liang, Shuangquan Wang, Gordon Wetzstein, Kee-Bong Song, Donghoon Kim",DataCV,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/html/Zhang_Synthetic_Hands_Meet_Legacy_Data_A_Synthetic_Dataset_for_Structured_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Zhang_Synthetic_Hands_Meet_Legacy_Data_A_Synthetic_Dataset_for_Structured_ICCVW_2025_paper.pdf,
8,Dataset,"Express4D: Expressive, Friendly, and Extensible 4D Facial Motion Generation Benchmark","Yaron Aloni, Rotem Shalev-Arkushin, Yonatan Shafir, Guy Tevet, Ohad Fried, Amit Haim Bermano",DataCV,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/html/Aloni_Express4D_Expressive_Friendly_and_Extensible_4D_Facial_Motion_Generation_Benchmark_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Aloni_Express4D_Expressive_Friendly_and_Extensible_4D_Facial_Motion_Generation_Benchmark_ICCVW_2025_paper.pdf,
9,Dataset,Mapillary Vistas Validation for Fine-Grained Traffic Signs: A Benchmark Revealing Vision-Language Model Limitations,"Sparsh Garg, Abhishek Aich",DataCV,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/html/Garg_Mapillary_Vistas_Validation_for_Fine-Grained_Traffic_Signs_A_Benchmark_Revealing_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Garg_Mapillary_Vistas_Validation_for_Fine-Grained_Traffic_Signs_A_Benchmark_Revealing_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2508.02047
10,Dataset,Hybrid Generative Fusion for Efficient and Privacy-Preserving Face Recognition Dataset Generation,"Feiran Li, Qianqian Xu, Shilong Bao, Boyu Han, Zhiyong Yang, Qingming Huang",DataCV,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/html/Li_Hybrid_Generative_Fusion_for_Efficient_and_Privacy-Preserving_Face_Recognition_Dataset_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Li_Hybrid_Generative_Fusion_for_Efficient_and_Privacy-Preserving_Face_Recognition_Dataset_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2508.10672
11,Dataset,Enhancing Domain Diversity in Synthetic Data Face Recognition with Dataset Fusion,"Anjith George, Sébastien Marcel",DataCV,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/html/George_Enhancing_Domain_Diversity_in_Synthetic_Data_Face_Recognition_with_Dataset_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/George_Enhancing_Domain_Diversity_in_Synthetic_Data_Face_Recognition_with_Dataset_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2507.16790
12,Dataset,On the Generalization of Optical Flow: Quantifying Robustness to Dataset Shifts,"Katrin Bauer, Andres Bruhn, Jenny Schmalfuss",DataCV,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/html/Bauer_On_the_Generalization_of_Optical_Flow_Quantifying_Robustness_to_Dataset_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Bauer_On_the_Generalization_of_Optical_Flow_Quantifying_Robustness_to_Dataset_ICCVW_2025_paper.pdf,
13,Dataset,A High-Throughput Platform to Bench Test Smartphone-Based Heart Rate Measurements Derived From Video,"Ming-Zher Poh, Jonathan Wang, Jonathan Hsu, Lawrence Cai, Eric Teasley, James Taylor, Jameson Rogers, Anupam Pathak, Shwetak Patel",CVPM,https://openaccess.thecvf.com/content/ICCV2025W/CVPM/html/Poh_A_High-Throughput_Platform_to_Bench_Test_Smartphone-Based_Heart_Rate_Measurements_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/CVPM/papers/Poh_A_High-Throughput_Platform_to_Bench_Test_Smartphone-Based_Heart_Rate_Measurements_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2506.23414
14,Dataset,VitalVideos-Worldwide: A large and diverse rPPG dataset with rich ground truths,Pieter-Jan Toye,CVPM,https://openaccess.thecvf.com/content/ICCV2025W/CVPM/html/Toye_VitalVideos-Worldwide_A_large_and_diverse_rPPG_dataset_with_rich_ground_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/CVPM/papers/Toye_VitalVideos-Worldwide_A_large_and_diverse_rPPG_dataset_with_rich_ground_ICCVW_2025_paper.pdf,
15,Dataset,Understanding Dataset Bias in Medical Imaging: A Case Study on Chest X-rays,"Ethan Dack, Chengliang Dai",BISCUIT,https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/html/Dack_Understanding_Dataset_Bias_in_Medical_Imaging_A_Case_Study_on_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Dack_Understanding_Dataset_Bias_in_Medical_Imaging_A_Case_Study_on_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2507.07722
16,Dataset,HierVision: Standardized and Reproducible Hierarchical Sources for Vision Datasets,"Tejaswi Kasarla, Ruthu Hulikal Rooparaghunath, Stefano D'arrigo, Gowreesh Mago, Abhishek Jha, Melika Ayoughi, Swasti Shreya Mishra, Ana Manzano Rodríguez, Teng Long, Mina Ghadimi Atigh, Max Van Spengler, Pascal Mettes",BEW,https://openaccess.thecvf.com/content/ICCV2025W/BEW/html/Kasarla_HierVision_Standardized_and_Reproducible_Hierarchical_Sources_for_Vision_Datasets_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Kasarla_HierVision_Standardized_and_Reproducible_Hierarchical_Sources_for_Vision_Datasets_ICCVW_2025_paper.pdf,
17,Dataset,VRU-Accident: A Vision-Language Benchmark for Video Question Answering and Dense Captioning for Accident Scene Understanding,"Younggun Kim, Ahmed S. Abdelrahman, Mohamed Abdel-Aty",2COOOL,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/html/Kim_VRU-Accident_A_Vision-Language_Benchmark_for_Video_Question_Answering_and_Dense_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/papers/Kim_VRU-Accident_A_Vision-Language_Benchmark_for_Video_Question_Answering_and_Dense_ICCVW_2025_paper.pdf,
18,Dataset,FlareGS: 4D Flare Removal using Gaussian Splatting for Urban Scenes,"Mayank Chandak, Sai Sri Teja Kuppa, Rahul, Gopi Raju Matta, Vinayak Gupta, Kaushik Mitra",2COOOL,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/html/Chandak_FlareGS_4D_Flare_Removal_using_Gaussian_Splatting_for_Urban_Scenes_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/papers/Chandak_FlareGS_4D_Flare_Removal_using_Gaussian_Splatting_for_Urban_Scenes_ICCVW_2025_paper.pdf,
19,Dataset,DRAMA-X: A Fine-grained Intent Prediction and Risk Reasoning Benchmark For Driving,"Mihir Godbole, Xiangbo Gao, Zhengzhong Tu",2COOOL,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/html/Godbole_DRAMA-X_A_Fine-grained_Intent_Prediction_and_Risk_Reasoning_Benchmark_For_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/papers/Godbole_DRAMA-X_A_Fine-grained_Intent_Prediction_and_Risk_Reasoning_Benchmark_For_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2506.17590
20,Dataset,Towards Vision Zero: The TUM Traffic Accid3nD Dataset,"Walter Zimmer, Ross Greer, Xingcheng Zhou, Rui Song, Hu Cao, Daniel Lehmberg, Marc Pavel, Ahmed Alaaeldin Ghita, Akshay Gopalkrishnan, Holger Caesar, Mohan Trivedi, Alois Knoll",2COOOL,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/html/Zimmer_Towards_Vision_Zero_The_TUM_Traffic_Accid3nD_Dataset_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/2COOOL/papers/Zimmer_Towards_Vision_Zero_The_TUM_Traffic_Accid3nD_Dataset_ICCVW_2025_paper.pdf,https://arxiv.org/abs/2503.12095
21,Dataset,MedBLINK: Probing Visual Perception in Multimodal Language Models for Medicine,"Mahtab Bigverdi, Wisdom Ikezogwo, Kevin Zhang, Hyewon Jeong, Mingyu Lu, Sungjae Cho, Linda Shapiro, Ranjay Krishna",CVAMD,https://openaccess.thecvf.com/content/ICCV2025W/CVAMD/html/Bigverdi_MedBLINK_Probing_Visual_Perception_in_Multimodal_Language_Models_for_Medicine_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/CVAMD/papers/Bigverdi_MedBLINK_Probing_Visual_Perception_in_Multimodal_Language_Models_for_Medicine_ICCVW_2025_paper.pdf,
