No,Type,Title,Authors,Kind,Part,DOI,Paper_Link
1,Dataset,IndicDLP: A Foundational Dataset for Multi-lingual and Multi-domain Document Layout Parsing,"Oikantik Nath, Sahithi Kukkala, Mitesh Khapra, Ravi Kiran Sarvadevabhatla",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_2,https://doi.org/10.1007/978-3-032-04614-7_2
2,Dataset,UniLayDet: Simple Multi-dataset Document Layout Analysis,"Prasidh Srikumar, Ajoy Mondal, C. V. Jawahar",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_3,https://doi.org/10.1007/978-3-032-04614-7_3
3,Dataset,A Novel Multi-modal Dataset and Method for Handwritten Signature Recognition with Image-Audio Fusion,"Qixiang Li, Xirali Ablat, Xiaoya Lin, Mahpirat Muhammat, Kurban Ubul",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_17,https://doi.org/10.1007/978-3-032-04614-7_17
4,Dataset,CM1 - A Dataset for Evaluating Few-Shot Information Extraction with Large Vision Language Models,"Fabian Wolf, Oliver Tüselmann, Arthur Matei, Lukas Hennies, Christoph Rass, Gernot A. Fink",Full paper,Part II (LNCS 16024),10.1007/978-3-032-04617-8_2,https://doi.org/10.1007/978-3-032-04617-8_2
5,Dataset,UniOne: A Document Parsing Dataset for Cross Task Association Modeling,"Runqing Yan, Jianye An",Full paper,Part III (LNCS 16025),10.1007/978-3-032-04624-6_3,https://doi.org/10.1007/978-3-032-04624-6_3
6,Dataset,BiblioPage: A Dataset of Scanned Title Pages for Bibliographic Metadata Extraction,"Jan Kohút, Martin Dočekal, Michal Hradiš, Marek Vaško",Full paper,Part III (LNCS 16025),10.1007/978-3-032-04624-6_17,https://doi.org/10.1007/978-3-032-04624-6_17
7,Dataset,Evaluating Handwritten Text Recognition in Medieval Notarial Manuscripts: A New Dataset and Comprehensive Analysis,"Mariona Coll Ardanuy, Iban Berganzo-Besga, Ramon Sarobe, Coral Cuadrada",Full paper,Part III (LNCS 16025),10.1007/978-3-032-04624-6_20,https://doi.org/10.1007/978-3-032-04624-6_20
8,Dataset,DocAnnot - Accelerating the Creation of Key Information Extraction Datasets with GenAI-Powered Auto-annotation,"Siddartha Reddy, P. M. Harikrishnan, Goutham Vignesh, V. Varun, Vishal Vaddina",Full paper,Part III (LNCS 16025),10.1007/978-3-032-04624-6_33,https://doi.org/10.1007/978-3-032-04624-6_33
9,Dataset,"A Multimodal Evaluation Pipeline for Mathematical Expression Recognition: Comparisons of Datasets, Metrics, and Models","François Wieckowiak, Véronique Eglin, Tony Bonnet, Stéphane Bres, Laëtitia Rousseau",Full paper,Part IV (LNCS 16026),10.1007/978-3-032-04627-7_7,https://doi.org/10.1007/978-3-032-04627-7_7
10,Dataset,"MCCD: A Multi-attribute Chinese Calligraphy Character Dataset Annotated with Script Styles, Dynasties, and Calligraphers","Yixin Zhao, Yuyi Zhang, Lianwen Jin",Full paper,Part IV (LNCS 16026),10.1007/978-3-032-04627-7_31,https://doi.org/10.1007/978-3-032-04627-7_31
