No,Type,Track,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
1,Method,Journal track (IJDAR),"TableSeq: Unified Generation of Structure, Content, and Layout","Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",,,,https://scholar.google.com/scholar?q=%22TableSeq%3A+Unified+Generation+of+Structure%2C+Content%2C+and+Layout%22,https://arxiv.org/search/?searchtype=title&query=TableSeq%3A+Unified+Generation+of+Structure%2C+Content%2C+and+Layout,2025-565
2,Method,Journal track (IJDAR),PILOT: A Promptable Interleaved Layout-aware OCR Transformer,"Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",,,,https://scholar.google.com/scholar?q=%22PILOT%3A+A+Promptable+Interleaved+Layout-aware+OCR+Transformer%22,https://arxiv.org/search/?searchtype=title&query=PILOT%3A+A+Promptable+Interleaved+Layout-aware+OCR+Transformer,2025-561
3,Dataset,Journal track (IJDAR),Bharat Scene Text: A Novel Comprehensive Dataset and Benchmark for Indian Language Scene Text Understanding,"Anik De, Abhirama Subramanyam Penamakuru, Rajeev Yadav, Aditya Rathore, Harshiv Shah, Devesh Sharma, Sagar Agarwal, Pravin Kumar, Anand Mishra",,,,https://scholar.google.com/scholar?q=%22Bharat+Scene+Text%3A+A+Novel+Comprehensive+Dataset+and+Benchmark+for+Indian+Language+Scene+Text+Understanding%22,https://arxiv.org/search/?searchtype=title&query=Bharat+Scene+Text%3A+A+Novel+Comprehensive+Dataset+and+Benchmark+for+Indian+Language+Scene+Text+Understanding,2025-560
4,Dataset,Journal track (IJDAR),Fidel: A Large-Scale Sentence Level Amharic OCR Dataset,"Tunga Tessema Chamisso, Blessed Guda, Bereket Retta Adego, Carmel Prosper Sagbo, Gabrial Zencha Ashungafac, Assane Gueye",,,,https://scholar.google.com/scholar?q=%22Fidel%3A+A+Large-Scale+Sentence+Level+Amharic+OCR+Dataset%22,https://arxiv.org/search/?searchtype=title&query=Fidel%3A+A+Large-Scale+Sentence+Level+Amharic+OCR+Dataset,2025-548
5,Method,Journal track (IJDAR),Automatic Uncertainty-Aware Synthetic Data Bootstrapping for Historical Map Segmentation,"Lukas Arzoumanidis, Julius Knechtel, Jan-Henrik Haunert, Youness Dehbi",,,,https://scholar.google.com/scholar?q=%22Automatic+Uncertainty-Aware+Synthetic+Data+Bootstrapping+for+Historical+Map+Segmentation%22,https://arxiv.org/search/?searchtype=title&query=Automatic+Uncertainty-Aware+Synthetic+Data+Bootstrapping+for+Historical+Map+Segmentation,2025-539
6,Method,Journal track (IJDAR),AIKON: A Modular Computer Vision Platform for Historical Corpora,"Ségolène Albouy, Somkeo Norindr, Paul Kervegan, Fouad Aouniti, Rémy Delanaux, Clara Grometto, Robin Champenois, Stavros Lazaris, Alexandre Guilbaud, Matthieu Husson, Mathieu Aubry",,,,https://scholar.google.com/scholar?q=%22AIKON%3A+A+Modular+Computer+Vision+Platform+for+Historical+Corpora%22,https://arxiv.org/search/?searchtype=title&query=AIKON%3A+A+Modular+Computer+Vision+Platform+for+Historical+Corpora,2025-524
7,Method,Journal track (IJDAR),Reviving Medieval Byzantine Seals: A Synthetic-to-Real Approach to Character Recognition,"Gianluca Dalmasso, Patric Reineri, Mathieu Pscherer Noel, Ninon Achard, Beatrice Caseau, Laurence Likforman Sulem, Davide Cavagnino, Maurizio Lucenteforte, Attilio Fiandrotti, Victoria Eyharabide",,,,https://scholar.google.com/scholar?q=%22Reviving+Medieval+Byzantine+Seals%3A+A+Synthetic-to-Real+Approach+to+Character+Recognition%22,https://arxiv.org/search/?searchtype=title&query=Reviving+Medieval+Byzantine+Seals%3A+A+Synthetic-to-Real+Approach+to+Character+Recognition,2025-520
8,Dataset,Journal track (IJDAR),DKDS: A Benchmark Dataset of Degraded Kuzushiji Documents with Seals for Detection and Binarization,"Rui-Yang Ju, Kohei Yamashita, Hirotaka Kameko, Shinsuke Mori",,,,https://scholar.google.com/scholar?q=%22DKDS%3A+A+Benchmark+Dataset+of+Degraded+Kuzushiji+Documents+with+Seals+for+Detection+and+Binarization%22,https://arxiv.org/search/?searchtype=title&query=DKDS%3A+A+Benchmark+Dataset+of+Degraded+Kuzushiji+Documents+with+Seals+for+Detection+and+Binarization,2025-504
9,Method,Journal track (IJDAR),A Novel Domain Adaptation Based Pipeline for Character Classification and Handwritten Recognition,"Florent Imbert, Simon Corbillé, Hui Han, Elisa H. Barney Smith",,,,https://scholar.google.com/scholar?q=%22A+Novel+Domain+Adaptation+Based+Pipeline+for+Character+Classification+and+Handwritten+Recognition%22,https://arxiv.org/search/?searchtype=title&query=A+Novel+Domain+Adaptation+Based+Pipeline+for+Character+Classification+and+Handwritten+Recognition,2025-482
10,Method,Journal track (IJDAR),Unsupervised Document and Template Clustering using Multimodal Embeddings,"Phillipe R. Sampaio, Helene Maxicci",,,,https://scholar.google.com/scholar?q=%22Unsupervised+Document+and+Template+Clustering+using+Multimodal+Embeddings%22,https://arxiv.org/search/?searchtype=title&query=Unsupervised+Document+and+Template+Clustering+using+Multimodal+Embeddings,2025-479
