No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
1,Dataset,SORRY-Bench: Systematically Evaluating Large Language Model Safety Refusal,"Tinghao Xie, Xiangyu Qi, Yi Zeng, Yangsibo Huang, Udari Sehwag, Kaixuan Huang, Luxi He, Boyi Wei, Dacheng Li, Ying Sheng, Ruoxi Jia, Bo Li, Kai Li, Danqi Chen, Peter Henderson, Prateek Mittal",Accept (Poster),https://openreview.net/forum?id=YfKNaRktan,https://openreview.net/pdf?id=YfKNaRktan
2,Dataset,"Aligned Better, Listen Better for Audio-Visual Large Language Models","Yuxin Guo, Shuailei Ma, Shijie Ma, Xiaoyi Bao, Chen-Wei Xie, Kecheng Zheng, Tingyu Weng, Siyang Sun, Yun Zheng, Wei Zou",Accept (Poster),https://openreview.net/forum?id=1SYUKPeM12,https://openreview.net/pdf?id=1SYUKPeM12
3,Dataset,From an LLM Swarm to a PDDL-empowered Hive: Planning Self-executed Instructions in a Multi-modal Jungle,"Kaustubh Vyas, Damien Graux, Yijun Yang, Sebastien Montella, Chenxin Diao, Wendi Zhou, Pavlos Vougiouklis, Ruofei Lai, Yang Ren, Keshuang Li, J Pan",Accept (Poster),https://openreview.net/forum?id=QAAsnSRwgu,https://openreview.net/pdf?id=QAAsnSRwgu
4,Dataset,The 3D-PC: a benchmark for visual perspective taking in humans and machines,"Drew Linsley, Peisen Zhou, Alekh Ashok, Akash Nagaraj, Gaurav Suhas Gaonkar, Francis Lewis, Zygmunt Pizlo, Thomas Serre",Accept (Poster),https://openreview.net/forum?id=UIFAJZ22ZF,https://openreview.net/pdf?id=UIFAJZ22ZF
5,Dataset,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,"Maksym Andriushchenko, Alexandra Souly, Mateusz Dziemian, Derek Duenas, Maxwell Lin, Justin Wang, Dan Hendrycks, Andy Zou, Zico Kolter, Matt Fredrikson, Yarin Gal, Xander Davies",Accept (Poster),https://openreview.net/forum?id=AC5n7xHuR1,https://openreview.net/pdf?id=AC5n7xHuR1
6,Dataset,CodeMMLU: A Multi-Task Benchmark for Assessing Code Understanding & Reasoning Capabilities of CodeLLMs,"Dung Nguyen, Thang Phan, Nam Le Hai, Thong Doan, Nam Nguyen, Quang Pham, Nghi Bui",Accept (Poster),https://openreview.net/forum?id=CahIEKCu5Q,https://openreview.net/pdf?id=CahIEKCu5Q
7,Dataset,Do LLMs estimate uncertainty well in instruction-following?,"Juyeon Heo, Miao Xiong, Christina Heinze-Deml, Jaya Narain",Accept (Poster),https://openreview.net/forum?id=IHp3vOVQO2,https://openreview.net/pdf?id=IHp3vOVQO2
8,Dataset,PhysPDE: Rethinking PDE Discovery and a Physical HYpothesis Selection Benchmark,"Mingquan Feng, Yixin Huang, Yizhou Liu, Bofang Jiang, Junchi Yan",Accept (Poster),https://openreview.net/forum?id=G3CpBCQwNh,https://openreview.net/pdf?id=G3CpBCQwNh
9,Dataset,Aligning Human Motion Generation with Human Perceptions,"Haoru Wang, Wentao Zhu, Luyi Miao, Yishu Xu, Feng Gao, Qi Tian, Yizhou Wang",Accept (Poster),https://openreview.net/forum?id=QOHgjY5KDp,https://openreview.net/pdf?id=QOHgjY5KDp
10,Dataset,Number Cookbook: Number Understanding of Language Models and How to Improve It,"Haotong Yang, Yi Hu, Shijia Kang, Zhouchen Lin, Muhan Zhang",Accept (Poster),https://openreview.net/forum?id=BWS5gVjgeY,https://openreview.net/pdf?id=BWS5gVjgeY
11,Dataset,MAVIS: Mathematical Visual Instruction Tuning with an Automatic Data Engine,"Renrui Zhang, Xinyu Wei, Dongzhi Jiang, Ziyu Guo, Yichi Zhang, Chengzhuo Tong, Jiaming Liu, Aojun Zhou, Shanghang Zhang, Gao Peng, Hongsheng Li",Accept (Poster),https://openreview.net/forum?id=MnJzJ2gvuf,https://openreview.net/pdf?id=MnJzJ2gvuf
12,Dataset,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,"Naman Jain, Han, Alex Gu, Wen-Ding Li, Fanjia Yan, Tianjun Zhang, Sida Wang, Armando Solar-Lezama, Koushik Sen, Ion Stoica",Accept (Poster),https://openreview.net/forum?id=chfJJYC3iL,https://openreview.net/pdf?id=chfJJYC3iL
13,Dataset,gRNAde: Geometric Deep Learning for 3D RNA inverse design,"Chaitanya Joshi, Arian Jamasb, Ramon Viñas, Charles Harris, Simon Mathis, Alex Morehead, Rishabh Anand, Pietro Lio",Accept (Spotlight),https://openreview.net/forum?id=lvw3UgeVxS,https://openreview.net/pdf?id=lvw3UgeVxS
14,Dataset,MMKE-Bench: A Multimodal Editing Benchmark for Diverse Visual Knowledge,"yuntao du, Kailin Jiang, Zhi Gao, Chenrui Shi, Zilong Zheng, Siyuan Qi, Qing Li",Accept (Poster),https://openreview.net/forum?id=v8qABSeeKO,https://openreview.net/pdf?id=v8qABSeeKO
15,Dataset,Agent S: An Open Agentic Framework that Uses Computers Like a Human,"Saaket Agashe, Jiuzhou Han, Shuyu Gan, Jiachen Yang, Ang Li, Xin Wang",Accept (Poster),https://openreview.net/forum?id=lIVRgt4nLv,https://openreview.net/pdf?id=lIVRgt4nLv
16,Dataset,MOOSE-Chem: Large Language Models for Rediscovering Unseen Chemistry Scientific Hypotheses,"Zonglin Yang, Wanhao Liu, Ben Gao, Tong Xie, Yuqiang Li, Wanli Ouyang, Soujanya Poria, Erik Cambria, Dongzhan Zhou",Accept (Poster),https://openreview.net/forum?id=X9OfMNNepI,https://openreview.net/pdf?id=X9OfMNNepI
17,Dataset,Cross-Domain Offline Policy Adaptation with Optimal Transport and Dataset Constraint,"Jiafei Lyu, Mengbei Yan, Zhongjian Qiao, Runze Liu, Xiaoteng Ma, Deheng Ye, Jing-Wen Yang, Zongqing Lu, Xiu Li",Accept (Poster),https://openreview.net/forum?id=LRrbD8EZJl,https://openreview.net/pdf?id=LRrbD8EZJl
