No,Type,Title,Authors,Track,Paper_Link,PDF_Link,OpenReview
1,Method,Aggregation of Dependent Expert Distributions in Multimodal Variational Autoencoders,"Rogelio A. Mancisidor, Robert Jenssen, Shujian Yu, Michael Kampffmeyer",Main,https://proceedings.mlr.press/v267/a-mancisidor25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/a-mancisidor25a/a-mancisidor25a.pdf,https://openreview.net/forum?id=jYmGi1175R
2,Method,Lightweight Protocols for Distributed Private Quantile Estimation,"Anders Aamand, Fabrizio Boninsegna, Abigail Gentle, Jacob Imola, Rasmus Pagh",Main,https://proceedings.mlr.press/v267/aamand25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25a/aamand25a.pdf,https://openreview.net/forum?id=zL6ljQvPzZ
3,Method,Breaking the $n^1.5$ Additive Error Barrier for Private and Efficient Graph Sparsification via Private Expander Decomposition,"Anders Aamand, Justin Y. Chen, Mina Dalirrooyfard, Slobodan Mitrović, Yuriy Nevmyvaka, Sandeep Silwal, Yinzhan Xu",Main,https://proceedings.mlr.press/v267/aamand25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25b/aamand25b.pdf,https://openreview.net/forum?id=7OxAdd8BUo
4,Method,Improved Approximations for Hard Graph Problems using Predictions,"Anders Aamand, Justin Y. Chen, Siddharth Gollapudi, Sandeep Silwal, Hao Wu",Main,https://proceedings.mlr.press/v267/aamand25c.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/aamand25c/aamand25c.pdf,https://openreview.net/forum?id=5QMJZiHuGn
5,Method,Graph Neural Network Generalization With Gaussian Mixture Model Based Augmentation,"Yassine Abbahaddou, Fragkiskos D. Malliaros, Johannes F. Lutzeyer, Amine M. Aboussalah, Michalis Vazirgiannis",Main,https://proceedings.mlr.press/v267/abbahaddou25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abbahaddou25a/abbahaddou25a.pdf,https://openreview.net/forum?id=JCKkum1Qye
6,Dataset,LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models,"Marwa Abdulhai, Isadora White, Charlie Victor Snell, Charles Sun, Joey Hong, Yuexiang Zhai, Kelvin Xu, Sergey Levine",Main,https://proceedings.mlr.press/v267/abdulhai25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abdulhai25a/abdulhai25a.pdf,https://openreview.net/forum?id=hmGhP5DO2W
7,Method,Task Generalization with Autoregressive Compositional Structure: Can Learning from $D$ Tasks Generalize to $D^T$ Tasks?,"Amirhesam Abedsoltan, Huaqing Zhang, Kaiyue Wen, Hongzhou Lin, Jingzhao Zhang, Mikhail Belkin",Main,https://proceedings.mlr.press/v267/abedsoltan25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abedsoltan25a/abedsoltan25a.pdf,https://openreview.net/forum?id=iZdGZSWe1A
8,Method,Consensus Is All You Get: The Role of Attention in Transformers,"Álvaro Rodrı́guez Abella, João Pedro Silvestre, Paulo Tabuada",Main,https://proceedings.mlr.press/v267/abella25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abella25a/abella25a.pdf,https://openreview.net/forum?id=XROl6J4wjX
9,Method,Soup-of-Experts: Pretraining Specialist Models via Parameters Averaging,"Pierre Ablin, Angelos Katharopoulos, Skyler Seto, David Grangier",Main,https://proceedings.mlr.press/v267/ablin25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ablin25a/ablin25a.pdf,https://openreview.net/forum?id=MFNIka7nx0
10,Method,Parameters vs FLOPs: Scaling Laws for Optimal Sparsity for Mixture-of-Experts Language Models,"Samira Abnar, Harshay Shah, Dan Busbridge, Alaaeldin El-Nouby, Joshua M. Susskind, Vimal Thilak",Main,https://proceedings.mlr.press/v267/abnar25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abnar25a/abnar25a.pdf,https://openreview.net/forum?id=l9FVZ7NXmm
11,Method,Grokking in the Wild: Data Augmentation for Real-World Multi-Hop Reasoning with Transformers,"Roman Abramov, Felix Steinbauer, Gjergji Kasneci",Main,https://proceedings.mlr.press/v267/abramov25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abramov25a/abramov25a.pdf,https://openreview.net/forum?id=lyUJH51URt
12,Method,EnIGMA: Interactive Tools Substantially Assist LM Agents in Finding Security Vulnerabilities,"Talor Abramovich, Meet Udeshi, Minghao Shao, Kilian Lieret, Haoran Xi, Kimberly Milner, Sofija Jancheska, John Yang, Carlos E Jimenez, Farshad Khorrami, Prashanth Krishnamurthy, Brendan Dolan-Gavitt, Muhammad Shafique, Karthik R Narasimhan, Ramesh Karri, Ofir Press",Main,https://proceedings.mlr.press/v267/abramovich25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/abramovich25a/abramovich25a.pdf,https://openreview.net/forum?id=Of3wZhVv1R
13,Method,Star Attention: Efficient LLM Inference over Long Sequences,"Shantanu Acharya, Fei Jia, Boris Ginsburg",Main,https://proceedings.mlr.press/v267/acharya25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/acharya25a/acharya25a.pdf,https://openreview.net/forum?id=QY7Au9nZwp
14,Method,Geometric Median (GM) Matching for Robust k-Subset Selection from Noisy Data,"Anish Acharya, Sujay Sanghavi, Alex Dimakis, Inderjit S Dhillon",Main,https://proceedings.mlr.press/v267/acharya25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/acharya25b/acharya25b.pdf,https://openreview.net/forum?id=pxfpGbeVx2
15,Method,Inverse Problem Sampling in Latent Space Using Sequential Monte Carlo,"Idan Achituve, Hai Victor Habi, Amir Rosenfeld, Arnon Netzer, Idit Diamant, Ethan Fetaya",Main,https://proceedings.mlr.press/v267/achituve25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/achituve25a/achituve25a.pdf,https://openreview.net/forum?id=mWKCajTUUu
16,Method,An in depth look at the Procrustes-Wasserstein distance: properties and barycenters,"Davide Adamo, Marco Corneli, Manon Vuillien, Emmanuelle Vila",Main,https://proceedings.mlr.press/v267/adamo25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/adamo25a/adamo25a.pdf,https://openreview.net/forum?id=bp975dIAjt
