No,Type,Title,Authors,Track,Decision,Paper_Link,PDF_Link
1,Dataset,AVI-Bench: Toward Human-like Audio-Visual Intelligence of Omni-MLLMs,"Yaoting Wang, Ziyi Zhang, Wenming Tu, Shaoxuan Xu, Wenjie Du, Cheng Liang, weijun wang, Yuanchao Li, Guangyao Li, Hao Fei, Yuanchun Li, Henghui Ding, Yunxin Liu",Main,Accept (regular),https://openreview.net/forum?id=zvkcVWBmcF,https://openreview.net/pdf?id=zvkcVWBmcF
2,Dataset,MGAL: A Multilingual Granularity-Aware Long-Context Benchmark,"Chunhan Li, Chenglin Xu, Zongyang Zhang, Jiale Liu, Zhuoxi Rao, Xudong jia, JUNXIU HE, Menglin Yang, Wenjuan Gong, Zhengzhe Liu, Chengwei Qin",Main,Accept (regular),https://openreview.net/forum?id=4RJrwbGKfL,https://openreview.net/pdf?id=4RJrwbGKfL
3,Dataset,Temporal Context Reinstatement Drives Episodic-Like Order Memory in Long-Context Language Models,"Mathis Pink, Vy Vo, Qinyuan Wu, Jianing Mu, Javier Turek, Uri Hasson, Kenneth Norman, Sebastian Michelmann, Alexander Huth, Mariya Toneva",Main,Accept (regular),https://openreview.net/forum?id=sycSMgogxM,https://openreview.net/pdf?id=sycSMgogxM
4,Dataset,DECO: Decoupled Multimodal Diffusion Transformer for Bimanual Dexterous Manipulation with a Plugin Tactile Adapter,"Xukun Li, Yu Sun, Lei Zhang, Bo-Sheng Huang, Yibo Peng, Yuan Meng, Haojun Jiang, Shaoxuan Xie, Guocai Yao, Alois Knoll, Zhenshan Bing, Xinlong Wang, Zhenguo Sun",Main,Accept (regular),https://openreview.net/forum?id=4N4BXVWEWg,https://openreview.net/pdf?id=4N4BXVWEWg
5,Dataset,3D Scene Assertion Verification,"Jun Lin, Jiayu Ding, Xiangtian Si, Xitong Cao, Lixin Hong, Zhang Chen, Chenxi Lv, Wenqian Wang",Main,Accept (regular),https://openreview.net/forum?id=tDWaPO0Cim,https://openreview.net/pdf?id=tDWaPO0Cim
6,Dataset,Quantifying the Generalization Gap in Seizure Detection: A Large-Scale Empirical Benchmark via the SzCORE Challenge,"Jonathan Dan, Amirhossein Shahbazinia, Christodoulos Kechris, David Atienza",Main,Accept (regular),https://openreview.net/forum?id=3vhn9kVVY5,https://openreview.net/pdf?id=3vhn9kVVY5
7,Dataset,SL-VC: A Benchmark and Automated Framework for Separation Logic Verification Condition Proving,"Hanyang Wang, Xiwei Wu, Qinxiang Cao",Main,Accept (regular),https://openreview.net/forum?id=3rvOJyHibr,https://openreview.net/pdf?id=3rvOJyHibr
8,Dataset,ML-Embed: Inclusive and Efficient Embeddings for a Multilingual World,"Ziyin Zhang, Zihan Liao, Hang Yu, Peng Di, Rui Wang",Main,Accept (regular),https://openreview.net/forum?id=amwGknX1Bx,https://openreview.net/pdf?id=amwGknX1Bx
9,Dataset,TopBench: A Benchmark for Implicit Predictive Reasoning in Tabular Question Answering,"An-Yang Ji, Jun-Peng Jiang, De-Chuan Zhan, Han-Jia Ye",Main,Accept (regular),https://openreview.net/forum?id=3V1dG9Jp8E,https://openreview.net/pdf?id=3V1dG9Jp8E
10,Dataset,Fleet: Few Shots Lead Effective AI-generated Image Detection,"Jiaan Wang, Sirui Liu, Yu Li, Kaiyuan Yang, Juan Cao, Sheng Tang",Main,Accept (regular),https://openreview.net/forum?id=3QstqZrwjO,https://openreview.net/pdf?id=3QstqZrwjO
11,Dataset,MICE-Bench: A Challenging and Comprehensive Benchmark for Multi-Reference Image Creation and Editing,"Siqi Luo, Huayu Zheng, Jianghan Shen, Yi Xin, Luxin Xu, Jiyao Liu, Xinyu Zhang, Hang Zhou, Pengyu Xie, Xiaohui Li, Shuo Cao, Yuandong Pu, Junjun He, Bin Fu, Yihao Liu, Yu Qiao, Guangtao Zhai, Yuewen Cao, Xiaohong Liu",Main,Accept (regular),https://openreview.net/forum?id=2p9PIlKD6q,https://openreview.net/pdf?id=2p9PIlKD6q
12,Dataset,TFRBench: A Reasoning Benchmark for Evaluating Forecasting Systems,"Md Atik Ahamed, Mihir Parmar, Palash Goyal, Yiwen Song, Long T. Le, Qiang Cheng, Chun-Liang Li, Hamid Palangi, Jinsung Yoon, Tomas Pfister",Main,Accept (regular),https://openreview.net/forum?id=3ExTD9F0u1,https://openreview.net/pdf?id=3ExTD9F0u1
