No,Type,Title,Authors,Track,DOI,Paper_Link,PDF_Link
1,Dataset,Cxmarena: Unified Dataset To Benchmark Performance In Realistic Cxm Scenarios,"Gupta, Karan; Garg, Raghav; Sharma, Kapil",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31583-0_43,https://doi.org/10.1007/978-3-032-31583-0_43,https://link.springer.com/content/pdf/10.1007/978-3-032-31583-0_43
2,Dataset,Benchmarking Transformers On Spatio-Temporal River Water Temperature Modeling,"Jia, Linlin; Fankhauser, Benjamin; Bigler, Vidushi; Riesen, Kaspar",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31663-9_17,https://doi.org/10.1007/978-3-032-31663-9_17,https://link.springer.com/content/pdf/10.1007/978-3-032-31663-9_17
3,Dataset,Diagnosing Llm Benchmark: A Psychometric Analysis Of Difficulty And Discrimination,"Qin, Jiacheng; Zhang, Xu; Feng, Dawei; Ding, Bo; Zhai, Yuanzhao",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31673-8_10,https://doi.org/10.1007/978-3-032-31673-8_10,https://link.springer.com/content/pdf/10.1007/978-3-032-31673-8_10
4,Dataset,Merge-Bench: Resolve Merge Conflicts With Large Language Models,"Schesch, Benedikt; Ernst, Michael",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31397-3_41,https://doi.org/10.1007/978-3-032-31397-3_41,https://link.springer.com/content/pdf/10.1007/978-3-032-31397-3_41
5,Dataset,Emoxformer: Human-Cognition-Inspired Multimodal Emotion Recognition From Disjoint Modality Datasets,"Aisha, Qurat Ul Ain; Choi, Ji-Hoon; Choi, Se-In; Roy, Partha Pratim ; Kim, Byung-Gyu",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31404-8_20,https://doi.org/10.1007/978-3-032-31404-8_20,https://link.springer.com/content/pdf/10.1007/978-3-032-31404-8_20
6,Dataset,Ticr: A New Brazilian-Oriented Benchmark Dataset For Tuberculosis Identification In Chest Radiographs,"Pereira, Clayton; Rodrigues, Douglas; Paschoalini, Enzo; Papa, João",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31927-2_12,https://doi.org/10.1007/978-3-032-31927-2_12,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_12
7,Dataset,Beam: Exact Benchmarking Of Explainable Ai Attribution Methods,"Brandt, Rafaël ; Strisciuglio, Nicola; Raatjes,  Daan; Gaydadjiev, Georgi",T1: Machine Learning and Artificial Intelligence in Pattern Recognition,10.1007/978-3-032-31930-2_24,https://doi.org/10.1007/978-3-032-31930-2_24,https://link.springer.com/content/pdf/10.1007/978-3-032-31930-2_24
8,Dataset,Nvs-Ho: A Benchmark For Novel View Synthesis Of Handheld Objects,"Ali, Musawar; Carranza-García, Manuel; Fioraio, Nicola; Salti, Samuele ; Di Stefano, Luigi",T2: Computer and Robot Vision,10.1007/978-3-032-31583-0_37,https://doi.org/10.1007/978-3-032-31583-0_37,https://link.springer.com/content/pdf/10.1007/978-3-032-31583-0_37
9,Dataset,A Baseline Study And Benchmark For Few-Shot Open-Set Action Recognition With Feature Residual Discrimination,"Berti, Stefano; Paquale, Giulia; Natale, Lorenzo",T2: Computer and Robot Vision,10.1007/978-3-032-31663-9_31,https://doi.org/10.1007/978-3-032-31663-9_31,https://link.springer.com/content/pdf/10.1007/978-3-032-31663-9_31
10,Dataset,Evostruggle: A Dataset Capturing The Evolution Of Struggle Across Activities And Skill Levels,"Feng, Shijia; Wray, Michael; Mayol-Cuevas, Walterio",T2: Computer and Robot Vision,10.1007/978-3-032-31666-0_7,https://doi.org/10.1007/978-3-032-31666-0_7,https://link.springer.com/content/pdf/10.1007/978-3-032-31666-0_7
