No,Type,Title,Authors,Track,Paper_Link,PDF_Link
1,Dataset,ResearchEnvBench: Benchmarking Agents on Environment Synthesis for Research Code Execution,"Yubang Wang, Chenxi Zhang, Bowen Chen, Zezheng Huai, Zihao Dai, Xinchi Chen, Yuxin Wang, Yining Zheng, Jingjing Gong, Xipeng Qiu",Main Track > Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2026/48,https://www.ijcai.org/proceedings/2026/0048.pdf
2,Dataset,HardSecBench: Benchmarking the Security Awareness of LLMs for Hardware Code Generation,"Qirui Chen, Jingxian Shuai, Shuangwu Chen, Shenghao Ye, Zijian Wen, Xufei Su, Jie Jin, Jiangming Li, Jun Chen, Xiaobin Tan, Jian Yang","Main Track > AI Ethics, Trust, Fairnes",https://www.ijcai.org/proceedings/2026/57,https://www.ijcai.org/proceedings/2026/0057.pdf
3,Dataset,MELLA: Bridging Linguistic Capability and Cultural Groundedness for Low-Resource Language MLLMs,"Yufei Gao, Jiaying Fei, Nuo Chen, Ruirui Chen, Guohang Yan, Yunshi Lan, Botian Shi",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/125,https://www.ijcai.org/proceedings/2026/0125.pdf
4,Dataset,Benchmarking and Enhancing Relational Diagrams Reasoning for Multimodal Large Language Models,"Tianyu Hong, Peng Wang, Wenjun Ke, Yao He, Hongao Wang",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/132,https://www.ijcai.org/proceedings/2026/0132.pdf
5,Dataset,A3fford-HOI: Anatomy-Aligned Affordance Disentanglement for Fine-grained and Generalizable Hand Object Interaction,"Xurui Hu, Xingqun Qi, Bingkun Yang, Chen Su, Yiwei Ru, Junhui Yin, Muyi Sun, Man Zhang",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/134,https://www.ijcai.org/proceedings/2026/0134.pdf
6,Dataset,Bootstrapping Video Interaction Generation with Synthetic State Transitions,"Jiho Jang, Jin-Young Kim, Nojun Kwak, Kyungjune Baek",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/139,https://www.ijcai.org/proceedings/2026/0139.pdf
7,Dataset,VGA-BenchV2: An Expanded Unified Benchmark and Multi-Model Framework for Evaluating Video Aesthetics and Generation Quality,"Longteng Jiang, Dandan Zheng, Qianqian Qiao, Heng Huang, Huaye Wang, Yihang Bo, Bao Peng, Jingdong Chen, Jun Zhou, Xin Jin",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/142,https://www.ijcai.org/proceedings/2026/0142.pdf
8,Dataset,Rethinking Multi-Modal Point Cloud Completion: Query-Aware Gating Attention and Gramian Volume Alignment,"Jiye Liang, Haoyu Wang, Chenghao Fang, Kaixuan Yao",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/156,https://www.ijcai.org/proceedings/2026/0156.pdf
9,Dataset,Listen and Count: Expanding the Frontier of Zero-shot Object Counting to Sound-centric Counting,"Mingjie Wang, Zhuohang Li, Qi Zhang, Jun Zhou, Zili Yi, Minglun Gong",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/194,https://www.ijcai.org/proceedings/2026/0194.pdf
10,Dataset,SpatialV2A: Visual-Guided High-fidelity Spatial Audio Generation,"Yanan Wang, Linjie Ren, Zihao Li, Junyi Wang, Tian Gan",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/198,https://www.ijcai.org/proceedings/2026/0198.pdf
11,Dataset,IPSM-Bench: A New Intermediate Phase Segmentation Benchmark in Microstructure Images of Zinc-Based Absorbable Biomaterials,"Jinglin Xu, Shangyan Zhao, Jiabo Wang, Xinghong Mu, Yulong Lei, Jiacheng Zhang, Hongbo Sun, Yageng Li",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/215,https://www.ijcai.org/proceedings/2026/0215.pdf
12,Dataset,Shot-Conditioned Vision-Language Adaptation for Effective Harmful Content Detection from Online Short Videos,"Shuai Xu, Zao Qiu, Xuelin Zhu, Yicong Li",Main Track > Computer Vision,https://www.ijcai.org/proceedings/2026/216,https://www.ijcai.org/proceedings/2026/0216.pdf
