No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
1,Dataset,UMCL: Unimodal-generated Multimodal Contrastive Learning for Cross-compression-rate Deepfake Detection,"Ching-Yi Lai, Chih-Yu Jian, Pei-Cheng Chuang, Chia-Ming Lee, Chih-Chung Hsu, Chiou-Ting Hsu, Chia-Wen Lin",134,1,2026-1,Issue/Volume,10.1007/s11263-025-02606-0,https://doi.org/10.1007/s11263-025-02606-0
2,Dataset,Self-Supervised Skeleton-Based Action Representation Learning: A Benchmark and Beyond,"Jiahang Zhang, Lilang Lin, Shuai Yang, Jiaying Liu",134,1,2026-1,Issue/Volume,10.1007/s11263-025-02644-8,https://doi.org/10.1007/s11263-025-02644-8
3,Dataset,Are Minimal Radial Distortion Solvers Really Necessary for Relative Pose Estimation?,"Viktor Kocur, Charalambos Tzamos, Yaqing Ding, Zuzana Berger Haladova, Torsten Sattler, Zuzana Kukelova",134,2,2026-1-9,Issue/Volume,10.1007/s11263-025-02657-3,https://doi.org/10.1007/s11263-025-02657-3
4,Dataset,Symmetria: A Synthetic Dataset for Learning in Point Clouds,"Ivan Sipiran, Gustavo Santelices, Lucas Oyarzún, Andrea Ranieri, Chiara Romanengo, Silvia Biasotti, Bianca Falcidieno",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02684-0,https://doi.org/10.1007/s11263-025-02684-0
5,Dataset,Taming Data and Transformers for Audio Generation,"Moayed Haji-Ali, Willi Menapace, Aliaksandr Siarohin, Guha Balakrishnan, Vicente Ordonez",134,3,2026-1-28,Issue/Volume,10.1007/s11263-025-02632-y,https://doi.org/10.1007/s11263-025-02632-y
6,Dataset,On Combining Animal Re-Identification Models to Address Small Datasets,"Aleksandr Algasov, Ekaterina Nepovinnykh, Fedor Zolotarev, Tuomas Eerola, Heikki Kälviäinen, Charles V. Stewart, Lasha Otarashvili, Jason A. Holmberg",134,3,2026-1-30,Issue/Volume,10.1007/s11263-025-02708-9,https://doi.org/10.1007/s11263-025-02708-9
7,Dataset,EgoPlan-Bench: Benchmarking Multimodal Large Language Models for Human-Level Planning,"Yi Chen, Yuying Ge, Yixiao Ge, Mingyu Ding, Bohao Li, Rui Wang, Ruifeng Xu, Ying Shan, Xihui Liu",134,3,2026-2-12,Issue/Volume,10.1007/s11263-025-02676-0,https://doi.org/10.1007/s11263-025-02676-0
8,Dataset,FurniScene: A Large-scale 3D Room Dataset with Intricate Furnishing Scenes,"Yuxi Wang, Junran Peng, Genghao Zhang, Chuanchen Luo, Shibiao Xu, Man Zhang, Zhaoxiang Zhang",134,3,2026-2-21,Issue/Volume,10.1007/s11263-025-02634-w,https://doi.org/10.1007/s11263-025-02634-w
9,Dataset,"Unveiling Deep Shadows: A Survey and Benchmark on Image and Video Shadow Detection, Removal, and Generation in the Deep Learning Era","Xiaowei Hu, Zhenghao Xing, Tianyu Wang, Chi-Wing Fu, Pheng-Ann Heng",134,4,2026-3-6,Issue/Volume,10.1007/s11263-026-02744-z,https://doi.org/10.1007/s11263-026-02744-z
10,Dataset,A Novel Dataset and Lightweight Distillation Baseline for Highlight Transparent Object Detection,"Zekai Zhang, Gang Li, Haijun Zhang, Qinghui Chen, Qunshu Zhang, Jin Wan, MaoMao Xiong, Cong Bai, Dagang Li, Wenyin Zhang, Xing Wang, Jinglin Zhang, Shengyong Chen",134,4,2026-3-6,Issue/Volume,10.1007/s11263-025-02718-7,https://doi.org/10.1007/s11263-025-02718-7
11,Dataset,TARGO and TARGO-Net: Benchmarking Target-Driven Object Grasping Under Occlusions,"Yan Xia, Ran Ding, Ziyuan Qin, Guanqi Zhan, Kaichen Zhou, Long Yang, Hao Dong, Daniel Cremers",134,4,2026-3-7,Issue/Volume,10.1007/s11263-025-02716-9,https://doi.org/10.1007/s11263-025-02716-9
12,Dataset,Implicit Non-Causal Factors are Out via Dataset Splitting for Domain Generalization Object Detection,"Zhilong Zhang, Lei Zhang, Qing He, Shuyin Xia, Guoyin Wang, Fuxiang Huang",134,4,2026-3-9,Issue/Volume,10.1007/s11263-026-02771-w,https://doi.org/10.1007/s11263-026-02771-w
