No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
1,Dataset,Segmentation of Ink and Parchment in Dead Sea Scroll Fragments,"Berat Kurar-Barakat, Nachum Dershowitz",29.0,2.0,2026-2-17,Issue/Volume,10.1007/s10032-025-00564-4,https://doi.org/10.1007/s10032-025-00564-4
2,Dataset,U-DIADS-TL: a novel dataset for text line segmentation in historical manuscripts,"Silvia Zottin, Axel De Nardin, Claudio Piciarelli, Gian Luca Foresti",29.0,2.0,2026-4-18,Issue/Volume,10.1007/s10032-026-00585-7,https://doi.org/10.1007/s10032-026-00585-7
3,Dataset,Fidel: a large-scale sentence level Amharic OCR dataset,"Tunga Tessema Chamisso, Blessed Guda, Bereket Retta, Carmel Prosper Sagbo, Gabrial Zencha Ashungafac, Assane Gueye",,,2026-5-7,Early Access / In Press,10.1007/s10032-026-00593-7,https://doi.org/10.1007/s10032-026-00593-7
4,Dataset,Bharat scene text: a novel comprehensive dataset and benchmark for indian language scene text understanding,"Anik De, Abhirama Subramanyam Penamakuri, Rajeev Yadav, Aditya Rathore, Harshiv Shah, Devesh Sharma, Sagar Agarwal, Pravin Kumar, Anand Mishra",,,2026-6-18,Early Access / In Press,10.1007/s10032-026-00583-9,https://doi.org/10.1007/s10032-026-00583-9
5,Dataset,DKDS: A Benchmark Dataset of Degraded Kuzushiji Documents with Seals for Detection and Binarization,"Rui-Yang Ju, Kohei Yamashita, Hirotaka Kameko, Shinsuke Mori",,,2026-6-29,Early Access / In Press,10.1007/s10032-026-00595-5,https://doi.org/10.1007/s10032-026-00595-5
6,Dataset,AIKON: a modular computer vision platform for historical corpora,"Ségolène Albouy, Somkeo Norindr, Paul Kervegan, Fouad Aouinti, Rémy Delanaux, Clara Grometto, Robin Champenois, Stavros Lazaris, Alexandre Guilbaud, Matthieu Husson, Mathieu Aubry",,,2026-6-30,Early Access / In Press,10.1007/s10032-026-00581-x,https://doi.org/10.1007/s10032-026-00581-x
7,Dataset,IndianPCL: A Dataset for Multimodal Legal Document Understanding,"Sagar Chakraborty, Neeraj Boddeda, Aditya Palakurty, Gaurav Harit, Saptarshi Ghosh",,,2026-7-1,Early Access / In Press,10.1007/s10032-026-00601-w,https://doi.org/10.1007/s10032-026-00601-w
8,Dataset,A study of handwritten text recognition with cross-out words,"Gayan H. Pathirage, Simon Corbillé, Filip Wåhlin, Nazrul Islam, Elisa H. Barney Smith",,,2026-7-2,Early Access / In Press,10.1007/s10032-026-00603-8,https://doi.org/10.1007/s10032-026-00603-8
9,Dataset,Large language models for OCR in cultural heritage: a comparative study on Slovene Folkloristic texts,"Octavian M. Machidon, Jasmina Rejec, Domen Vreš, Alina L. Machidon",,,2026-8-1,Early Access / In Press,10.1007/s10032-026-00612-7,https://doi.org/10.1007/s10032-026-00612-7
10,Dataset,Benchmarking OCR and vision-language models for Turkish text recognition: a comprehensive evaluation using synthetic data,"Yasin Yılmaz, Erol Görkem Hanoğlu, Ayşe Gül Özkan, Kasım Öztoprak",,,2026-8-21,Early Access / In Press,10.1007/s10032-026-00613-6,https://doi.org/10.1007/s10032-026-00613-6
