No,Type,Title,Authors,Volume,Paper_Link,PDF_Link,Code_Link
1,Dataset,Memory Gym: Towards Endless Tasks to Benchmark Memory Capabilities of Agents,"Marco Pleines, Matthias Pallasch, Frank Zimmer, Mike Preuss",26,https://www.jmlr.org/papers/v26/24-0043.html,https://www.jmlr.org/papers/volume26/24-0043/24-0043.pdf,https://marcometer.github.io/jmlr_2024.github.io/
2,Dataset,PFLlib: A Beginner-Friendly and Comprehensive Personalized Federated Learning Library and Benchmark,"Jianqing Zhang, Yang Liu, Yang Hua, Hao Wang, Tao Song, Zhengui Xue, Ruhui Ma, Jian Cao",26,https://www.jmlr.org/papers/v26/23-1634.html,https://www.jmlr.org/papers/volume26/23-1634/23-1634.pdf,https://github.com/TsingZ0/PFLlib
3,Dataset,ClimSim-Online: A Large Multi-Scale Dataset and Framework for Hybrid Physics-ML Climate Emulation,"Sungduk Yu, Zeyuan Hu, Akshay Subramaniam, Walter Hannah, Liran Peng, Jerry Lin, Mohamed Aziz Bhouri, Ritwik Gupta, BjÃ¶rn LÃ¼tjens, Justus C. Will, Gunnar Behrens, Julius J. M. Busecke, Nora Loose, Charles I Stern, Tom Beucler, Bryce Harrop, Helge Heuer, Benjamin R Hillman, Andrea Jenney, Nana Liu, Alistair White, Tian Zheng, Zhiming Kuang, Fiaz Ahmed, Elizabeth Barnes, Noah D. Brenowitz, Christopher Bretherton, Veronika Eyring, Savannah Ferretti, Nicholas Lutsko, Pierre Gentine, Stephan Mandt, J. David Neelin, Rose Yu, Laure Zanna, Nathan M. Urban, Janni Yuval, Ryan Abernathey, Pierre Baldi, Wayne Chuang, Yu Huang, Fernando Iglesias-Suarez, Sanket Jantre, Po-Lun Ma, Sara Shamekh, Guang Zhang, Michael Pritchard",26,https://www.jmlr.org/papers/v26/24-1014.html,https://www.jmlr.org/papers/volume26/24-1014/24-1014.pdf,https://leap-stc.github.io/ClimSim
4,Dataset,"""What is Different Between These Datasets?"" A Framework for Explaining Data Distribution Shifts","Varun Babbar*, Zhicheng Guo*, Cynthia Rudin",26,https://www.jmlr.org/papers/v26/24-0352.html,https://www.jmlr.org/papers/volume26/24-0352/24-0352.pdf,https://github.com/chengstark/Interpretable-Dataset-Difference-Explanation
5,Dataset,FusionBench: A Unified Library and Comprehensive Benchmark for Deep Model Fusion,"Anke Tang, Li Shen, Yong Luo, Enneng Yang, Han Hu, Lefei Zhang, Bo Du, Dacheng Tao",26,https://www.jmlr.org/papers/v26/25-1243.html,https://www.jmlr.org/papers/volume26/25-1243/25-1243.pdf,https://github.com/tanganke/fusion_bench
6,Method,Efficiently Escaping Saddle Points in Bilevel Optimization,"Minhui Huang, Xuxing Chen, Kaiyi Ji, Shiqian Ma, Lifeng Lai",26,https://www.jmlr.org/papers/v26/22-0136.html,https://www.jmlr.org/papers/volume26/22-0136/22-0136.pdf,
7,Method,Bayes Meets Bernstein at the Meta Level: an Analysis of Fast Rates in Meta-Learning with PAC-Bayes,"Charles Riou, Pierre Alquier, Badr-Eddine ChÃ©rief-Abdellatif",26,https://www.jmlr.org/papers/v26/23-025.html,https://www.jmlr.org/papers/volume26/23-025/23-025.pdf,
8,Method,DisC2o-HD: Distributed causal inference with covariates shift for analyzing real-world high-dimensional data,"Jiayi Tong, Jie Hu, George Hripcsak, Yang Ning, Yong Chen",26,https://www.jmlr.org/papers/v26/23-1254.html,https://www.jmlr.org/papers/volume26/23-1254/23-1254.pdf,
9,Method,Deep Out-of-Distribution Uncertainty Quantification via Weight Entropy Maximization,"Antoine de Mathelin, FranÃ§ois Deheeger, Mathilde Mougeot, Nicolas Vayatis",26,https://www.jmlr.org/papers/v26/23-1359.html,https://www.jmlr.org/papers/volume26/23-1359/23-1359.pdf,
10,Method,Enhancing Graph Representation Learning with Localized Topological Features,"Zuoyu Yan, Qi Zhao, Ze Ye, Tengfei Ma, Liangcai Gao, Zhi Tang, Yusu Wang, Chao Chen",26,https://www.jmlr.org/papers/v26/23-1424.html,https://www.jmlr.org/papers/volume26/23-1424/23-1424.pdf,
11,Method,A Random Matrix Approach to Low-Multilinear-Rank Tensor Approximation,"Hugo Lebeau, Florent Chatelain, Romain Couillet",26,https://www.jmlr.org/papers/v26/24-0193.html,https://www.jmlr.org/papers/volume26/24-0193/24-0193.pdf,
