No,Type,Title,Authors,Volume,DOI,Paper_Link
1,Dataset,AlphaForgeBench: Benchmarking End-to-End Trading Strategy Design with Large Language Models,"Wentao Zhang, Mingxuan Zhao, Jincheng Gao, Jieshun You, Huaiyu Jia, Yilei Zhao, Bo An, Shuo Sun",10.1145/3770855,10.1145/3770855.3817500,https://doi.org/10.1145/3770855.3817500
2,Dataset,How Far Are Large Multimodal Models from Human-Level Spatial Action? A Benchmark for Goal-Oriented Embodied Navigation in Urban Airspace,"Baining Zhao, Ziyou Wang, Jianjie Fang, Zile Zhou, Yanggang Xu, Yatai Ji, Jiacheng Xu, Qian Zhang, Weichen Zhang, Chen Gao, Xinlei Chen",10.1145/3770855,10.1145/3770855.3817501,https://doi.org/10.1145/3770855.3817501
3,Dataset,Towards Event-Aware Forecasting in DeFi: Insights from On-chain Automated Market Maker Protocols,"Huaiyu Jia, Jieshun You, Jingyu Liu, Yizhi Luo, Shuo Sun",10.1145/3770855,10.1145/3770855.3817502,https://doi.org/10.1145/3770855.3817502
4,Dataset,Edu-Eval: A Large-Scale Multimodal Benchmark for MLLMs in Authentic Educational Scenarios,"Zhiyi Duan, Jiangshan Guan, Qianli Xing",10.1145/3770855,10.1145/3770855.3817503,https://doi.org/10.1145/3770855.3817503
5,Dataset,"CA-DEL: An Open Multi-Target, Multi-Modal Benchmark for Learning from DNA-Encoded Library Screens","Mutian He, Hanqun Cao, Cheng Tan, Zijun Gao, Xiaojun Yao, Chunbin Gu, Pheng-Ann Heng",10.1145/3770855,10.1145/3770855.3817504,https://doi.org/10.1145/3770855.3817504
6,Dataset,SurveyReview: A Reviewer-Aligned Benchmark for Survey Evaluators,"Yuheng Zhang, Yuanchun Wang, Fanjin Zhang, Ruyu Zhao, Juanzi Li, Jie Tang, Jing Zhang",10.1145/3770855,10.1145/3770855.3817505,https://doi.org/10.1145/3770855.3817505
7,Dataset,ProductWebGen: Benchmarking Multimodal Product Webpage Generation,"Zhihong Liu, Siqi Kou, Zheng Li, Ye Ma, Quan Chen, Peng Jiang, Kai Yu, Zhijie Deng",10.1145/3770855,10.1145/3770855.3817507,https://doi.org/10.1145/3770855.3817507
8,Dataset,TEFD: A Benchmark for Natural Language to Flux Query Generation in Time-Series Databases,"Xuefeng Wu, Yuanfeng Song, Jiawei Wen, Dandan Huang, Raymond Chi-Wing Wong, Haodi Zhang",10.1145/3770855,10.1145/3770855.3817508,https://doi.org/10.1145/3770855.3817508
9,Dataset,FakeI2V-Bench: Benchmarking the Applicability of Image-level Deepfake Detectors for Deepfake Video Detection,"Pei Li, Sihan Chen, Delong Ran, Tianshuo Cong",10.1145/3770855,10.1145/3770855.3817509,https://doi.org/10.1145/3770855.3817509
10,Dataset,OmniScience: A Large-scale Multi-modal Dataset for Scientific Image Understanding,"Haoyi Tao, Chaozheng Huang, Nan Wang, Han Lyu, Linfeng Zhang, Guolin Ke, Xi Fang",10.1145/3770855,10.1145/3770855.3817510,https://doi.org/10.1145/3770855.3817510
11,Dataset,PhotoBench: Beyond Visual Matching Towards Personalized Intent-Driven Photo Retrieval,"Tianyi Xu, Rong Shan, Junjie Wu, Jiachen Zhu, Jiadeng Huang, Teng Wang, Wenteng Chen, Minxin Tu, Quantao Dou, Zhaoxiang Wang, Changwang Zhang, Weinan Zhang, Jun Wang, Jianghao Lin",10.1145/3770855,10.1145/3770855.3817511,https://doi.org/10.1145/3770855.3817511
12,Dataset,DMind Benchmark: Toward a Holistic Assessment of LLM Capabilities across the Web3 Domain,"Enhao Huang, Pengyu Sun, Shuxun Wang, Zixin Lin, Alex Chen, Kaichun Hu, Joey Ouyang, Frank Li, Zhiyu Zhang, Haobo Wang, Yiming Li, Zhan Qin, James Yi, Gang Zhao, Ziang Ling, Lowes Yang",10.1145/3770855,10.1145/3770855.3817512,https://doi.org/10.1145/3770855.3817512
13,Dataset,From Outcomes to Mechanisms: A Benchmark for Diagnosing LLM's Mechanism Hallucination on Data Inference Externalities,"Xuanyi Li, Ankun Feng, Nianze Jing, Zeyan Li, Yaxin Li, Keman Huang, Xiaoyong Du",10.1145/3770855,10.1145/3770855.3817513,https://doi.org/10.1145/3770855.3817513
14,Dataset,DTBench: A Synthetic Benchmark for Document-to-Table Extraction,"Yuxiang Guo, Zhuoran Du, Nan Tang, Kezheng Tang, Congcong Ge, Yunjun Gao",10.1145/3770855,10.1145/3770855.3817516,https://doi.org/10.1145/3770855.3817516
