No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
1,Dataset,PolypSense3D: A Multi-Source Benchmark Dataset for Depth-Aware Polyp Size Measurement in Endoscopy,"Ruyu Liu, Lin Wang, Zhou Mingming, Jianhua Zhang, ZHANG HAOYU, Xiufeng Liu, Xu Cheng, Sixian Chan, Shen yanbin, Dai Sheng, Yuping Yan, Yaochu Jin, Lingjuan Lyu",Accept (poster),https://openreview.net/forum?id=138y2wo6ok,https://openreview.net/pdf?id=138y2wo6ok
2,Dataset,Reconstructing Heterogeneous Biomolecules via Hierarchical Gaussian Mixtures and Part Discovery,"Shayan Shekarforoush, David Lindell, Marcus Brubaker, David Fleet",Accept (poster),https://openreview.net/forum?id=CCbXvvcdF9,https://openreview.net/pdf?id=CCbXvvcdF9
3,Dataset,Test-Time Adaptation of Vision-Language Models for Open-Vocabulary Semantic Segmentation,"Mehrdad Noori, David OSOWIECHI, Gustavo Vargas Hakim, Ali Bahri, Moslem Yazdanpanah, Sahar Dastani, Farzad Beizaee, Ismail Ayed, Christian Desrosiers",Accept (poster),https://openreview.net/forum?id=CH76rSKWZr,https://openreview.net/pdf?id=CH76rSKWZr
4,Dataset,CoralVQA: A Large-Scale Visual Question Answering Dataset for Coral Reef Image Understanding,"hongyong han, Wei Wang, Gaowei Zhang, Mingjie Li, Yi Wang",Accept (oral),https://openreview.net/forum?id=iRsZHAMNHL,https://openreview.net/pdf?id=iRsZHAMNHL
5,Dataset,PolyMath: Evaluating Mathematical Reasoning in Multilingual Contexts,"Yiming Wang, Pei Zhang, Jialong Tang, Hao-Ran Wei, Baosong Yang, Rui Wang, Chenshu Sun, Feitong Sun, Jiran Zhang, Junxuan Wu, Qiqian Cang, Yichang Zhang, Fei Huang, Junyang Lin, Fei Huang, Jingren Zhou",Accept (poster),https://openreview.net/forum?id=B1vCImy6yI,https://openreview.net/pdf?id=B1vCImy6yI
6,Dataset,Linguini: A benchmark for language-agnostic linguistic reasoning,"Eduardo Sánchez, Belen Alastruey, Christophe Ropers, Arina Turkatenko, Pontus Lars Erik Saito Stenetorp, Mikel Artetxe, Marta Ruiz Costa-jussà",Accept (poster),https://openreview.net/forum?id=CCBPSxWOhi,https://openreview.net/pdf?id=CCBPSxWOhi
7,Dataset,SSRB: Direct Natural Language Querying to Massive Heterogeneous Semi-Structured Data,"Xin Zhang, Mingxin Li, Yanzhao Zhang, Dingkun Long, Yongqi Li, Yinghui Li, Pengjun Xie, Meishan Zhang, Wenjie Li, Min Zhang, Philip S Yu",Accept (poster),https://openreview.net/forum?id=LuMGoG6lBA,https://openreview.net/pdf?id=LuMGoG6lBA
8,Dataset,OpenGU: A Comprehensive Benchmark for Graph Unlearning,"Bowen Fan, Yuming Ai, Xunkai Li, Zhilin Guo, LEI ZHU, Guang Zeng, Rong-Hua Li, Guoren Wang",Accept (poster),https://openreview.net/forum?id=OryQSR2JUT,https://openreview.net/pdf?id=OryQSR2JUT
9,Dataset,ChemX: A Collection of Chemistry Datasets for Benchmarking Automated Information Extraction,"Anastasia Vepreva, Julia Razlivina, Mariia Eremeyeva, Nina Gubina, Anastasia Orlova, Aleksei Dmitrenko, Kapranova Xenia, Susan Jyakhwo, Nikita Vasilev, Arsen Sarkisyan, Ivan Chernyshov, Vladimir Vinogradov, Andrei Dmitrenko",Accept (poster),https://openreview.net/forum?id=PU4AcbqKp4,https://openreview.net/pdf?id=PU4AcbqKp4
10,Dataset,MUVR: A Multi-Modal Untrimmed Video Retrieval Benchmark with Multi-Level Visual Correspondence,"Yue Feng, Jinwei Hu, Qijia Lu, Jiawei Niu, Li Tan, Shuo Yuan, Ziyi Yan, Yizhen Jia, Qingzhi He, Shiping Ge, Ethan Chen, Wentong Li, Limin Wang, Jie Qin",Accept (poster),https://openreview.net/forum?id=Ub196uN2Hz,https://openreview.net/pdf?id=Ub196uN2Hz
11,Dataset,OCRBench v2: An Improved Benchmark for Evaluating Large Multimodal Models on Visual Text Localization and Reasoning,"Ling Fu, Zhebin Kuang, Jiajun Song, Mingxin Huang, Biao Yang, Yuzhe Li, Linghao Zhu, Qidi Luo, Xinyu Wang, Hao Lu, Zhang Li, Guozhi Tang, Bin Shan, Chunhui Lin, Qi Liu, Binghong Wu, Hao Feng, Hao Liu, Can Huang, Jingqun Tang, Wei Chen, Lianwen Jin, Yuliang Liu, Xiang Bai",Accept (poster),https://openreview.net/forum?id=Vb6i3Dp24N,https://openreview.net/pdf?id=Vb6i3Dp24N
12,Dataset,PhysDrive: A Multimodal Remote Physiological Measurement Dataset for In-vehicle Driver Monitoring,"Wang, Xiao Yang, Qingyong Hu, Jack Tang, Can Liu, Dengbo He, Yuntao Wang, Yingcong Chen, Kaishun Wu",Accept (poster),https://openreview.net/forum?id=VhRelRY9ii,https://openreview.net/pdf?id=VhRelRY9ii
13,Dataset,Care-PD: A Multi-Site Anonymized Clinical Dataset for Parkinson’s Disease Gait Assessment,"Vida Adeli, Ivan Klabučar, Javad Rajabi, Benjamin Filtjens, Soroush Mehraban, Diwei Wang, Trung Hieu Hoang, Minh Do, Hyewon Seo, Candice MULLER, Daniel Coelho, Claudia de Oliveira, Pieter Ginis, Moran Gilat, Alice Nieuwboer, Joke Spildooren, J. Mckay, Hyeokhyen Kwon, Gari Clifford, Christine Esper, Stewart Factor, Imari Genias, Amirhossein Dadashzadeh, Leia Shum, Alan Whone, Majid Mirmehdi, Andrea Iaboni, Babak Taati",Accept (poster),https://openreview.net/forum?id=bDBxf9f5Li,https://openreview.net/pdf?id=bDBxf9f5Li
14,Dataset,Resource-Constrained Federated Continual Learning: What Does Matter?,"Yichen Li, Yuying Wang, Jiahua Dong, Haozhao Wang, Yining Qi, Rui Zhang, Ruixuan Li",Accept (poster),https://openreview.net/forum?id=5aIVAGHCa5,https://openreview.net/pdf?id=5aIVAGHCa5
15,Dataset,MSTAR: Box-free Multi-query Scene Text Retrieval with Attention Recycling,"Liang Yin, Xudong Xie, Zhang Li, Xiang Bai, Yuliang Liu",Accept (poster),https://openreview.net/forum?id=IfYBGaVFuD,https://openreview.net/pdf?id=IfYBGaVFuD
16,Dataset,NAUTILUS: A Large Multimodal Model for Underwater Scene Understanding,"Wei Xu, Cheng Wang, Dingkang Liang, Zongchuang Zhao, Xingyu Jiang, Peng Zhang, Xiang Bai",Accept (poster),https://openreview.net/forum?id=QKOdOlfzSe,https://openreview.net/pdf?id=QKOdOlfzSe
17,Dataset,CymbaDiff: Structured Spatial Diffusion for Sketch-based 3D Semantic Urban Scene Generation,"Li Liang, Bo Miao, Xinyu Wang, NAVEED AKHTAR, Jordan Vice, Ajmal Mian",Accept (poster),https://openreview.net/forum?id=hFyIIqmcqf,https://openreview.net/pdf?id=hFyIIqmcqf
18,Dataset,Rectifying Soft-Label Entangled Bias in Long-Tailed Dataset Distillation,"Chenyang Jiang, Hang Zhao, Xinyu Zhang, Zhengcen Li, Qiben Shan, Shaocong Wu, Jingyong Su",Accept (poster),https://openreview.net/forum?id=x7EjzpW5XC,https://openreview.net/pdf?id=x7EjzpW5XC
19,Dataset,Sample-Efficient Tabular Self-Play for Offline Robust Reinforcement Learning,"Na Li, Zewu Zheng, Wei Ni, Hangguan Shan, Wenjie Zhang, Xinyu Li",Accept (poster),https://openreview.net/forum?id=xVsC90U8yl,https://openreview.net/pdf?id=xVsC90U8yl
20,Dataset,SAVVY: Spatial Awareness via Audio-Visual LLMs through Seeing and Hearing,"Mingfei Chen, Zijun Cui, Xiulong Liu, Jinlin Xiang, Yang Zheng, Jingyuan Li, Eli Shlizerman",Accept (oral),https://openreview.net/forum?id=zwCb9cKHpd,https://openreview.net/pdf?id=zwCb9cKHpd
21,Dataset,Artificial Hivemind: The Open-Ended Homogeneity of Language Models (and Beyond),"Liwei Jiang, Yuanjun Chai, Margaret Li, Mickel Liu, Raymond Fok, Nouha Dziri, Yulia Tsvetkov, Maarten Sap, Yejin Choi",Accept (oral),https://openreview.net/forum?id=saDOrrnNTz,https://openreview.net/pdf?id=saDOrrnNTz
22,Dataset,Envisioning Beyond the Pixels: Benchmarking Reasoning-Informed Visual Editing,"Xiangyu Zhao, Peiyuan Zhang, Kexian Tang, Xiaorong Zhu, Hao Li, Wenhao Chai, Zicheng Zhang, Renqiu Xia, Guangtao Zhai, Junchi Yan, Hua Yang, Xue Yang, Haodong Duan",Accept (oral),https://openreview.net/forum?id=T3UksaPK64,https://openreview.net/pdf?id=T3UksaPK64
23,Dataset,Perception Encoder: The best visual embeddings are not at the output of the network,"Daniel Bolya, Po-Yao Huang, Peize Sun, Jang Hyun Cho, Andrea Madotto, Chen Wei, Tengyu Ma, Jiale Zhi, Jathushan Rajasegaran, Hanoona Bangalath, Junke Wang, Marco Monteiro, Hu Xu, Shiyu Dong, Nikhila Ravi, Shang-Wen Li, Piotr Dollar, Christoph Feichtenhofer",Accept (oral),https://openreview.net/forum?id=INqBOmwIpG,https://openreview.net/pdf?id=INqBOmwIpG
