No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
1,Dataset,Toward real text manipulation detection: New dataset and new solution,"Dongliang Luo, Yuliang Liu, Rui Yang, Xianjin Liu, Jishen Zeng, Yu Zhou, Xiang Bai",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110828,https://doi.org/10.1016/j.patcog.2024.110828
2,Dataset,A large cross-modal video retrieval dataset with reading comprehension,"Weijia Wu, Yuzhong Zhao, Zhuang Li, Jiahong Li, Hong Zhou, Mike Zheng Shou, Xiang Bai",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110818,https://doi.org/10.1016/j.patcog.2024.110818
3,Dataset,Towards trustworthy dataset distillation,"Shijie Ma, Fei Zhu, Zhen Cheng, Xu-Yao Zhang",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110875,https://doi.org/10.1016/j.patcog.2024.110875
4,Dataset,CompNET: Boosting image recognition and writer identification via complementary neural network post-processing,"Bocheng Zhao, Xuan Cao, Wenxing Zhang, Xujie Liu, Qiguang Miao, Yunan Li",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110880,https://doi.org/10.1016/j.patcog.2024.110880
5,Dataset,Patient teacher can impart locality to improve lightweight vision transformer on small dataset,"Jun Ling, Xuan Zhang, Fei Du, Linyu Li, Weiyi Shang, Chen Gao, Tong Li",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110893,https://doi.org/10.1016/j.patcog.2024.110893
6,Dataset,Towards reliable domain generalization: Insights from the PF2HC benchmark and dynamic evaluations,"Jiao Zhang, Xiang Ao, Xu-Yao Zhang, Cheng-Lin Liu",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110926,https://doi.org/10.1016/j.patcog.2024.110926
7,Dataset,UniRTL: A universal RGBT and low-light benchmark for object tracking,"Lian Zhang, Lingxue Wang, Yuzhen Wu, Mingkun Chen, Dezhi Zheng, Liangcai Cao, Bangze Zeng, Yi Cai",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110984,https://doi.org/10.1016/j.patcog.2024.110984
8,Dataset,A benchmark dataset and semantics-guided detection network for spatial–temporal human actions in urban driving scenes,"Fujin Zhong, Yini Wu, Hong Yu, Guoyin Wang, Zhantao Lu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111035,https://doi.org/10.1016/j.patcog.2024.111035
9,Dataset,Radar gait recognition using Dual-branch Swin Transformer with Asymmetric Attention Fusion,"Wentao He, Jianfeng Ren, Ruibin Bai, Xudong Jiang",159,,2025-3,Issue/Volume,10.1016/j.patcog.2024.111101,https://doi.org/10.1016/j.patcog.2024.111101
10,Dataset,Highly realistic synthetic dataset for pixel-level DensePose estimation via diffusion model,"Jiaxiao Wen, Tao Chu, Qiong Liu",159,,2025-3,Issue/Volume,10.1016/j.patcog.2024.111137,https://doi.org/10.1016/j.patcog.2024.111137
11,Dataset,A large-scale combinatorial benchmark for sign language recognition,"Liqing Gao, Liang Wan, Lianyu Hu, Ruize Han, Zekang Liu, Peng Shi, Fanhua Shang, Wei Feng",161,,2025-5,Issue/Volume,10.1016/j.patcog.2024.111246,https://doi.org/10.1016/j.patcog.2024.111246
12,Dataset,"Human emotion and StO2: Dataset, pattern, and recognition of basic emotions","Xinyu Liu, Tong Chen, Ju Zhou, Hanpu Wang, Guangyuan Liu, Xiaolan Fu",161,,2025-5,Issue/Volume,10.1016/j.patcog.2024.111249,https://doi.org/10.1016/j.patcog.2024.111249
13,Dataset,Optimized cross-module attention network and medium-scale dataset for effective fire detection,"Zulfiqar Ahmad Khan, Fath U Min Ullah, Hikmat Yar, Waseem Ullah, Noman Khan, Min Je Kim, Sung Wook Baik",161,,2025-5,Issue/Volume,10.1016/j.patcog.2024.111273,https://doi.org/10.1016/j.patcog.2024.111273
14,Dataset,Visible–thermal multiple object tracking: Large-scale video dataset and progressive fusion approach,"Yabin Zhu, Qianwu Wang, Chenglong Li, Jin Tang, Chengjie Gu, Zhixiang Huang",161,,2025-5,Issue/Volume,10.1016/j.patcog.2024.111330,https://doi.org/10.1016/j.patcog.2024.111330
15,Dataset,3D human pose estimation and action recognition using fisheye cameras: A survey and benchmark,"Yahui Zhang, Shaodi You, Sezer Karaoglu, Theo Gevers",162,,2025-6,Issue/Volume,10.1016/j.patcog.2024.111334,https://doi.org/10.1016/j.patcog.2024.111334
16,Dataset,Scientific poster generation: A new dataset and approach,"Xinyi Zhong, Zusheng Tan, Jing Li, Shen Gao, Jing Ma, Shanshan Feng, Billy Chiu",164,,2025-8,Issue/Volume,10.1016/j.patcog.2025.111507,https://doi.org/10.1016/j.patcog.2025.111507
17,Dataset,Vision-language foundation model for generalizable nasal disease diagnosis using unlabeled endoscopic records,"Xueli Liu, Wentao Gong, Xiao Chen, Zhen Li, Yinlong Liu, Li Wang, Quan Liu, Xicai Sun, Xiaofeng Liu, Xinrong Chen, Yuxuan Shi, Hongmeng Yu",165,,2025-9,Issue/Volume,10.1016/j.patcog.2025.111646,https://doi.org/10.1016/j.patcog.2025.111646
18,Dataset,Cross-scene visual context parsing with large vision-language model,"Guoqing Zhang, Shichao Kan, Lu Shi, Wanru Xu, Gaoyun An, Yigang Cen",166,,2025-10,Issue/Volume,10.1016/j.patcog.2025.111641,https://doi.org/10.1016/j.patcog.2025.111641
