No,Type,Title,Authors,Volume,DOI,Paper_Link
1,Dataset,Efficient Continual Adaptation of Generative Retrieval Systems over Dynamic Corpora,Tuan-Luc Huynh,10.1145/3805712,10.1145/3805712.3808359,https://doi.org/10.1145/3805712.3808359
2,Dataset,EasyRAG: A Beginner-Friendly and Interactive Framework for Retrieval-Augmented Generation,"Xuanchen Zhou, Haitao Yu, Kaipeng Li, Yubo Fang",10.1145/3805712,10.1145/3805712.3808385,https://doi.org/10.1145/3805712.3808385
3,Dataset,Bridging the Topology-Semantic Gap: A Benchmark and Framework for Power Grid Work Ticket Generation,"Jiangbing Mao, Tianke Xiang, Yantong Zhu, Wenliang Liu, Qinggang Zhang, Zhihong Zhang",10.1145/3805712,10.1145/3805712.3808412,https://doi.org/10.1145/3805712.3808412
4,Dataset,SIGMA: A Semantic-Grounded Instruction-Driven Generative Multi-Task Recommender at AliExpress,"Yang Yu, Lei Kou, Huaikuan Yi, Bin Chen, Yayu Cao, Lei Shen, Chao Zhang, Bing Wang, Xiaoyi Zeng",10.1145/3805712,10.1145/3805712.3808421,https://doi.org/10.1145/3805712.3808421
5,Dataset,From Time and Place to Preference: LLM-Driven Geo-Temporal Context in Recommendations,"Yejin Kim, Shaghayegh Agah, Neeraj Sharma, Mayur Nankani, Maria Peifer, Feifei Peng, H. Howie Huang, Sardar Hamidian",10.1145/3805712,10.1145/3805712.3808485,https://doi.org/10.1145/3805712.3808485
6,Dataset,Gated Bidirectional Linear Attention for Generative Retrieval,"Artem Matveev, Vladislav Tytskiy, Sergei Makeev, Sergei Liamaev",10.1145/3805712,10.1145/3805712.3808495,https://doi.org/10.1145/3805712.3808495
7,Dataset,Code-Based English Models Reveal Surprising Performance on Chinese QA Pair Extraction Task,"Jiajun Yu, Linghan Zheng, Hui Liu, Jiayuan Dong, Yue Shen, Zhiwei Liu, Yaozhen Liang, Yong Li, Haishuai Wang",10.1145/3805712,10.1145/3805712.3808516,https://doi.org/10.1145/3805712.3808516
8,Dataset,Toward a Telugu Question Answering Dataset for Agricultural IR to Serve Marginal Farmers in Drought-Prone Rayalaseema: A Gap Analysis and Roadmap,"Piyush Joshi, Priyansh Singhal",10.1145/3805712,10.1145/3805712.3808521,https://doi.org/10.1145/3805712.3808521
9,Dataset,Morphology-Aware Retrieval for Low-Resource Environments: Advancing Information Retrieval for Shona Language,"Tendai Mukande, Noel O'Connor, Ruvimbo Maud Munetsi",10.1145/3805712,10.1145/3805712.3808522,https://doi.org/10.1145/3805712.3808522
10,Dataset,ViCSR: A Large-scale Benchmark and Lightweight Two-Stage Framework for Vietnamese Case-to-Statute Retrieval,"Minh-Hien Nguyen, Khanh Huyen Nguyen, Tan-Minh Nguyen, Hoang-Quynh Le, Thi-Hai-Yen Vuong",10.1145/3805712,10.1145/3805712.3808526,https://doi.org/10.1145/3805712.3808526
11,Dataset,Bridging the Language Gap in Text-to-SQL: Adapting LLMs for Chichewa in a Low-Resource Setting,"John Emeka Eze, Dunstan Matekenya, Evance Mathewe",10.1145/3805712,10.1145/3805712.3808529,https://doi.org/10.1145/3805712.3808529
12,Dataset,Improving Amharic Information Retrieval with Translative and Multi-Agent Debate Retrieval Augmented Generation,"Abel Jotie, Prasenjit Mitra",10.1145/3805712,10.1145/3805712.3808532,https://doi.org/10.1145/3805712.3808532
13,Dataset,Towards Building a Standard Benchmark for Low-Resource Nepali Information Retrieval,"Praveen Acharya, Bal Krishna Bal",10.1145/3805712,10.1145/3805712.3808533,https://doi.org/10.1145/3805712.3808533
14,Dataset,Local Information Access in Marathi: Evaluating LLM-Native Web Retrieval in a Low-Resource Environment,Sahil Kale,10.1145/3805712,10.1145/3805712.3808534,https://doi.org/10.1145/3805712.3808534
15,Dataset,BioCLEAR Benchmark for Biomedical Text Simplification,"Jan Bakker, Liana Ermakova, Jaap Kamps",10.1145/3805712,10.1145/3805712.3808590,https://doi.org/10.1145/3805712.3808590
16,Dataset,WebMall - A Multi-Shop Benchmark for Evaluating Web Agents,"Ralph Peeters, Aaron Steiner, Luca Schwarz, Julian Yuya Caspary, Christian Bizer",10.1145/3805712,10.1145/3805712.3808592,https://doi.org/10.1145/3805712.3808592
17,Dataset,KCC: Korean Civil Case Dataset for Legal Information Retrieval,"Minhan Cho, Soyoung Park, S. Shyam Sundar, Daejin Choi, Jinyoung Han",10.1145/3805712,10.1145/3805712.3808594,https://doi.org/10.1145/3805712.3808594
18,Dataset,JFinTEB: Japanese Financial Text Embedding Benchmark,"Masahiro Suzuki, Hiroki Sakaji",10.1145/3805712,10.1145/3805712.3808595,https://doi.org/10.1145/3805712.3808595
19,Dataset,ERASE - A Real-World Aligned Benchmark for Unlearning in Recommender Systems,"Pierre Sicco Lubitzsch, Maarten de Rijke, Sebastian Schelter",10.1145/3805712,10.1145/3805712.3808596,https://doi.org/10.1145/3805712.3808596
20,Dataset,DeepResearch-9K: A Challenging Benchmark Dataset of Deep-Research Agent,"Tongzhou Wu, Yuhao Wang, Xinyu Ma, Xiuqiang He, Shuaiqiang Wang, Dawei Yin, Xiangyu Zhao",10.1145/3805712,10.1145/3805712.3808597,https://doi.org/10.1145/3805712.3808597
21,Dataset,SurGE: A Benchmark and Evaluation Framework for Scientific Survey Generation,"Weihang Su, Anzhe Xie, Qingyao Ai, Jianming Long, Xuanyi Chen, Jiaxin Mao, Ziyi Ye, Yiqun Liu",10.1145/3805712,10.1145/3805712.3808598,https://doi.org/10.1145/3805712.3808598
22,Dataset,SplitLight: An Exploratory Toolkit for Recommender Systems Datasets and Splits,"Anna Volodkevich, Dmitry Anikin, Danil Gusak, Anton Klenitskiy, Evgeny Frolov, Alexey Vasilev",10.1145/3805712,10.1145/3805712.3808631,https://doi.org/10.1145/3805712.3808631
23,Dataset,TM-Bench: Benchmarking Large Language Models on Low-Resource Traditional Mongolian,"Zhenjie Gao, Feilong Bao, Aruukhan Bai, Ruichen Hou, Xieqi Ji, Dabalgan Wang, Hugjil Ming, Yuan Li",10.1145/3805712,10.1145/3805712.3808632,https://doi.org/10.1145/3805712.3808632
