No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
1,Dataset,Learning to Answer Visual Questions From Web Videos,"Antoine Yang, Antoine Miech, Josef Sivic, Ivan Laptev, Cordelia Schmid",47.0,5.0,2025-5,Issue,10.1109/tpami.2022.3173208,https://doi.org/10.1109/tpami.2022.3173208
2,Dataset,AnyFace++: A Unified Framework for Free-Style Text-to-Face Synthesis and Manipulation,"Jianxin Sun, Qiyao Deng, Qi Li, Muyi Sun, Yunfan Liu, Zhenan Sun",47.0,11.0,2025-11,Issue,10.1109/tpami.2023.3345866,https://doi.org/10.1109/tpami.2023.3345866
3,Dataset,NineRec: A Benchmark Dataset Suite for Evaluating Transferable Recommendation,"Jiaqi Zhang, Yu Cheng, Yongxin Ni, Yunzhu Pan, Zheng Yuan, Junchen Fu, Youhua Li, Jie Wang, Fajie Yuan",47.0,7.0,2025-7,Issue,10.1109/tpami.2024.3373868,https://doi.org/10.1109/tpami.2024.3373868
4,Dataset,PoseScript: Linking 3D Human Poses and Natural Language,"Ginger Delmas, Philippe Weinzaepfel, Thomas Lucas, Francesc Moreno-Noguer, Grégory Rogez",47.0,7.0,2025-7,Issue,10.1109/tpami.2024.3407570,https://doi.org/10.1109/tpami.2024.3407570
5,Dataset,Single-Frame Supervision for Spatio-Temporal Video Grounding,"Kun Liu, Mengxue Qu, Yang Liu, Yunchao Wei, Wenming Zhe, Yao Zhao, Wu Liu",47.0,7.0,2025-7,Issue,10.1109/tpami.2024.3415087,https://doi.org/10.1109/tpami.2024.3415087
6,Dataset,"Ego4D: Around the World in 3,600 Hours of Egocentric Video","Kristen Grauman, Andrew Westbury, Eugene Byrne, Vincent Cartillier, Zachary Chavis, Antonino Furnari, Rohit Girdhar, Jackson Hamburger, Hao Jiang, Devansh Kukreja, Miao Liu, Xingyu Liu, Miguel Martin, Tushar Nagarajan, Ilija Radosavovic, Santhosh Kumar Ramakrishnan, Fiona Ryan, Jayant Sharma, Michael Wray, Mengmeng Xu, Eric Zhongcong Xu, Chen Zhao, Siddhant Bansal, Dhruv Batra, Sean Crane, Tien Do, Morrie Doulaty, Akshay Erapalli, Christoph Feichtenhofer, Adriano Fragomeni, Qichen Fu, Abrham Gebreselasie, Cristina González, James Hillis, Xuhua Huang, Yifei Huang, Wenqi Jia, Weslie Khoo, Jáchym Kolář, Satwik Kottur, Anurag Kumar, Federico Landini, Chao Li, Yanghao Li, Zhenqiang Li, Karttikeya Mangalam, Raghava Modhugu, Jonathan Munro, Tullie Murrell, Takumi Nishiyasu, Will Price, Paola Ruiz Puentes, Merey Ramazanova, Leda Sari, Kiran Somasundaram, Audrey Southerland, Yusuke Sugano, Ruijie Tao, Minh Vo, Yuchen Wang, Xindi Wu, Takuma Yagi, Ziwei Zhao, Yunyi Zhu, Pablo Arbeláez, David Crandall, Dima Damen, Giovanni Maria Farinella, Christian Fuegen, Bernard Ghanem, Vamsi Krishna Ithapu, C. V. Jawahar, Hanbyul Joo, Kris Kitani, Haizhou Li, Richard Newcombe, Aude Oliva, Hyun Soo Park, James M. Rehg, Yoichi Sato, Jianbo Shi, Mike Zheng Shou, Antonio Torralba, Lorenzo Torresani, Mingfei Yan, Jitendra Malik",47.0,11.0,2025-11,Issue,10.1109/tpami.2024.3381075,https://doi.org/10.1109/tpami.2024.3381075
7,Dataset,Scene-Dependent Prediction in Latent Space for Video Anomaly Detection and Anticipation,"Congqi Cao, Hanwen Zhang, Yue Lu, Peng Wang, Yanning Zhang",47.0,1.0,2025-1,Issue,10.1109/tpami.2024.3461718,https://doi.org/10.1109/tpami.2024.3461718
8,Dataset,GhostingNet: A Novel Approach for Glass Surface Detection With Ghosting Cues,"Tao Yan, Jiahui Gao, Ke Xu, Xiangjie Zhu, Hao Huang, Helong Li, Benjamin Wah, Rynson W. H. Lau",47.0,1.0,2025-1,Issue,10.1109/tpami.2024.3463490,https://doi.org/10.1109/tpami.2024.3463490
9,Dataset,Test-Time Training for Hyperspectral Image Super-Resolution,"Ke Li, Luc Van Gool, Dengxin Dai",47.0,9.0,2025-9,Issue,10.1109/tpami.2024.3461807,https://doi.org/10.1109/tpami.2024.3461807
10,Dataset,RGBE-Gaze: A Large-Scale Event-Based Multimodal Dataset for High Frequency Remote Gaze Tracking,"Guangrong Zhao, Yiran Shen, Chenlong Zhang, Zhaoxin Shen, Yuanfeng Zhou, Hongkai Wen",47.0,1.0,2025-1,Issue,10.1109/tpami.2024.3474858,https://doi.org/10.1109/tpami.2024.3474858
11,Dataset,NVDS+: Towards Efficient and Versatile Neural Stabilizer for Video Depth Estimation,"Yiran Wang, Min Shi, Jiaqi Li, Chaoyi Hong, Zihao Huang, Juewen Peng, Zhiguo Cao, Jianming Zhang, Ke Xian, Guosheng Lin",47.0,1.0,2025-1,Issue,10.1109/tpami.2024.3476387,https://doi.org/10.1109/tpami.2024.3476387
12,Dataset,EventHDR: From Event to High-Speed HDR Videos and Beyond,"Yunhao Zou, Ying Fu, Tsuyoshi Takatani, Yinqiang Zheng",47.0,1.0,2025-1,Issue,10.1109/tpami.2024.3469571,https://doi.org/10.1109/tpami.2024.3469571
13,Dataset,V2X-ViTv2: Improved Vision Transformers for Vehicle-to-Everything Cooperative Perception,"Runsheng Xu, Chia-Ju Chen, Zhengzhong Tu, Ming-Hsuan Yang",47.0,1.0,2025-1,Issue,10.1109/tpami.2024.3479222,https://doi.org/10.1109/tpami.2024.3479222
14,Dataset,VALOR: Vision-Audio-Language Omni-Perception Pretraining Model and Dataset,"Jing Liu, Sihan Chen, Xingjian He, Longteng Guo, Xinxin Zhu, Weining Wang, Jinhui Tang",47.0,2.0,2025-2,Issue,10.1109/tpami.2024.3479776,https://doi.org/10.1109/tpami.2024.3479776
15,Dataset,Minimum Latency Deep Online Video Stabilization and Its Extensions,"Shuaicheng Liu, Zhuofan Zhang, Zhen Liu, Ping Tan, Bing Zeng",47.0,2.0,2025-2,Issue,10.1109/tpami.2024.3493175,https://doi.org/10.1109/tpami.2024.3493175
16,Dataset,Hi-SAM: Marrying Segment Anything Model for Hierarchical Text Segmentation,"Maoyuan Ye, Jing Zhang, Juhua Liu, Chenyu Liu, Baocai Yin, Cong Liu, Bo Du, Dacheng Tao",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3495831,https://doi.org/10.1109/tpami.2024.3495831
17,Dataset,FSD V2: Improving Fully Sparse 3D Object Detection With Virtual Voxels,"Lue Fan, Feng Wang, Naiyan Wang, Zhaoxiang Zhang",47.0,2.0,2025-2,Issue,10.1109/tpami.2024.3502456,https://doi.org/10.1109/tpami.2024.3502456
18,Dataset,MetaEarth: A Generative Foundation Model for Global-Scale Remote Sensing Image Generation,"Zhiping Yu, Chenyang Liu, Liqin Liu, Zhenwei Shi, Zhengxia Zou",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3507010,https://doi.org/10.1109/tpami.2024.3507010
19,Dataset,Generalized Face Liveness Detection via De-Fake Face Generator,"Xingming Long, Jie Zhang, Shiguang Shan",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3507101,https://doi.org/10.1109/tpami.2024.3507101
20,Dataset,LVLM-EHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models,"Peng Xu, Wenqi Shao, Kaipeng Zhang, Peng Gao, Shuo Liu, Meng Lei, Fanqing Meng, Siyuan Huang, Yu Qiao, Ping Luo",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3507000,https://doi.org/10.1109/tpami.2024.3507000
21,Dataset,STAR: A First-Ever Dataset and a Large-Scale Benchmark for Scene Graph Generation in Large-Size Satellite Imagery,"Yansheng Li, Linlin Wang, Tingzhu Wang, Xue Yang, Junwei Luo, Qi Wang, Youming Deng, Wenbin Wang, Xian Sun, Haifeng Li, Bo Dang, Yongjun Zhang, Yi Yu, Junchi Yan",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3508072,https://doi.org/10.1109/tpami.2024.3508072
22,Dataset,A Survey and Benchmark of Automatic Surface Reconstruction From Point Clouds,"Raphael Sulzer, Renaud Marlet, Bruno Vallet, Loic Landrieu",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3510932,https://doi.org/10.1109/tpami.2024.3510932
23,Dataset,WinDB: HMD-Free and Distortion-Free Panoptic Video Fixation Learning,"Guotao Wang, Chenglizhao Chen, Aimin Hao, Hong Qin, Deng-Ping Fan",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3510793,https://doi.org/10.1109/tpami.2024.3510793
24,Dataset,Divide-and-Conquer: Confluent Triple-Flow Network for RGB-T Salient Object Detection,"Hao Tang, Zechao Li, Dong Zhang, Shengfeng He, Jinhui Tang",47.0,3.0,2025-3,Issue,10.1109/tpami.2024.3511621,https://doi.org/10.1109/tpami.2024.3511621
