No,Type,Vol_Issue,Published,Title,Authors,Pages,DOI,Paper_Link
1,Dataset,48(1),2026-1,GAN-Based Domain Adaptation for Image-Aware Layout Generation in Advertising Poster Design,"Chenchen Xu, Min Zhou, Tiezheng Ge, Weiwei Xu",184-201,10.1109/tpami.2025.3602846,https://doi.org/10.1109/tpami.2025.3602846
2,Dataset,48(1),2026-1,Learning Heterogeneous Mixture of Scene Experts for Large-Scale Neural Radiance Fields,"Zhenxing Mi, Ping Yin, Xue Xiao, Dan Xu",390-407,10.1109/tpami.2025.3603305,https://doi.org/10.1109/tpami.2025.3603305
3,Dataset,48(1),2026-1,Hypergraph-Based High-Order Correlation Analysis for Large-Scale Long-Tailed Data Classification,"Xiangmin Han, Yubo Zhang, Shihui Ying, Yue Gao",270-282,10.1109/tpami.2025.3603631,https://doi.org/10.1109/tpami.2025.3603631
4,Dataset,48(1),2026-1,Creating Multimodal Interactive Digital Twin Characters From Videos: A Dataset and Baseline,"Meidai Xuanyuan, Yuwang Wang, Honglei Guo, Hanshi Qu, Kun Zhang, Zhongming Li, Danping Yan, Tao Yu, Jianhua Tao, Qionghai Dai",92-108,10.1109/tpami.2025.3603653,https://doi.org/10.1109/tpami.2025.3603653
5,Dataset,48(1),2026-1,EBSnoR: Event-Based Snow Removal by Optimal Dwell Time Thresholding,"Abigail Wolf, Osama Alsattam, Shannon Brooks-Lehnert, Keigo Hirakawa",346-358,10.1109/tpami.2025.3603854,https://doi.org/10.1109/tpami.2025.3603854
6,Dataset,48(1),2026-1,Spherical Vision Transformers for Audio-Visual Saliency Prediction in 360$^{\circ }$∘ Videos,"Mert Cokelek, Halit Ozsoy, Nevrez Imamoglu, Cagri Ozcinar, Inci Ayhan, Erkut Erdem, Aykut Erdem",329-345,10.1109/tpami.2025.3604091,https://doi.org/10.1109/tpami.2025.3604091
7,Dataset,48(1),2026-1,Make Identity Indistinguishable: Utility-Preserving Face Dataset Publication With Provable Privacy Guarantees,"Yushu Zhang, Junhao Ji, Tao Wang, Ruoyu Zhao, Wenying Wen, Yong Xiang",127-139,10.1109/tpami.2025.3605195,https://doi.org/10.1109/tpami.2025.3605195
8,Dataset,48(1),2026-1,"M$^{3}$3D: A Multimodal, Multilingual and Multitask Dataset for Grounded Document-Level Information Extraction","Jiang Liu, Bobo Li, Xinran Yang, Na Yang, Hao Fei, Mingyao Zhang, Fei Li, Donghong Ji",807-823,10.1109/tpami.2025.3609288,https://doi.org/10.1109/tpami.2025.3609288
9,Dataset,48(1),2026-1,MSFA Image Denoising Using Physics-Based Noise Model and Noise-Decoupled Network,"Yuqi Jiang, Ying Fu, Qiankun Liu, Jun Zhang",859-875,10.1109/tpami.2025.3610243,https://doi.org/10.1109/tpami.2025.3610243
10,Dataset,48(2),2026-2,StyleShot: A Snapshot on Any Style,"Junyao Gao, Yanan Sun, Yanchen Liu, Yinhao Tang, Yanhong Zeng, Ding Qi, Kai Chen, Cairong Zhao",1215-1228,10.1109/tpami.2025.3610614,https://doi.org/10.1109/tpami.2025.3610614
11,Dataset,48(1),2026-1,LVOS: A Benchmark for Large-Scale Long-Term Video Object Segmentation,"Lingyi Hong, Zhongying Liu, Wenchao Chen, Chenzhi Tan, Yuang Feng, Xinyu Zhou, Pinxue Guo, Jinglun Li, Zhaoyu Chen, Shuyong Gao, Wei Zhang, Wenqiang Zhang",946-961,10.1109/tpami.2025.3611020,https://doi.org/10.1109/tpami.2025.3611020
12,Dataset,48(1),2026-1,MGAF: LiDAR-Camera 3D Object Detection With Multiple Guidance and Adaptive Fusion,"Baojie Fan, Xiaotian Li, Yuhan Zhou, Caixia Xia, Huijie Fan, Fengyu Xu, Jiandong Tian",824-839,10.1109/tpami.2025.3612958,https://doi.org/10.1109/tpami.2025.3612958
13,Dataset,48(1),2026-1,Data-And Knowledge-Driven Visual Abductive Reasoning,"Chen Liang, Wenguan Wang, Ling Chen, Yi Yang",792-806,10.1109/tpami.2025.3613712,https://doi.org/10.1109/tpami.2025.3613712
14,Dataset,48(2),2026-2,Learning Efficient Meshflow and Optical Flow From Event Cameras,"Xinglong Luo, Ao Luo, Kunming Luo, Zhengning Wang, Ping Tan, Bing Zeng, Shuaicheng Liu",1355-1372,10.1109/tpami.2025.3615144,https://doi.org/10.1109/tpami.2025.3615144
15,Dataset,48(2),2026-2,$\beta $-DARTS++: Bi-Level Regularization for Proxy-Robust Differentiable Architecture Search,"Peng Ye, Tong He, Baopu Li, Tao Chen, Lei Bai, Wanli Ouyang",1407-1423,10.1109/tpami.2025.3616249,https://doi.org/10.1109/tpami.2025.3616249
16,Dataset,48(2),2026-2,"EvLight++: Low-Light Video Enhancement With an Event Camera: A Large-Scale Real-World Dataset, Novel Method, and More","Kanghao Chen, Guoqiang Liang, Yunfan Lu, Hangyu Li, Lin Wang",1608-1625,10.1109/tpami.2025.3617801,https://doi.org/10.1109/tpami.2025.3617801
17,Dataset,48(2),2026-2,Deep Neural Network Parameter Selection via Dataset Similarity Under Meta-Learning Framework,"Liping Deng, Maziar Raissi, MingQing Xiao",1860-1872,10.1109/tpami.2025.3618991,https://doi.org/10.1109/tpami.2025.3618991
18,Dataset,48(2),2026-2,Fixing Background Misclassification in Few-Shot Object Detection via Product of Experts,"Ding Sheng Ong, Yi Liu, Changjing Shang, Guiguang Ding, Qiang Shen, Jungong Han",1825-1841,10.1109/tpami.2025.3622983,https://doi.org/10.1109/tpami.2025.3622983
19,Dataset,48(3),2026-3,MECD+: Unlocking Event-Level Causal Graph Discovery for Video Reasoning,"Tieyuan Chen, Huabin Liu, Yi Wang, Yihang Chen, Tianyao He, Chaofan Gan, Huanyu He, Weiyao Lin",2628-2645,10.1109/tpami.2025.3626549,https://doi.org/10.1109/tpami.2025.3626549
20,Dataset,48(3),2026-3,Topo4D++: Realistic Physically Based 4D Head Capture With Topology-Preserving Gaussian Splatting and Expression Priors,"Yuhao Cheng, Xuanchen Li, Xingyu Ren, Jianyu Wang, Haozhe Jia, Di Xu, Wenhan Zhu, Bingbing Ni, Yichao Yan",2312-2328,10.1109/tpami.2025.3627431,https://doi.org/10.1109/tpami.2025.3627431
21,Dataset,48(3),2026-3,OoDBench+: Quantifying and Understanding Two Dimensions of Out-of-Distribution Generalization,"Nanyang Ye, Kaican Li, Fan Wu, Jundong Zhou, Haoyue Bai, Runpeng Yu, Lanqing Hong, Fengwei Zhou, Zhenguo Li, Jun Zhu, Xinbing Wang, Chenghu Zhou",2566-2580,10.1109/tpami.2025.3628027,https://doi.org/10.1109/tpami.2025.3628027
