No,Type,Title,Authors,Track,Paper_Link,PDF_Link,arXiv_Link
1,Dataset,SynPlay: Large-Scale Synthetic Human Data with Real-World Diversity for Aerial-View Perception,"Jinsub Yim, Hyungtae Lee, Sungmin Eum, Yi-Ting Shen, Yan Zhang, Heesung Kwon, Shuvra S. Bhattacharyya",Main,https://openaccess.thecvf.com/content/WACV2026/html/Yim_SynPlay_Large-Scale_Synthetic_Human_Data_with_Real-World_Diversity_for_Aerial-View_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Yim_SynPlay_Large-Scale_Synthetic_Human_Data_with_Real-World_Diversity_for_Aerial-View_WACV_2026_paper.pdf,https://arxiv.org/abs/2408.11814
2,Dataset,Overcoming Small Data Limitations in Video-Based Infant Respiration Estimation,"Liyang Song, Hardik Bishnoi, Sai Kumar Reddy Manne, Sarah Ostadabbas, Briana J. Taylor, Michael Wan",Main,https://openaccess.thecvf.com/content/WACV2026/html/Song_Overcoming_Small_Data_Limitations_in_Video-Based_Infant_Respiration_Estimation_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Song_Overcoming_Small_Data_Limitations_in_Video-Based_Infant_Respiration_Estimation_WACV_2026_paper.pdf,https://arxiv.org/abs/2512.06888
3,Dataset,Sun-E: Dataset and Benchmark for Event-Based Sun Sensing,"Sydney Dolan, Alessandro Golkar",Main,https://openaccess.thecvf.com/content/WACV2026/html/Dolan_Sun-E_Dataset_and_Benchmark_for_Event-Based_Sun_Sensing_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Dolan_Sun-E_Dataset_and_Benchmark_for_Event-Based_Sun_Sensing_WACV_2026_paper.pdf,
4,Dataset,SceneEdited: A City-Scale Benchmark for 3D HD Map Updating via Image-Guided Change Detection,"Chun-Jung Lin, Tat-Jun Chin, Sourav Garg, Feras Dayoub",Main,https://openaccess.thecvf.com/content/WACV2026/html/Lin_SceneEdited_A_City-Scale_Benchmark_for_3D_HD_Map_Updating_via_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Lin_SceneEdited_A_City-Scale_Benchmark_for_3D_HD_Map_Updating_via_WACV_2026_paper.pdf,https://arxiv.org/abs/2511.15153
5,Dataset,START: Spatial and Textual Learning for Chart Understanding,"Zhuoming Liu, Xiaofeng Gao, Feiyang Niu, Qiaozi Gao, Liu Liu, Robinson Piramuthu",Main,https://openaccess.thecvf.com/content/WACV2026/html/Liu_START_Spatial_and_Textual_Learning_for_Chart_Understanding_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Liu_START_Spatial_and_Textual_Learning_for_Chart_Understanding_WACV_2026_paper.pdf,https://arxiv.org/abs/2512.07186
6,Dataset,SurgXBench: Explainable Vision-Language Model Benchmark for Surgery,"Jiajun Cheng, Xianwu Zhao, Sainan Liu, Xiaofan Yu, Ravi Prakash, Patrick J. Codd, Jonathan Elliott Katz, Shan Lin",Main,https://openaccess.thecvf.com/content/WACV2026/html/Cheng_SurgXBench_Explainable_Vision-Language_Model_Benchmark_for_Surgery_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Cheng_SurgXBench_Explainable_Vision-Language_Model_Benchmark_for_Surgery_WACV_2026_paper.pdf,https://arxiv.org/abs/2505.10764
7,Dataset,"HumanBench: Two Heads, No Legs, But Mostly Human, the State of Generative Capabilities in T2I Models","Anubhooti Jain, Mayank Vatsa, Richa Singh",Main,https://openaccess.thecvf.com/content/WACV2026/html/Jain_HumanBench_Two_Heads_No_Legs_But_Mostly_Human_the_State_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Jain_HumanBench_Two_Heads_No_Legs_But_Mostly_Human_the_State_WACV_2026_paper.pdf,
8,Dataset,SmokeBench: Evaluating Multimodal Large Language Models for Wildfire Smoke Detection,"Tianye Qi, Weihao Li, Nick Barnes",Main,https://openaccess.thecvf.com/content/WACV2026/html/Qi_SmokeBench_Evaluating_Multimodal_Large_Language_Models_for_Wildfire_Smoke_Detection_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Qi_SmokeBench_Evaluating_Multimodal_Large_Language_Models_for_Wildfire_Smoke_Detection_WACV_2026_paper.pdf,https://arxiv.org/abs/2512.11215
9,Dataset,"UniTabBank: A Large Scale Multi-Lingual, Multi-Layout, Multi-Type, Multi-Format Dataset for Table Detection","Ajoy Mondal, Saumya Mundra, Avijit Dasgupta, C.V. Jawahar",Main,https://openaccess.thecvf.com/content/WACV2026/html/Mondal_UniTabBank_A_Large_Scale_Multi-Lingual_Multi-Layout_Multi-Type_Multi-Format_Dataset_for_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Mondal_UniTabBank_A_Large_Scale_Multi-Lingual_Multi-Layout_Multi-Type_Multi-Format_Dataset_for_WACV_2026_paper.pdf,
10,Dataset,Being Positive about Negative Queries: Exclusion Aware Multimodal Retrieval using Disentangled Representations,"Prachi Jha, Sumit Bhatia, Srikanta Bedathur",Main,https://openaccess.thecvf.com/content/WACV2026/html/Jha_Being_Positive_about_Negative_Queries_Exclusion_Aware_Multimodal_Retrieval_using_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Jha_Being_Positive_about_Negative_Queries_Exclusion_Aware_Multimodal_Retrieval_using_WACV_2026_paper.pdf,
