No,Type,Title,Authors,Topics,Venue_Hint,Paper_Link,PDF_Link
1,Method,Test-Time Adaptation with Query-Dependent Residuals for Visual Document Retrieval,"Zeliang Li, Xiaofen Xing, Kailing Guo, Xiangmin Xu",1_VisualDoc_RAG,,https://arxiv.org/abs/2609.27688,https://arxiv.org/pdf/2609.27688v1
2,Method,UniDataAgent: An Ontology-Grounded Agent for Enterprise Question-to-Report Automation,"Yutai Duan, Yahui Zhao, Zhangti Li, Yu Ma, Zhenfeng Qi, Shaoyang Yuan, Jing Fan, Jie Liu",1_VisualDoc_RAG,,https://arxiv.org/abs/2609.27257,https://arxiv.org/pdf/2609.27257v1
3,Method,Evaluating Open-Weight LLMs for Turkish Domain Documents Under Retrieval and Hardware Constraints,"Imtiaz Ul Hassan, Öykü Akbulut, Onur Kaya, Ardhendu Behera, Swagat Kumar, Peter Matthew, Yonghuai Liu",2_VDU_DocQA,,https://arxiv.org/abs/2609.28007,https://arxiv.org/pdf/2609.28007v1
4,Method,"Same Scores, Different Decisions: Evaluating JEV and Language Models for Legal Document Understanding","Fan Zhang, Yankai Chen, Zhuohan Xie, Yixi Zhou, Sijia Peng, Lei Fan, Xinhua Ji, Cunyuan Zheng, Huangyong Shan, Philip S. Yu, Xue Liu, Yu Chen, Preslav Nakov, Songwei He",2_VDU_DocQA,,https://arxiv.org/abs/2609.27678,https://arxiv.org/pdf/2609.27678v1
5,Method,ItColBERT: An Italian-Specialised Late-Interaction Retriever,Enrico Nello,5_MultiVector_LateInteraction,,https://arxiv.org/abs/2609.26856,https://arxiv.org/pdf/2609.26856v1
6,Method,"Diffusion Drafts, AR Verifies: Accelerating Document OCR with Self-Speculative Decoding","Dohyun Kim, Sungjun Han, Hyungguk Kim, Yusik Kim, Jamin Shin, Paul Hongsuck Seo, Hongjoon Ahn",3_Doc_Parsing_Layout_OCR,,https://arxiv.org/abs/2609.26638,https://arxiv.org/pdf/2609.26638v1
7,Dataset,LegendBench: A Diagnostic Benchmark for Legend Understanding with Counterfactual Interventions,"Xinnuo Zhang, Zhike Tang, Jing Xu, Haoyuan Zhao, Weikai Yang",4_Chart_Table_Slide_Infographic,,https://arxiv.org/abs/2609.24172,https://arxiv.org/pdf/2609.24172v1
8,Method,DocMIDE: Learning Multi-Hop Implicit Derivation in Visually Rich Documents,"Jeremy Cerwin Wang, Wai Kit Wong, Jeff Kai Tai Tang",2_VDU_DocQA,,https://arxiv.org/abs/2609.24092,https://arxiv.org/pdf/2609.24092v1
9,Dataset,Mind the Gaps: A Curated Benchmark for Form Field Detection,"Iheb Brini, Omar Moured, Hamza Gbada, Elisa Barney",2_VDU_DocQA,,https://arxiv.org/abs/2609.23679,https://arxiv.org/pdf/2609.23679v1
10,Method,"Collapse, Not Complexity: Failure-Conditioned Decomposition Repair for End-to-End Document Parsing","Xingyu Lin, Dehui Du",3_Doc_Parsing_Layout_OCR,,https://arxiv.org/abs/2609.23592,https://arxiv.org/pdf/2609.23592v1
11,Method,Planning and Rendering in Concert: DeepFusion of Autoregressive Layouts and Diffusion for Visual Text Generation,"Guanqiao Chen, Jingru Tan, Dongxing Mao, Catherine Chen, Zijian Du, Libo Qin, Hu Jian Guo, Alex Jinpeng Wang",2_VDU_DocQA,,https://arxiv.org/abs/2609.22916,https://arxiv.org/pdf/2609.22916v1
12,Method,AdaMerge: Tuning-Free Patch Compression for Multi-Vector Visual Document Retrieval,"Jianxin You, Kun Ni",1_VisualDoc_RAG,CIKM 2026,https://arxiv.org/abs/2609.22562,https://arxiv.org/pdf/2609.22562v1
13,Method,SkillAA: Attribution-Guided Skill-Graph Updating with Targeted Validation and Rollback,"Ziqiao Shang, Ling-Yue Ge, Lan-Zhe Guo",2_VDU_DocQA,,https://arxiv.org/abs/2609.20455,https://arxiv.org/pdf/2609.20455v1
14,Method,"Intrinsic Sequence-Likelihood Confidence in Retrieval-Dominated Extractive QA: Two Pre-Specified Negatives, and What They Do and Do Not Attribute","Gunwoo Lee, Changmin Sung, Sang-Hwan Gwak, Ina Kim, Ji-Young Choi, Kyong-Ha Lee",2_VDU_DocQA,,https://arxiv.org/abs/2609.19942,https://arxiv.org/pdf/2609.19942v1
15,Method,WeVisDoc: From Coverage to Capability for Robust End-to-End Document Parsing,"Hao Yu, Kang Liu, Linnan Zhao, Jiabo Zhan, Chong Sun, Chen Li, Jing Lyu",3_Doc_Parsing_Layout_OCR,,https://arxiv.org/abs/2609.20423,https://arxiv.org/pdf/2609.20423v1
16,Dataset,DocAttriBench: Benchmarking Answer Grounding in Document Visual Question Answering,"Luca De Grandis, Silvia Cappelletti, William Raccagni, Marcella Cornia, Lorenzo Baraldi, Rita Cucchiara",2_VDU_DocQA,BMVC 2026,https://arxiv.org/abs/2609.20574,https://arxiv.org/pdf/2609.20574v2
17,Method,MAGIC: Marginal-Guided Compression with Optimal Transport for Efficient Visual Document Retrieval,"Xu Yuan, Hua Liu, Wenqi Fan, Qing Li",1_VisualDoc_RAG; 5_MultiVector_LateInteraction,,https://arxiv.org/abs/2609.21018,https://arxiv.org/pdf/2609.21018v1
18,Dataset,Less Is More: Graph-free Multimodal RAG via Multi-signal Late Fusion,"Tithi Rakshit, Hongkuan Zhou, Lavdim Halilaj, Yuqicheng Zhu",2_VDU_DocQA,,https://arxiv.org/abs/2609.19417,https://arxiv.org/pdf/2609.19417v1
19,Dataset,"Tables Decoded: DELTA for Structure, TARQA for Understanding","Jahanvi Rajput, Dhruv Kudale, Saikiran Kasturi, Utkarsh Verma, Ganesh Ramakrishnan",3_Doc_Parsing_Layout_OCR,,https://arxiv.org/abs/2609.17458,https://arxiv.org/pdf/2609.17458v1
20,Method,Navigating Sparse Evidence: Agentic Visual RAG via Explicit Context Selection and Consolidation,"Yucheng Shen, Lingyong Yan, Jiulong Wu, Shuaiqiang Wang, Jianmin WU, Dawei Yin, Min Cao",1_VisualDoc_RAG; 2_VDU_DocQA,,https://arxiv.org/abs/2609.15800,https://arxiv.org/pdf/2609.15800v1
21,Method,"Where Should the KV Cache Live? Placement Policies Across GPU, CPU, and SSD for Long-Lived Sessions","Srikanta Datta Tumkur, Jay Iyer, Mehar Simhadri, Sai Pavan Kumar, Sai Kapil Kumar, Ramesh Nampelly",2_VDU_DocQA,,https://arxiv.org/abs/2609.16215,https://arxiv.org/pdf/2609.16215v1
22,Dataset,Beyond Natural Images: Rethinking AI-Generated Image Detection in Documents,"Zhangjie Fu, Jiazhen Yan, Yuanwen Chen, Xinquan Yu, Yanzhe Li, Hui Jiang, Lei Gao, Chenfu Bao",3_Doc_Parsing_Layout_OCR,,https://arxiv.org/abs/2609.14352,https://arxiv.org/pdf/2609.14352v1
23,Method,Generative Late-Interaction Embeddings For Visual Document Retrieval,"Mohamed Eltahir, Talal Aloushan, Rose Khairoalsendi, Jana Shata, Mohammed Alhassan, Leen Alrehaili, Tanveer Hussain, Naeemullah Khan",1_VisualDoc_RAG; 5_MultiVector_LateInteraction,,https://arxiv.org/abs/2609.11808,https://arxiv.org/pdf/2609.11808v1
24,Dataset,ReGround: Grounding Reviewer Comments in Multimodal Evidence,"Serwar Basch, Lizhen Qu, Iryna Gurevych",2_VDU_DocQA,EMNLP 2026,https://arxiv.org/abs/2609.11460,https://arxiv.org/pdf/2609.11460v1
25,Method,SenseNova-U1.5: Towards Native Unified Visual Intelligence,"Haiwen Diao, Jiahao Wang, Chenjing Ding, Hanming Deng, Jiangnan Chen, Ruixi Zhang, Ruohui Wang, Wenwen Tong, Xiangyu Fan, Yubo Wang, Yue Zhu, Yuwei Niu, Zhengqi Bai, Zhiqian Lin, Zhitao Yang, Zhongang Cai, Bo Yang, Chen Feng, Chengguang Lv, Guangjia Liu, Guanlin Wang, Hanyu Zhang, Haojia Yu, Hongcan Xiao, Hongli Wang, Huan Wu, Huaping Zhong, Jian Fang, Jianan Fan, Jiaqi Li, Jiefan Lu, Jing Zuo, Jingcheng Ni, Junxiang Xu, Linjun Dai, Mutian Xu, Peishen Yan, Penghao Wu, Ruijie Mao, Ruisi Wang, Shihao Bai, Shuang Yang, Shuya Yang, Shuyan Zheng, Silei Wu, Siying Li, Tao Chu, Tianbo Zhong, Tongxi Zhou, Weichao Luo, Weichen Fan, Wenhao Jia, Wenjie Gao, Xiangli Kong, Yan Li, Yang Yong, Zimo Wen, Zixuan Qian, Wenxiu Sun, Ruihao Gong, Quan Wang, Lewei Lu, Lei Yang, Ziwei Liu, Dahua Lin",4_Chart_Table_Slide_Infographic,,https://arxiv.org/abs/2609.11929,https://arxiv.org/pdf/2609.11929v1
26,Method,Your Retriever Already Knows: Distribution-Shape QPP for RAG Retrieval Sufficiency,"Matyáš Veselý, Michal Průšek, Jiří Franc",1_VisualDoc_RAG,,https://arxiv.org/abs/2609.11646,https://arxiv.org/pdf/2609.11646v1
27,Method,ICDAR2026 Competition on Multimodal Reasoning over Documents in Multiple Domains,"Artemis Llabrés, Marc Serra Ortega, Tomàs Ockier, Samuel Ortega Cuadra, Amritpal Singh, Christos Georgakilas, Andrey Barsky, Ernest Valveny, Dimosthenis Karatzas",2_VDU_DocQA; 4_Chart_Table_Slide_Infographic,ICDAR 2026,https://arxiv.org/abs/2609.25055,https://arxiv.org/pdf/2609.25055v1
28,Dataset,Charts Are Beyond Pixels: Probing for Layer-Wise Chart Understanding and Editing,"Xiaochuan Zhong, Yifan Hou, Chenxi Pang, Shaobo Cui",4_Chart_Table_Slide_Infographic,,https://arxiv.org/abs/2609.08657,https://arxiv.org/pdf/2609.08657v1
29,Method,Enhancing Table Structure Recognition via Bounding Box Guidance,"Lei Hu, Shuangping Huang",3_Doc_Parsing_Layout_OCR,ICPR 2024,https://arxiv.org/abs/2609.08705,https://arxiv.org/pdf/2609.08705v1
30,Dataset,Detect Anything in Graphic Design: Element-Level Rewards for Autoregressive Detection,"Jiangning Zhu, Bowen Li, Shenyu Qiao, Yima Gu, Zhao Zhang, Yuhui Yuan, Shixia Liu",4_Chart_Table_Slide_Infographic,,https://arxiv.org/abs/2609.07072,https://arxiv.org/pdf/2609.07072v1
31,Method,When Superpixels Fail on Documents: A Study of Segmentation for LIME Explanations,"Quentin Telnoff, Emanuela Boros, Mickaël Coustaty, Robin Jarry, Fabrice Crohas, Antoine Doucet",3_Doc_Parsing_Layout_OCR,IJCAI 2026,https://arxiv.org/abs/2609.07462,https://arxiv.org/pdf/2609.07462v1
32,Method,Structure-Token Evidence-Anchored Reasoning for Scientific Chart Understanding,"Alberlucia Rafael Soarez, Camila Ferreira, Daniel Kim, Mariana Costa, Alejandro Torres",4_Chart_Table_Slide_Infographic,,https://arxiv.org/abs/2609.13267,https://arxiv.org/pdf/2609.13267v1
33,Method,Query-Aware Token Budgeting for Efficient Late-Interaction Visual Document Retrieval,"PS Rishi, Rajeev Ranjan Dwivedi, Vinod K Kurmi",1_VisualDoc_RAG,,https://arxiv.org/abs/2609.07262,https://arxiv.org/pdf/2609.07262v1
34,Method,Capability-Routed Visual Retrieval and Evidence Threading for Long-Context Document Question Answering,"Amirul Rahman, Aisha Karim, Kenji Nakamura, Yi-Fan Ng",1_VisualDoc_RAG; 2_VDU_DocQA; 4_Chart_Table_Slide_Infographic,,https://arxiv.org/abs/2609.13268,https://arxiv.org/pdf/2609.13268v1
35,Dataset,AtomCite: Verification and Correction of Supplied Page-Level Citations in Multi-Page Documents,"Chen Qian, Yimeng Wang, Yu Chen, Lingfei Wu, Andreas Stathopoulos",2_VDU_DocQA; 3_Doc_Parsing_Layout_OCR,,https://arxiv.org/abs/2609.05802,https://arxiv.org/pdf/2609.05802v1
36,Dataset,SciDocBench: A Workflow-Centered Benchmark and Data Pipeline for Scientific Document Understanding,"Shenxi Wu, Yuhong Liu, Haosong Zhang, Tongjin Zou, Yanxun Zhang, Gaochang Chen, Dun Liang, Jiaqi Wang, Zhecan James Wang, Yuhang Zang, Dahua Lin",2_VDU_DocQA,,https://arxiv.org/abs/2609.05141,https://arxiv.org/pdf/2609.05141v1
37,Dataset,KhatianDoc: A Human-Verified Benchmark Diagnosing Multimodal LLM Failure on Bengali Legal Land Records,"Tasmiad Hasan, Arafat Zaman Ratul, Sarker Sadman Saalim, S. M. Shah Nawaz Hossain, Khan Raiyan Ibne Reza, Sumaiya Tabassum Nimi",2_VDU_DocQA,EMNLP 2026,https://arxiv.org/abs/2609.03597,https://arxiv.org/pdf/2609.03597v1
