Venue,Year,Type,Records,Related_list,ID
TPAMI,2026,Journal,1083,25.0,TPAMI2026
TPAMI,2025,Journal,827,21.0,TPAMI2025
IJCV,2026,Journal,419,8.0,IJCV2026
IJCV,2025,Journal,281,10.0,IJCV2025
CVIU,2026,Journal,296,6.0,CVIU2026
CVIU,2025,Journal,239,2.0,CVIU2025
CVPR,2026,Conference,4984,135.0,CVPR2026
CVPR,2025,Conference,2871,57.0,CVPR2025
ICCV,2025,Conference,2701,52.0,ICCV2025
ICCVW,2025,Workshops,771,31.0,ICCVW2025
ECCV,2026,Conference,2834,93.0,ECCV2026
ECCV,2024,Conference,2387,34.0,ECCV2024
WACV,2026,Conference,831,31.0,WACV2026
WACV,2025,Conference,929,29.0,WACV2025
BMVC,2026,Conference,405,15.0,BMVC2026
BMVC,2025,Conference,277,10.0,BMVC2025
ACCV,2024,Conference,269,6.0,ACCV2024
IJDAR,2026,Journal,49,49.0,IJDAR2026
IJDAR,2025,Journal,51,51.0,IJDAR2025
PatternRecognition,2026,Journal,2606,53.0,PatternRecognition2026
PatternRecognition,2025,Journal,888,32.0,PatternRecognition2025
ICDAR,2026,Conference,160,59.0,ICDAR2026
ICDAR,2025,Conference,148,56.0,ICDAR2025
ICPR,2026,Conference,715,25.0,ICPR2026
ICPR,2024,Conference,959,49.0,ICPR2024
ACL,2026,Conference,4813,257.0,ACL2026
ACL,2025,Conference,3353,53.0,ACL2025
EMNLP,2025,Conference,3491,57.0,EMNLP2025
EACL,2026,Conference,989,41.0,EACL2026
KDD,2026,Conference,1476,66.0,KDD2026
SIGIR,2026,Conference,686,32.0,SIGIR2026
ICLR,2026,Conference,5468,108.0,ICLR2026
ICLR,2025,Conference,3830,52.0,ICLR2025
ICML,2026,Conference,6643,101.0,ICML2026
ICML,2025,Conference,3330,19.0,ICML2025
NeurIPS,2025,Conference,5858,31.0,NeurIPS2025
AAAI,2026,Conference,4920,131.0,AAAI2026
AAAI,2025,Conference,3486,50.0,AAAI2025
IJCAI,2026,Conference,972,10.0,IJCAI2026
JMLR,2026,Journal,205,1.0,JMLR2026
JMLR,2025,Journal,309,1.0,JMLR2025
arXiv,2026,Preprints,543,65.0,arXiv2026
