Type,Track,Title,Authors,Paper_Link,PDF_Link,Category
Dataset,AAAI Technical Track on Computer Vision VIII,Cross-Lingual Text-Rich Visual Comprehension: An Information Theory Perspective,"Xinmiao Yu, Xiaocheng Feng, Yun Li, Minghui Liao, Ya-Qi Yu, Xiachong Feng, Weihong Zhong, Ruihan Chen, Mengkang Hu, Jihao Wu, Duyu Tang, Dandan Tu, Bing Qin",https://ojs.aaai.org/index.php/AAAI/article/view/33049,https://ojs.aaai.org/index.php/AAAI/article/view/33049/35204,1_Core_VDU_Doc_RAG
Dataset,AAAI Technical Track on Application Domains,Towards Better Robustness Against Natural Corruptions in Document Tampering Localization,"Huiru Shao, Kaizhu Huang, Wei Wang, Xiaowei Huang, Qiufeng Wang",https://ojs.aaai.org/index.php/AAAI/article/view/32052,https://ojs.aaai.org/index.php/AAAI/article/view/32052/34207,1_Core_VDU_Doc_RAG
Dataset,AAAI Technical Track on Computer Vision VIII,Predicting the Original Appearance of Damaged Historical Documents,"Zhenhua Yang, Dezhi Peng, Yongxin Shi, Yuyi Zhang, Chongyu Liu, Lianwen Jin",https://ojs.aaai.org/index.php/AAAI/article/view/33016,https://ojs.aaai.org/index.php/AAAI/article/view/33016/35171,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Computer Vision VIII,DocKylin: A Large Multimodal Model for Visual Document Understanding with Efficient Visual Slimming,"Jiaxin Zhang, Wentao Yang, Songxuan Lai, Zecheng Xie, Lianwen Jin",https://ojs.aaai.org/index.php/AAAI/article/view/33076,https://ojs.aaai.org/index.php/AAAI/article/view/33076/35231,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Natural Language Processing I,DocMamba: Efficient Document Pre-training with State Space Model,"Pengfei Hu, Zhenrong Zhang, Jiefeng Ma, Shuhang Liu, Jun Du, Jianshu Zhang",https://ojs.aaai.org/index.php/AAAI/article/view/34584,https://ojs.aaai.org/index.php/AAAI/article/view/34584/36739,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Computer Vision VI,LDP: Generalizing to Multilingual Visual Information Extraction by Language Decoupled Pretraining,"Huawen Shen, Gengluo Li, Jinwen Zhong, Yu Zhou",https://ojs.aaai.org/index.php/AAAI/article/view/32730,https://ojs.aaai.org/index.php/AAAI/article/view/32730/34885,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Computer Vision VI,ProcTag: Process Tagging for Assessing the Efficacy of Document Instruction Data,"Yufan Shen, Chuwei Luo, Zhaoqing Zhu, Yang Chen, Qi Zheng, Zhi Yu, Jiajun Bu, Cong Yao",https://ojs.aaai.org/index.php/AAAI/article/view/32735,https://ojs.aaai.org/index.php/AAAI/article/view/32735/34890,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Natural Language Processing III,SAIL: Sample-Centric In-Context Learning for Document Information Extraction,"Jinyu Zhang, Zhiyuan You, Jize Wang, Xinyi Le",https://ojs.aaai.org/index.php/AAAI/article/view/34780,https://ojs.aaai.org/index.php/AAAI/article/view/34780/36935,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Natural Language Processing II,Retrieval-Augmented Visual Question Answering via Built-in Autoregressive Search Engines,"Xinwei Long, Zhiyuan Ma, Ermo Hua, Kaiyan Zhang, Biqing Qi, Bowen Zhou",https://ojs.aaai.org/index.php/AAAI/article/view/34653,https://ojs.aaai.org/index.php/AAAI/article/view/34653/36808,1_Core_VDU_Doc_RAG
Method,AAAI Technical Track on Computer Vision II,LLaVA Needs More Knowledge: Retrieval Augmented Natural Language Generation with Knowledge Graph for Explaining Thoracic Pathologies,"Ameer Hamza, Abdullah , Yong Hyun Ahn, Sungyoung Lee, Seong Tae Kim",https://ojs.aaai.org/index.php/AAAI/article/view/32342,https://ojs.aaai.org/index.php/AAAI/article/view/32342/34497,1_Core_VDU_Doc_RAG
