Type,Sub-category,Title,Authors,Track,Paper_Link,PDF_Link,Category
Dataset,-,MosaicDoc: A Large-Scale Bilingual Benchmark for Visually Rich Document Understanding,"Ketong Chen, Yuhao Chen, Yang Xue",AAAI Technical Track on Computer Vision I,https://ojs.aaai.org/index.php/AAAI/article/view/37282,https://ojs.aaai.org/index.php/AAAI/article/view/37282/41244,1_Core_VDU_DocRAG
Dataset,-,Benchmarking Visual LLMs Resilience to Unanswerable Questions on Visually Rich Documents,"Davide Napolitano, Luca Cagliero, Fabrizio Battiloro",AAAI Technical Track on Computer Vision VII,https://ojs.aaai.org/index.php/AAAI/article/view/37759,https://ojs.aaai.org/index.php/AAAI/article/view/37759/41721,1_Core_VDU_DocRAG
Dataset,-,"FinMMDocR: Benchmarking Financial Multimodal Reasoning with Scenario Awareness, Document Understanding, and Multi-Step Computation","Zichen Tang, Haihong E, Rongjin Li, Jiacheng Liu, Linwei Jia, Zhuodi Hao, Zhongjun Yang, Yuanze Li, Haolin Tian, Xinyi Hu, Peizhi Zhao, Yuan Liu, Zhengyu Wang, Xianghe Wang, Yiling Huang, Xueyuan Lin, Ruofei Bai, Zijian Xie, Qian Huang, Ruining Cao, Haocheng Gao",AAAI Technical Track on Machine Learning VII,https://ojs.aaai.org/index.php/AAAI/article/view/39785,https://ojs.aaai.org/index.php/AAAI/article/view/39785/43746,1_Core_VDU_DocRAG
Dataset,-,OIDA-QA: A Multimodal Benchmark for Analyzing the Opioid Industry Documents Archive,"Xuan Shen, Brian Wingenroth, Zichao Wang, Jason Kuen, Wanrong Zhu, Ruiyi Zhang, Yiwei Wang, Lichun Ma, Anqi Liu, Hongfu Liu, Tong Sun, Kevin S. Hawkins, Kate Tasker, G. Caleb Alexander, Jiuxiang Gu",AAAI Special Track on AI for Social Impact II,https://ojs.aaai.org/index.php/AAAI/article/view/41273,https://ojs.aaai.org/index.php/AAAI/article/view/41273/45234,1_Core_VDU_DocRAG
Method,-,RegionRAG: Region-level Retrieval-Augmented Generation for Visual Document Understanding,"Yinglu Li, Zhiying Lu, Zhihang Liu, Yiwei Sun, Chuanbin Liu, Hongtao Xie",AAAI Technical Track on Computer Vision V,https://ojs.aaai.org/index.php/AAAI/article/view/37597,https://ojs.aaai.org/index.php/AAAI/article/view/37597/41559,1_Core_VDU_DocRAG
Method,-,DocR1: Evidence Page-Guided GRPO for Multi-Page Document Understanding,"Junyu Xiong, Yonghui Wang, Weichao Zhao, Chenyu Liu, Bing Yin, Wengang Zhou, Houqiang Li",AAAI Technical Track on Computer Vision X,https://ojs.aaai.org/index.php/AAAI/article/view/38097,https://ojs.aaai.org/index.php/AAAI/article/view/38097/42059,1_Core_VDU_DocRAG
Method,-,URaG: Unified Retrieval and Generation in Multimodal LLMs for Efficient Long Document Understanding,"Yongxin Shi, Jiapeng Wang, Zeyu Shan, Dezhi Peng, Zening Lin, Lianwen Jin",AAAI Technical Track on Machine Learning VII,https://ojs.aaai.org/index.php/AAAI/article/view/39729,https://ojs.aaai.org/index.php/AAAI/article/view/39729/43690,1_Core_VDU_DocRAG
Method,-,Look as You Think: Unifying Reasoning and Visual Evidence Attribution for Verifiable Document RAG via Reinforcement Learning,"Shuochen Liu, Pengfei Luo, Chao Zhang, Yuhao Chen, Haotian Zhang, Qi Liu, Xin Kou, Tong Xu, Enhong Chen",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40488,https://ojs.aaai.org/index.php/AAAI/article/view/40488/44449,1_Core_VDU_DocRAG
Method,-,Are We on the Right Way to Assess Document Retrieval-Augmented Generation?,"Wenxuan Shen, Mingjia Wang, Yaochen Wang, Dongping Chen, Junjie Yang, Yao Wan, Weiwei Lin",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40574,https://ojs.aaai.org/index.php/AAAI/article/view/40574/44535,1_Core_VDU_DocRAG
Dataset,Layout / parsing,Semantic Document Derendering: SVG Reconstruction via Vision-Language Modeling,"Adam Hazimeh, Ke Wang, Mark Collier, Gilles Baechler, Efi Kokiopoulou, Pascal Frossard",AAAI Technical Track on Computer Vision III,https://ojs.aaai.org/index.php/AAAI/article/view/42464,https://ojs.aaai.org/index.php/AAAI/article/view/42464/46425,2_DocAI_Layout_OCR
Method,Layout / parsing,HybriDLA: Hybrid Generation for Document Layout Analysis,"Yufan Chen, Omar Moured, Ruiping Liu, Junwei Zheng, Kunyu Peng, Jiaming Zhang, Rainer Stiefelhagen",AAAI Technical Track on Computer Vision I,https://ojs.aaai.org/index.php/AAAI/article/view/37308,https://ojs.aaai.org/index.php/AAAI/article/view/37308/41270,2_DocAI_Layout_OCR
Method,Layout / parsing,"LaTeX2Layout: High-Fidelity, Scalable Document Layout Annotation Pipeline for Layout Detection","Feijiang Han, Zelong Wang, Bowen Wang, Xinxin Liu, Skyler Cheung, Delip Rao, Chris Callison-Burch, Lyle Ungar",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40349,https://ojs.aaai.org/index.php/AAAI/article/view/40349/44310,2_DocAI_Layout_OCR
Method,Layout / parsing,Layout-Aware Document Parsing with Visual-Linguistic Fusion: The DATA-LUX with Academic Content Service Provider,"Min Chan Kim, Yeonkyung Kim, Jae Won Lee, Ki Hwan Kim, Ji Woo Kwak, Jae Hong Park",IAAI Technical Track on Deployed Highly Innovative Applications of AI,https://ojs.aaai.org/index.php/AAAI/article/view/41438,https://ojs.aaai.org/index.php/AAAI/article/view/41438/45399,2_DocAI_Layout_OCR
Method,Layout / parsing,Axis-Aligned Document Dewarping,"Chaoyun Wang, I-Chao Shen, Takeo Igarashi, Caigui Jiang",AAAI Technical Track on Computer Vision IX,https://ojs.aaai.org/index.php/AAAI/article/view/37933,https://ojs.aaai.org/index.php/AAAI/article/view/37933/41895,2_DocAI_Layout_OCR
Method,Layout / parsing,Docora: A System for Interactive Knowledge Extraction and Visualization from Scientific PDFs,"Dinh-Truong Do, Hoang-An Trieu, Van-Thuy Phi, Le-Minh Nguyen, Yuji Matsumoto",AAAI Demonstration Track,https://ojs.aaai.org/index.php/AAAI/article/view/42342,https://ojs.aaai.org/index.php/AAAI/article/view/42342/46303,2_DocAI_Layout_OCR
Dataset,Document OCR / recognition,"Complex Mathematical Expression Recognition: Benchmark, Large-Scale Dataset and Strong Baseline","Weikang Bai, Yongkun Du, Yuchen Su, Yazhen Xie, Zhineng Chen",AAAI Technical Track on Computer Vision I,https://ojs.aaai.org/index.php/AAAI/article/view/37224,https://ojs.aaai.org/index.php/AAAI/article/view/37224/41186,2_DocAI_Layout_OCR
Dataset,Document OCR / recognition,Explainable Oracle Bone Script Recognition via Multimodal Pictographic Reasoning,"Yin Wu, Zhengxuan Zhang, Jiayu Chen, Chang Xu, Yuyu Luo, Nan Tang, Hui Xiong",AAAI Special Track on AI for Social Impact II,https://ojs.aaai.org/index.php/AAAI/article/view/41296,https://ojs.aaai.org/index.php/AAAI/article/view/41296/45257,2_DocAI_Layout_OCR
Dataset,Document QA / workflow,EvalQAG: A Framework for Automatic Complex QA Generation and a Benchmark QA Dataset for Policy Documents,"Kirtan Brijeshbhai Soni, Krish Rupapara, Arpit Rana, Ghanshyam Verma, Paul Buitelaar",AAAI Special Track on AI for Social Impact II,https://ojs.aaai.org/index.php/AAAI/article/view/41277,https://ojs.aaai.org/index.php/AAAI/article/view/41277/45238,2_DocAI_Layout_OCR
Dataset,Document QA / workflow,Automating Complex Document Workflows via Stepwise and Rollback-Enabled Operation Orchestration,"Yanbin Zhang, Hanhui Ye, Yue Bai, Qiming Zhang, Liao Xiang, Wu Mianzhi, Renjun Hu","AAAI Technical Track on Planning, Routing, and Scheduling",https://ojs.aaai.org/index.php/AAAI/article/view/40974,https://ojs.aaai.org/index.php/AAAI/article/view/40974/44935,2_DocAI_Layout_OCR
Dataset,Document forensics / security,TextShield-R1: Reinforced Reasoning for Tampered Text Detection,"Chenfan Qu, Yiwu Zhong, Jian Liu, Xuekang Zhu, Bohan Yu, Lianwen Jin",AAAI Technical Track on Computer Vision VII,https://ojs.aaai.org/index.php/AAAI/article/view/37814,https://ojs.aaai.org/index.php/AAAI/article/view/37814/41776,2_DocAI_Layout_OCR
Method,Document forensics / security,Frequency Mining Empowered by Text Aggregation: A New Perspective on Document Image Tampering Detection,"Ziqi Yi, Guitao Xu, Shihang Wu, Peirong Zhang, Lianwen Jin",AAAI Technical Track on Application Domains II,https://ojs.aaai.org/index.php/AAAI/article/view/37122,https://ojs.aaai.org/index.php/AAAI/article/view/37122/41084,2_DocAI_Layout_OCR
Method,Document forensics / security,GlyphShield: Document Watermarking for the Physical World via Vector Typeface Synthesis,"Nan Sun, Yuxing Lu, Han Fang, Hefei Ling, Sijing Xie, LuYu Yuan, Chengxin Zhao",AAAI Technical Track on Application Domains II,https://ojs.aaai.org/index.php/AAAI/article/view/37073,https://ojs.aaai.org/index.php/AAAI/article/view/37073/41035,2_DocAI_Layout_OCR
Method,Document forensics / security,AuthSig: Safeguarding Scanned Signatures Against Unauthorized Reuse in Paperless Workflows,"Ruiqiang Zhang, Zehua Ma, Guanjie Wang, Chang Liu, Hengyi Wang, Weiming Zhang",AAAI Technical Track on Computer Vision XII,https://ojs.aaai.org/index.php/AAAI/article/view/38268,https://ojs.aaai.org/index.php/AAAI/article/view/38268/42230,2_DocAI_Layout_OCR
Method,Document forensics / security,Guarding Digital Identity: Attention-Guided Fusion for Detecting Forged ID Documents (Student Abstract),"Gargi Surendra Yeole, Poulomi Bhattacharya, Akshay Agarwal",AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/42285,https://ojs.aaai.org/index.php/AAAI/article/view/42285/46246,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),MDiff4STR: Mask Diffusion Model for Scene Text Recognition,"Yongkun Du, Miaomiao Zhao, Songlin Fan, Zhineng Chen, Caiyan Jia, Yu-Gang Jiang",AAAI Technical Track on Computer Vision II,https://ojs.aaai.org/index.php/AAAI/article/view/37370,https://ojs.aaai.org/index.php/AAAI/article/view/37370/41332,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),One2Seq: One-Token Wise Decoder for Efficient Scene Text Recognition,"Zhibin Ma, Pengwen Dai, Wei Zhuo, Xugong Qin",AAAI Technical Track on Computer Vision VII,https://ojs.aaai.org/index.php/AAAI/article/view/37732,https://ojs.aaai.org/index.php/AAAI/article/view/37732/41694,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),Appearance Discrepancy-guided Sequence Hybrid Masking for Robust Scene Text Recognition,"Shihao Zou, Wei Wei, Leyang Xu, Kaihe Xu, Wenfeng Xie",AAAI Technical Track on Computer Vision XIII,https://ojs.aaai.org/index.php/AAAI/article/view/38419,https://ojs.aaai.org/index.php/AAAI/article/view/38419/42381,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),ST-SAM: Multimodal Scene Text Segmentation with Dense Visual and Sparse Textual Prompts via SAM,"Jin Wei, Yaqiang Wu, Jiayi Yan, Zeng Li, Zhen Xu, Yu Zhou, Lingling Zhang, QianYing Wang",AAAI Technical Track on Computer Vision X,https://ojs.aaai.org/index.php/AAAI/article/view/38025,https://ojs.aaai.org/index.php/AAAI/article/view/38025/41987,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),TripleFDS: Triple Feature Disentanglement and Synthesis for Scene Text Editing,"Yuchen Bao, Yiting Wang, Wenjian Huang, Haowei Wang, Shen Chen, Taiping Yao, Shouhong Ding, Jianguo Zhang",AAAI Technical Track on Computer Vision I,https://ojs.aaai.org/index.php/AAAI/article/view/37227,https://ojs.aaai.org/index.php/AAAI/article/view/37227/41189,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),Event-Guided Scene Text Image Super-Resolution,"Zihan Qi, Zeyu Xiao, Haoyi Zhao, Yang Zhao, Feng Xue, Wei Jia",AAAI Technical Track on Computer Vision VII,https://ojs.aaai.org/index.php/AAAI/article/view/37801,https://ojs.aaai.org/index.php/AAAI/article/view/37801/41763,2_DocAI_Layout_OCR
Method,Scene text & handwriting (adjacent),Gracefully Air-Written: Enhancing the Legibility and Style Consistency of In-Air Handwriting,"Yu Liu, Cunrui Wang, Lin Feng, Jianxin Zhang, Bo Lu",AAAI Technical Track on Humans and AI,https://ojs.aaai.org/index.php/AAAI/article/view/38815,https://ojs.aaai.org/index.php/AAAI/article/view/38815/42777,2_DocAI_Layout_OCR
Dataset,Table,Multimodal Table Understanding with Difficulty-aware Reinforcement Learning,"Chaohu Liu, Haoyu Cao, YongXiang Hua, Linli Xu",AAAI Technical Track on Application Domains I,https://ojs.aaai.org/index.php/AAAI/article/view/37042,https://ojs.aaai.org/index.php/AAAI/article/view/37042/41004,3_Table_Chart_Slide
Method,Table,TabFlash: Efficient Table Understanding with Progressive Question Conditioning and Token Focusing,"Jongha Kim, Minseong Bae, Sanghyeok Lee, Jinsung Yoon, Hyunwoo J. Kim",AAAI Technical Track on Machine Learning IV,https://ojs.aaai.org/index.php/AAAI/article/view/39417,https://ojs.aaai.org/index.php/AAAI/article/view/39417/43378,3_Table_Chart_Slide
Method,Table,TaREx: Reinforcement Learning for Code-Driven Table Reasoning,"Fangyu Lei, Jinxiang Meng, Yiming Huang, Shizhu He, Jun Zhao, Kang Liu",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40415,https://ojs.aaai.org/index.php/AAAI/article/view/40415/44376,3_Table_Chart_Slide
Method,Table,Syllogism-Inspired TableQA: Evidentialization Makes Decomposition Reasoning and Answer Verification More Reliable,"Zhe Zhang, Lili Bai, Chaopeng Guo, Jie Song",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40792,https://ojs.aaai.org/index.php/AAAI/article/view/40792/44753,3_Table_Chart_Slide
Dataset,Chart,ChartEditor: A Reinforcement Learning Framework for Robust Chart Editing,"Liangyu Chen, Yichen Xu, Jianzhe Ma, Yuqi Liu, Donglu Yang, Liang Zhang, Zihao Yue, Wenxuan Wang, Qin Jin",AAAI Technical Track on Machine Learning I,https://ojs.aaai.org/index.php/AAAI/article/view/39107,https://ojs.aaai.org/index.php/AAAI/article/view/39107/43069,3_Table_Chart_Slide
Method,Chart,DomainCQA: Crafting Knowledge-Intensive QA from Domain-Specific Charts,"Yujing Lu, Ling Zhong, Jing Yang, Weiming Li, Peng Wei, Yongheng Wang, Manni Duan, Qing Zhang",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40509,https://ojs.aaai.org/index.php/AAAI/article/view/40509/44470,3_Table_Chart_Slide
Method,Chart,Format Matters: The Robustness of Multimodal LLMs in Reviewing Evidence from Tables and Charts,"Xanh Ho, Yun-Ang Wu, Sunisth Kumar, Florian Boudin, Atsuhiro Takasu, Akiko Aizawa",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40361,https://ojs.aaai.org/index.php/AAAI/article/view/40361/44322,3_Table_Chart_Slide
Method,Chart,Multimodal DeepResearcher: Generating Text-Chart Interleaved Reports from Scratch with Agentic Framework,"Zhaorui Yang, Bo Pan, Han Wang, Yiyao Wang, Xingyu Liu, Luoxuan Weng, Yingchaojie Feng, Haozhe Feng, Minfeng Zhu, Bo Zhang, Wei Chen",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40734,https://ojs.aaai.org/index.php/AAAI/article/view/40734/44695,3_Table_Chart_Slide
Dataset,Slide / presentation,SlideTailor: Personalized Presentation Slide Generation for Scientific Papers,"Wenzheng Zeng, Mingyu Ouyang, Langyuan Cui, Hwee Tou Ng",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40758,https://ojs.aaai.org/index.php/AAAI/article/view/40758/44719,3_Table_Chart_Slide
Method,Slide / presentation,"SlideBot: A Multi-Agent Framework for Generating Informative, Reliable, Multi-Modal Presentations","Eric Xie, Danielle Waterfield, Michael Kennedy, Aidong Zhang",EAAI Symposium: AI for Education,https://ojs.aaai.org/index.php/AAAI/article/view/42124,https://ojs.aaai.org/index.php/AAAI/article/view/42124/46085,3_Table_Chart_Slide
Dataset,-,Knowledge Completes the Vision: A Multimodal Entity-aware Retrieval-Augmented Generation Framework for News Image Captioning,"Xiaoxing You, Qiang Huang, Lingyu Li, Chi Zhang, Xiaopeng Liu, Min Zhang, Jun Yu",AAAI Technical Track on Computer Vision XI,https://ojs.aaai.org/index.php/AAAI/article/view/38200,https://ojs.aaai.org/index.php/AAAI/article/view/38200/42162,4_Multimodal_RAG
Dataset,-,Organ-Aware Routing Mixture-of-Retrieval Augmented Generation for Fetal Ultrasound Reporting,"Bin Pu, Siyu Wang, Rongbin Li, Xinpeng Ding, Lei Zhao, Chaoqi Chen, Shengli Li, Kenli Li",AAAI Technical Track on Computer Vision VII,https://ojs.aaai.org/index.php/AAAI/article/view/37795,https://ojs.aaai.org/index.php/AAAI/article/view/37795/41757,4_Multimodal_RAG
