Type,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Dataset,Main - Long,"LongDocURL: a Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning, and Locating","Chao Deng, Jiale Yuan, Pi Bu, Peijie Wang, Zhong-Zhi Li, Jian Xu, Xiao-Hui Li, Yuan Gao, Jun Song, Bo Zheng, Cheng-Lin Liu",https://aclanthology.org/2025.acl-long.57/,https://aclanthology.org/2025.acl-long.57.pdf,2025.acl-long.57,1_Core_VDU_DocRAG
Dataset,Main - Long,Any Information Is Just Worth One Single Screenshot: Unifying Search With Visualized Information Retrieval,"Zheng Liu, Ze Liu, Zhengyang Liang, Junjie Zhou, Shitao Xiao, Chao Gao, Chen Jason Zhang, Defu Lian",https://aclanthology.org/2025.acl-long.943/,https://aclanthology.org/2025.acl-long.943.pdf,2025.acl-long.943,1_Core_VDU_DocRAG
Dataset,Main - Long,REAL-MM-RAG: A Real-World Multi-Modal Retrieval Benchmark,"Navve Wasserman, Roi Pony, Oshri Naparstek, Adi Raz Goldfarb, Eli Schwartz, Udi Barzelay, Leonid Karlinsky",https://aclanthology.org/2025.acl-long.1528/,https://aclanthology.org/2025.acl-long.1528.pdf,2025.acl-long.1528,1_Core_VDU_DocRAG
Dataset,Main - Long,Scaling Text-Rich Image Understanding via Code-Guided Synthetic Multimodal Data Generation,"Yue Yang, Ajay Patel, Matt Deitke, Tanmay Gupta, Luca Weihs, Andrew Head, Mark Yatskar, Chris Callison-Burch, Ranjay Krishna, Aniruddha Kembhavi, Christopher Clark",https://aclanthology.org/2025.acl-long.855/,https://aclanthology.org/2025.acl-long.855.pdf,2025.acl-long.855,1_Core_VDU_DocRAG
Dataset,Main - Long,FCMR: Robust Evaluation of Financial Cross-Modal Multi-Hop Reasoning,"Seunghee Kim, Changhyeon Kim, Taeuk Kim",https://aclanthology.org/2025.acl-long.1138/,https://aclanthology.org/2025.acl-long.1138.pdf,2025.acl-long.1138,1_Core_VDU_DocRAG
Dataset,Main - Long,FinMME: Benchmark Dataset for Financial Multi-Modal Reasoning Evaluation,"Junyu Luo, Zhizhuo Kou, Liming Yang, Xiao Luo, Jinsheng Huang, Zhiping Xiao, Jingshu Peng, Chengzhong Liu, Jiaming Ji, Xuanzhe Liu, Sirui Han, Ming Zhang, Yike Guo",https://aclanthology.org/2025.acl-long.1426/,https://aclanthology.org/2025.acl-long.1426.pdf,2025.acl-long.1426,1_Core_VDU_DocRAG
Dataset,Findings,WikiMixQA: A Multimodal Benchmark for Question Answering over Tables and Charts,"Negar Foroutan, Angelika Romanou, Matin Ansaripour, Julian Martin Eisenschlos, Karl Aberer, Rémi Lebret",https://aclanthology.org/2025.findings-acl.1280/,https://aclanthology.org/2025.findings-acl.1280.pdf,2025.findings-acl.1280,1_Core_VDU_DocRAG
Method,Main - Long,mPLUG-DocOwl2: High-resolution Compressing for OCR-free Multi-page Document Understanding,"Anwen Hu, Haiyang Xu, Liang Zhang, Jiabo Ye, Ming Yan, Ji Zhang, Qin Jin, Fei Huang, Jingren Zhou",https://aclanthology.org/2025.acl-long.291/,https://aclanthology.org/2025.acl-long.291.pdf,2025.acl-long.291,1_Core_VDU_DocRAG
Method,Main - Long,NeuSym-RAG: Hybrid Neural Symbolic Retrieval with Multiview Structuring for PDF Question Answering,"Ruisheng Cao, Hanchong Zhang, Tiancheng Huang, Zhangyi Kang, Yuxin Zhang, Liangtai Sun, Hanqi Li, Yuxun Miao, Shuai Fan, Lu Chen, Kai Yu",https://aclanthology.org/2025.acl-long.311/,https://aclanthology.org/2025.acl-long.311.pdf,2025.acl-long.311,1_Core_VDU_DocRAG
Method,Main - Long,Unveil: Unified Visual-Textual Integration and Distillation for Multi-modal Document Retrieval,"Hao Sun, Yingyan Hou, Jiayan Guo, Bo Wang, Chunyu Yang, Jinsong Ni, Yan Zhang",https://aclanthology.org/2025.acl-long.1166/,https://aclanthology.org/2025.acl-long.1166.pdf,2025.acl-long.1166,1_Core_VDU_DocRAG
Method,Main - Long,VISA: Retrieval Augmented Generation with Visual Source Attribution,"Xueguang Ma, Shengyao Zhuang, Bevan Koopman, Guido Zuccon, Wenhu Chen, Jimmy Lin",https://aclanthology.org/2025.acl-long.1456/,https://aclanthology.org/2025.acl-long.1456.pdf,2025.acl-long.1456,1_Core_VDU_DocRAG
Method,Main - Short,Doc-React: Multi-page Heterogeneous Document Question-answering,"Junda Wu, Yu Xia, Tong Yu, Xiang Chen, Sai Sree Harsha, Akash V Maharaj, Ruiyi Zhang, Victor Bursztyn, Sungchul Kim, Ryan A. Rossi, Julian McAuley, Yunyao Li, Ritwik Sinha",https://aclanthology.org/2025.acl-short.6/,https://aclanthology.org/2025.acl-short.6.pdf,2025.acl-short.6,1_Core_VDU_DocRAG
Method,Main - Long,Information Extraction from Visually Rich Documents using LLM-based Organization of Documents into Independent Textual Segments,"Aniket Bhattacharyya, Anurag Tripathi, Ujjal Das, Archan Karmakar, Amit Pathak, Maneesh Gupta",https://aclanthology.org/2025.acl-long.844/,https://aclanthology.org/2025.acl-long.844.pdf,2025.acl-long.844,1_Core_VDU_DocRAG
Method,Findings,Towards Storage-Efficient Visual Document Retrieval: An Empirical Study on Reducing Patch-Level Embeddings,"Yubo Ma, Jinsong Li, Yuhang Zang, Xiaobao Wu, Xiaoyi Dong, Pan Zhang, Yuhang Cao, Haodong Duan, Jiaqi Wang, Yixin Cao, Aixin Sun",https://aclanthology.org/2025.findings-acl.1003/,https://aclanthology.org/2025.findings-acl.1003.pdf,2025.findings-acl.1003,1_Core_VDU_DocRAG
Method,Findings,Multimodal Large Language Models for Text-rich Image Understanding: A Comprehensive Review,"Pei Fu, Tongkun Guan, Zining Wang, Zhentao Guo, Chen Duan, Hao Sun, Boming Chen, Qianyi Jiang, Jiayao Ma, Kai Zhou, Junfeng Luo",https://aclanthology.org/2025.findings-acl.1023/,https://aclanthology.org/2025.findings-acl.1023.pdf,2025.findings-acl.1023,1_Core_VDU_DocRAG
Method,Findings,A Bounding Box is Worth One Token - Interleaving Layout and Text in a Large Language Model for Document Understanding,"Jinghui Lu, Haiyang Yu, Yanjie Wang, Yongjie Ye, Jingqun Tang, Ziwei Yang, Binghong Wu, Qi Liu, Hao Feng, Han Wang, Hao Liu, Can Huang",https://aclanthology.org/2025.findings-acl.379/,https://aclanthology.org/2025.findings-acl.379.pdf,2025.findings-acl.379,1_Core_VDU_DocRAG
Method,Industry,Arctic-TILT. Business Document Understanding at Sub-Billion Scale,"Łukasz Borchmann, Michał Pietruszka, Wojciech Jaśkowski, Dawid Jurkiewicz, Piotr Halama, Paweł Józiak, Łukasz Garncarek, Paweł Liskowski, Karolina Szyndler, Andrzej Gretkowski, Julita Ołtusek, Gabriela Nowakowska, Artur Zawłocki, Łukasz Duhr, Paweł Dyda, Michał Turski",https://aclanthology.org/2025.acl-industry.20/,https://aclanthology.org/2025.acl-industry.20.pdf,2025.acl-industry.20,1_Core_VDU_DocRAG
Method,Industry,EcoDoc: A Cost-Efficient Multimodal Document Processing System for Enterprises Using LLMs,"Ravi K. Rajendran, Biplob Debnath, Murugan Sankaradass, Srimat Chakradhar",https://aclanthology.org/2025.acl-industry.109/,https://aclanthology.org/2025.acl-industry.109.pdf,2025.acl-industry.109,1_Core_VDU_DocRAG
