Type,Sub-category,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Dataset,-,Main - Long,TRACE: Traversal Retrieval-Augmented Chain of Evidence for Document Understanding,"Liqi He, Zuchao Li, Hao Huang, Ping Wang",https://aclanthology.org/2026.acl-long.445/,https://aclanthology.org/2026.acl-long.445.pdf,2026.acl-long.445,1_Core_VDU_DocRAG
Dataset,-,Main - Long,ViDoRe V3: A Comprehensive Evaluation of Retrieval Augmented Generation in Complex Real-World Scenarios,"António Loison, Quentin Macé, Antoine Edy, Victor Xing, Tom Balough, Gabriel de Souza P. Moreira, Bo Liu, Manuel Faysse, Celine Hudelot, Gautier Viaud",https://aclanthology.org/2026.acl-long.755/,https://aclanthology.org/2026.acl-long.755.pdf,2026.acl-long.755,1_Core_VDU_DocRAG
Dataset,-,Main - Long,Chart-MRAG: Benchmarking Multimodal Retrieval Augmented Generation on Chart-based Documents,"Ymyang, Jiang Zhong, Li Jin, Xiao Sun, Jingwang Huang, Gaojinpeng, Qing Liu, Yang Bai, Jingyuan Zhang, Rui Jiang, Qin Lei, Kaiwen Wei",https://aclanthology.org/2026.acl-long.1164/,https://aclanthology.org/2026.acl-long.1164.pdf,2026.acl-long.1164,1_Core_VDU_DocRAG
Dataset,-,Main - Long,SciMDR: Advancing Scientific Multimodal Document Reasoning,"Ziyu Chen, Yilun Zhao, Chengye Wang, Rilyn R. Han, Manasi Patwardhan, Arman Cohan",https://aclanthology.org/2026.acl-long.2070/,https://aclanthology.org/2026.acl-long.2070.pdf,2026.acl-long.2070,1_Core_VDU_DocRAG
Dataset,-,Findings,FinMRAGBench: A Realistic and Complex Benchmark for Multi-Modal RAG in Financial Document Analysis,"Shouqing Yang, Qi Zhang, Yuhang Yang, Ruikang Xu, Yuwei Hou, Zhulin Jia, Lirong Gao, Haobo Wang, Jinglei Chen, Jiexiang Wang, Sheng Guo, Bo Zheng, Gang Chen",https://aclanthology.org/2026.findings-acl.187/,https://aclanthology.org/2026.findings-acl.187.pdf,2026.findings-acl.187,1_Core_VDU_DocRAG
Dataset,-,Findings,PaperScope: A Multi-Modal Multi-Document Benchmark for Agentic Deep Research Across Massive Scientific Papers,"Lei Xiong, Huaying Yuan, Zheng Liu, Zhao Cao, Zhicheng Dou",https://aclanthology.org/2026.findings-acl.394/,https://aclanthology.org/2026.findings-acl.394.pdf,2026.findings-acl.394,1_Core_VDU_DocRAG
Dataset,-,Findings,Doc-PP: Document Policy Preservation Benchmark for Large Vision-Language Models,"Haeun Jang, Hwan Chang, Hwanhee Lee",https://aclanthology.org/2026.findings-acl.832/,https://aclanthology.org/2026.findings-acl.832.pdf,2026.findings-acl.832,1_Core_VDU_DocRAG
Dataset,-,Industry,When Good OCR Is Not Enough: Benchmarking OCR Robustness for Retrieval-Augmented Generation,"Lin Sun, Wangdexian, Jingang Huang, Linglin Zhang, Change Jia, Zhengwei Cheng, Xiangzheng Zhang",https://aclanthology.org/2026.acl-industry.60/,https://aclanthology.org/2026.acl-industry.60.pdf,2026.acl-industry.60,1_Core_VDU_DocRAG
Dataset,-,Findings,StruNRAG: Evaluation of OCR-Induced Structural Noise on RAG Robustness,"Mengna Gao, Dapeng Yin, Shuyue Zhu, Bingxuan Hou, Zhanpeng Ni, Junli Wang",https://aclanthology.org/2026.findings-acl.955/,https://aclanthology.org/2026.findings-acl.955.pdf,2026.findings-acl.955,1_Core_VDU_DocRAG
Dataset,-,Main - Long,UNIKIE-BENCH: Benchmarking Large Multimodal Models for Key Information Extraction in Visual Documents,"Yifan Ji, Zhipeng Xu, Zhenghao Liu, Zulong Chen, Qian Zhang, Zhibo Yang, Junyang Lin, Yu Gu, Ge Yu, Maosong Sun",https://aclanthology.org/2026.acl-long.287/,https://aclanthology.org/2026.acl-long.287.pdf,2026.acl-long.287,1_Core_VDU_DocRAG
