Sub-category,BMVC_ID,Title,Scholar_Search,arXiv_Search,Category
Document / text,39.0,DocAttentionRect: Attention-Guided Document Image Rectification,https://scholar.google.com/scholar?q=%22DocAttentionRect%3A+Attention-Guided+Document+Image+Rectification%22,https://arxiv.org/search/?searchtype=title&query=DocAttentionRect%3A+Attention-Guided+Document+Image+Rectification,TOP_related
Document / text,478.0,Bézier Curve-Based Stroke Extraction for Handwritten Characters,https://scholar.google.com/scholar?q=%22B%C3%A9zier+Curve-Based+Stroke+Extraction+for+Handwritten+Characters%22,https://arxiv.org/search/?searchtype=title&query=B%C3%A9zier+Curve-Based+Stroke+Extraction+for+Handwritten+Characters,TOP_related
Document / text,988.0,Ink Enhancement for Ancient Bamboo Manuscripts Using Iterative Restoration-Degradation Adversarial Learning,https://scholar.google.com/scholar?q=%22Ink+Enhancement+for+Ancient+Bamboo+Manuscripts+Using+Iterative+Restoration-Degradation+Adversarial+Learning%22,https://arxiv.org/search/?searchtype=title&query=Ink+Enhancement+for+Ancient+Bamboo+Manuscripts+Using+Iterative+Restoration-Degradation+Adversarial+Learning,TOP_related
Document / text,1118.0,Conformal Predictors for Efficient Video Text Spotting,https://scholar.google.com/scholar?q=%22Conformal+Predictors+for+Efficient+Video+Text+Spotting%22,https://arxiv.org/search/?searchtype=title&query=Conformal+Predictors+for+Efficient+Video+Text+Spotting,TOP_related
Document / text,38.0,GC-Font: Few-Shot Font Generation via Global Contextual Feature Modelling,https://scholar.google.com/scholar?q=%22GC-Font%3A+Few-Shot+Font+Generation+via+Global+Contextual+Feature+Modelling%22,https://arxiv.org/search/?searchtype=title&query=GC-Font%3A+Few-Shot+Font+Generation+via+Global+Contextual+Feature+Modelling,TOP_related
Retrieval,126.0,CLAIR: CLIP-Aided Weakly Supervised Zero-Shot Cross-Domain Image Retrieval,https://scholar.google.com/scholar?q=%22CLAIR%3A+CLIP-Aided+Weakly+Supervised+Zero-Shot+Cross-Domain+Image+Retrieval%22,https://arxiv.org/search/?searchtype=title&query=CLAIR%3A+CLIP-Aided+Weakly+Supervised+Zero-Shot+Cross-Domain+Image+Retrieval,TOP_related
Retrieval,373.0,Back To The Drawing Board: Rethinking Scene-Level Sketch-Based Image Retrieval,https://scholar.google.com/scholar?q=%22Back+To+The+Drawing+Board%3A+Rethinking+Scene-Level+Sketch-Based+Image+Retrieval%22,https://arxiv.org/search/?searchtype=title&query=Back+To+The+Drawing+Board%3A+Rethinking+Scene-Level+Sketch-Based+Image+Retrieval,TOP_related
Retrieval,701.0,Category-level Text-to-Image Retrieval Improved: Bridging the Domain Gap with Diffusion Models and Vision Encoders,https://scholar.google.com/scholar?q=%22Category-level+Text-to-Image+Retrieval+Improved%3A+Bridging+the+Domain+Gap+with+Diffusion+Models+and+Vision+Encoders%22,https://arxiv.org/search/?searchtype=title&query=Category-level+Text-to-Image+Retrieval+Improved%3A+Bridging+the+Domain+Gap+with+Diffusion+Models+and+Vision+Encoders,TOP_related
Retrieval,828.0,Leveraging Modality Tags for Enhanced Cross-Modal Video Retrieval,https://scholar.google.com/scholar?q=%22Leveraging+Modality+Tags+for+Enhanced+Cross-Modal+Video+Retrieval%22,https://arxiv.org/search/?searchtype=title&query=Leveraging+Modality+Tags+for+Enhanced+Cross-Modal+Video+Retrieval,TOP_related
Efficiency,661.0,Leveraging Sparsity for Efficient Inference of High-Resolution Vision Foundation Models,https://scholar.google.com/scholar?q=%22Leveraging+Sparsity+for+Efficient+Inference+of+High-Resolution+Vision+Foundation+Models%22,https://arxiv.org/search/?searchtype=title&query=Leveraging+Sparsity+for+Efficient+Inference+of+High-Resolution+Vision+Foundation+Models,TOP_related
