Sub-category,Type,BMVC_ID,Title,Scholar_Search,arXiv_Search,Category
Core VDU / Document,Dataset,662.0,DocAttriBench: Benchmarking Answer Grounding in Document Visual Question Answering,https://scholar.google.com/scholar?q=%22DocAttriBench%3A+Benchmarking+Answer+Grounding+in+Document+Visual+Question+Answering%22,https://arxiv.org/search/?searchtype=title&query=DocAttriBench%3A+Benchmarking+Answer+Grounding+in+Document+Visual+Question+Answering,TOP_VDU_RAG
Core VDU / Document,Method,383.0,Beyond String Matching: Semantic Evaluation of PDF Table Extraction,https://scholar.google.com/scholar?q=%22Beyond+String+Matching%3A+Semantic+Evaluation+of+PDF+Table+Extraction%22,https://arxiv.org/search/?searchtype=title&query=Beyond+String+Matching%3A+Semantic+Evaluation+of+PDF+Table+Extraction,TOP_VDU_RAG
Core VDU / Document,Method,259.0,Unapologetically Distributed: A Call for Decentralized Document Analysis,https://scholar.google.com/scholar?q=%22Unapologetically+Distributed%3A+A+Call+for+Decentralized+Document+Analysis%22,https://arxiv.org/search/?searchtype=title&query=Unapologetically+Distributed%3A+A+Call+for+Decentralized+Document+Analysis,TOP_VDU_RAG
Core VDU / Document,Method,868.0,Gating Vision–Language Graders: A Multi-Task Detector for Reliable Evaluation of Handwritten Student Work Captured In-the-Wild,https://scholar.google.com/scholar?q=%22Gating+Vision%E2%80%93Language+Graders%3A+A+Multi-Task+Detector+for+Reliable+Evaluation+of+Handwritten+Student+Work+Captured+In-the-Wild%22,https://arxiv.org/search/?searchtype=title&query=Gating+Vision%E2%80%93Language+Graders%3A+A+Multi-Task+Detector+for+Reliable+Evaluation+of+Handwritten+Student+Work+Captured+In-the-Wild,TOP_VDU_RAG
Core VDU / Document,Method,59.0,Asset-Grounded Screenshot-to-Code: Bridging the Visual Asset Gap in UI Generation,https://scholar.google.com/scholar?q=%22Asset-Grounded+Screenshot-to-Code%3A+Bridging+the+Visual+Asset+Gap+in+UI+Generation%22,https://arxiv.org/search/?searchtype=title&query=Asset-Grounded+Screenshot-to-Code%3A+Bridging+the+Visual+Asset+Gap+in+UI+Generation,TOP_VDU_RAG
Core VDU / Document,Method,1387.0,Sketch2TikZ: Multi-Reward Reinforcement Learning for Converting Hand-Drawn Sketches to Executable TikZ,https://scholar.google.com/scholar?q=%22Sketch2TikZ%3A+Multi-Reward+Reinforcement+Learning+for+Converting+Hand-Drawn+Sketches+to+Executable+TikZ%22,https://arxiv.org/search/?searchtype=title&query=Sketch2TikZ%3A+Multi-Reward+Reinforcement+Learning+for+Converting+Hand-Drawn+Sketches+to+Executable+TikZ,TOP_VDU_RAG
Document forensics,Method,828.0,TamperLens: Tool-Augmented Vision-Language Agents for Document Forgery Detection and Localization,https://scholar.google.com/scholar?q=%22TamperLens%3A+Tool-Augmented+Vision-Language+Agents+for+Document+Forgery+Detection+and+Localization%22,https://arxiv.org/search/?searchtype=title&query=TamperLens%3A+Tool-Augmented+Vision-Language+Agents+for+Document+Forgery+Detection+and+Localization,TOP_VDU_RAG
Document forensics,Method,1385.0,Mistaking Periodicity for Manipulation: JPEG-Induced Structural Bias in Document Tampering Detection,https://scholar.google.com/scholar?q=%22Mistaking+Periodicity+for+Manipulation%3A+JPEG-Induced+Structural+Bias+in+Document+Tampering+Detection%22,https://arxiv.org/search/?searchtype=title&query=Mistaking+Periodicity+for+Manipulation%3A+JPEG-Induced+Structural+Bias+in+Document+Tampering+Detection,TOP_VDU_RAG
OCR / script,Method,832.0,Oracle Bone Script Recognition with Efficient Topo-Swin Transformer,https://scholar.google.com/scholar?q=%22Oracle+Bone+Script+Recognition+with+Efficient+Topo-Swin+Transformer%22,https://arxiv.org/search/?searchtype=title&query=Oracle+Bone+Script+Recognition+with+Efficient+Topo-Swin+Transformer,TOP_VDU_RAG
OCR / script,Method,1046.0,CANDLE: Test-Time Debiasing of CLIP Against Typographic Attacks by Suppressing Text-Spotting Bias,https://scholar.google.com/scholar?q=%22CANDLE%3A+Test-Time+Debiasing+of+CLIP+Against+Typographic+Attacks+by+Suppressing+Text-Spotting+Bias%22,https://arxiv.org/search/?searchtype=title&query=CANDLE%3A+Test-Time+Debiasing+of+CLIP+Against+Typographic+Attacks+by+Suppressing+Text-Spotting+Bias,TOP_VDU_RAG
