Type,Sub-category,Track,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Dataset,-,Main,SEA-Vision: A Multilingual Benchmark for Comprehensive Document and Scene Text Understanding in Southeast Asia,"Pengfei Yue, Xingran Zhao, Juntao Chen, Peng Hou, Wang Longchao, Jianghang Lin, Shengchuan Zhang, Anxiang Zeng, Liujuan Cao",https://openaccess.thecvf.com/content/CVPR2026/html/Yue_SEA-Vision_A_Multilingual_Benchmark_for_Comprehensive_Document_and_Scene_Text_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yue_SEA-Vision_A_Multilingual_Benchmark_for_Comprehensive_Document_and_Scene_Text_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.15409,1_Core_VDU_DocRAG
Dataset,-,Main,M3Grounder: Mask-Based Multi-Span and Multi-Granular Grounding for Document QA,"Venkata Kesav Venna, Sai Madhusudan Gunda, Jyothi Swaroopa Jinka, Hrithik Sagar Rachakonda, Anirudh Srinivasan, Ravi Kiran Sarvadevabhatla",https://openaccess.thecvf.com/content/CVPR2026/html/Venna_M3Grounder_Mask-Based_Multi-Span_and_Multi-Granular_Grounding_for_Document_QA_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Venna_M3Grounder_Mask-Based_Multi-Span_and_Multi-Granular_Grounding_for_Document_QA_CVPR_2026_paper.pdf,,1_Core_VDU_DocRAG
Dataset,-,Main,VinQA: Visual Elements Interleaved Long-form Answer Generation for Real-World Multimodal Document QA,"Young Rok Jang, Hyesoo Kong, Kyunghwan An, Jae Sub Huh, Gyeonghun KIM, Stanley Jungkyu Choi",https://openaccess.thecvf.com/content/CVPR2026/html/Jang_VinQA_Visual_Elements_Interleaved_Long-form_Answer_Generation_for_Real-World_Multimodal_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jang_VinQA_Visual_Elements_Interleaved_Long-form_Answer_Generation_for_Real-World_Multimodal_CVPR_2026_paper.pdf,,1_Core_VDU_DocRAG
Dataset,-,Main,RobustVisRAG: Causality-Aware Vision-Based Retrieval-Augmented Generation under Visual Degradations,"I-Hsiang Chen, Yu-Wei Liu, Tse-Yu Wu, Yu-Chien Chiang, Jen-Chieh Yang, Wei-Ting Chen",https://openaccess.thecvf.com/content/CVPR2026/html/Chen_RobustVisRAG_Causality-Aware_Vision-Based_Retrieval-Augmented_Generation_under_Visual_Degradations_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_RobustVisRAG_Causality-Aware_Vision-Based_Retrieval-Augmented_Generation_under_Visual_Degradations_CVPR_2026_paper.pdf,https://arxiv.org/abs/2602.22013,1_Core_VDU_DocRAG
Dataset,-,Findings,MARS-RL: Enhancing Multi-Agent RAG Systems for Multi-Modal Documents via Strategic Reasoning with Reinforcement Learning,"Zhongyu Wang, Pengbo Liu",https://openaccess.thecvf.com/content/CVPR2026F/html/Wang_MARS-RL_Enhancing_Multi-Agent_RAG_Systems_for_Multi-Modal_Documents_via_Strategic_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Wang_MARS-RL_Enhancing_Multi-Agent_RAG_Systems_for_Multi-Modal_Documents_via_Strategic_CVPRF_2026_paper.pdf,,1_Core_VDU_DocRAG
Dataset,-,Findings,M-DocSum: Do LVLMs Genuinely Comprehend Interleaved Image-Text in Document Summarization?,"Haolong Yan, Kaijun Tan, Yeqing Shen, Xin Huang, Jia Wang, Zheng Ge, Xiangyu Zhang, Si Li, Daxin Jiang",https://openaccess.thecvf.com/content/CVPR2026F/html/Yan_M-DocSum_Do_LVLMs_Genuinely_Comprehend_Interleaved_Image-Text_in_Document_Summarization_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Yan_M-DocSum_Do_LVLMs_Genuinely_Comprehend_Interleaved_Image-Text_in_Document_Summarization_CVPRF_2026_paper.pdf,https://arxiv.org/abs/2503.21839,1_Core_VDU_DocRAG
Method,-,Main,"DocPrune: Efficient Document Question Answering via Background, Question, and Comprehension-aware Token Pruning","Joonmyung Choi, Sanghyeok Lee, Jongha Kim, Sehyung Kim, Dohwan Ko, Jihyung Kil, Hyunwoo J. Kim",https://openaccess.thecvf.com/content/CVPR2026/html/Choi_DocPrune_Efficient_Document_Question_Answering_via_Background_Question_and_Comprehension-aware_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Choi_DocPrune_Efficient_Document_Question_Answering_via_Background_Question_and_Comprehension-aware_CVPR_2026_paper.pdf,,1_Core_VDU_DocRAG
Method,-,Main,DocSeeker: Structured Visual Reasoning with Evidence Grounding for Long Document Understanding,"Hao Yan, Yuliang Liu, Xingchen Liu, Yuyi Zhang, Minghui Liao, Jihao Wu, Wei Chen, Xiang Bai",https://openaccess.thecvf.com/content/CVPR2026/html/Yan_DocSeeker_Structured_Visual_Reasoning_with_Evidence_Grounding_for_Long_Document_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yan_DocSeeker_Structured_Visual_Reasoning_with_Evidence_Grounding_for_Long_Document_CVPR_2026_paper.pdf,https://arxiv.org/abs/2604.12812,1_Core_VDU_DocRAG
Method,-,Main,Visual Document Understanding and Reasoning: A Multi-Agent Collaboration Framework with Agent-Wise Adaptive Test-Time Scaling,"Xinlei Yu, Chengming Xu, Zhangquan Chen, Yudong Zhang, Shilin Lu, Cheng Yang, Jiangning Zhang, Shuicheng Yan, Xiaobin Hu",https://openaccess.thecvf.com/content/CVPR2026/html/Yu_Visual_Document_Understanding_and_Reasoning_A_Multi-Agent_Collaboration_Framework_with_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yu_Visual_Document_Understanding_and_Reasoning_A_Multi-Agent_Collaboration_Framework_with_CVPR_2026_paper.pdf,https://arxiv.org/abs/2508.03404,1_Core_VDU_DocRAG
Method,-,Main,Evo-Retriever: LLM-Guided Curriculum Evolution with Viewpoint-Pathway Collaboration for Multimodal Document Retrieval,"Weiqing Li, Jinyue Guo, Yaqi Wang, Haiyang Xiao, Yuewei Zhang, Guohua Liu, Hao Henry Wang",https://openaccess.thecvf.com/content/CVPR2026/html/Li_Evo-Retriever_LLM-Guided_Curriculum_Evolution_with_Viewpoint-Pathway_Collaboration_for_Multimodal_Document_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Evo-Retriever_LLM-Guided_Curriculum_Evolution_with_Viewpoint-Pathway_Collaboration_for_Multimodal_Document_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.16455,1_Core_VDU_DocRAG
