Type,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Dataset,Industry,OCR or Not? Rethinking Document Information Extraction in the MLLMs Era with Real-World Large-Scale Datasets,"Jiyuan Shen, Yuan Peiyue, Atin Ghosh, Yifan Mai, Daniel Dahlmeier",https://aclanthology.org/2026.eacl-industry.28/,https://aclanthology.org/2026.eacl-industry.28.pdf,2026.eacl-industry.28,1_Core_VDU_Doc
Dataset,Main - Long,ExStrucTiny: A Benchmark for Schema-Variable Structured Information Extraction from Document Images,"Mathieu Sibue, Andrés Muñoz Garza, Samuel Mensah, Pranav Shetty, Zhiqiang Ma, Xiaomo Liu, Manuela Veloso",https://aclanthology.org/2026.eacl-long.265/,https://aclanthology.org/2026.eacl-long.265.pdf,2026.eacl-long.265,1_Core_VDU_Doc
Dataset,Findings,Unveiling the Deficiencies of Pre-trained Text-and-Layout Models in Real-world Visually-rich Document Information Extraction,"Chong Zhang, Yixi Zhao, Yulu Xie, Chenshu Yuan, Yi Tu, Ya Guo, Mingxu Chai, Ziyu Shen, Yue Zhang, Qi Zhang",https://aclanthology.org/2026.findings-eacl.1/,https://aclanthology.org/2026.findings-eacl.1.pdf,2026.findings-eacl.1,1_Core_VDU_Doc
Dataset,Findings,Efficient Table Retrieval and Understanding with Multimodal Large Language Models,"Zhuoyan Xu, Haoyang Fang, Boran Han, Bonan Min, Bernie Wang, Cuixiong Hu, Shuai Zhang",https://aclanthology.org/2026.findings-eacl.226/,https://aclanthology.org/2026.findings-eacl.226.pdf,2026.findings-eacl.226,1_Core_VDU_Doc
Dataset,Findings,DashboardQA: Benchmarking Multimodal Agents for Question Answering on Interactive Dashboards,"Aaryaman Kartha, Ahmed Masry, Mohammed Saidul Islam, Thinh Lang, Shadikur Rahman, Ridwan Mahbub, Mizanur Rahman, Mahir Ahmed, Md Rizwan Parvez, Enamul Hoque, Shafiq Joty",https://aclanthology.org/2026.findings-eacl.177/,https://aclanthology.org/2026.findings-eacl.177.pdf,2026.findings-eacl.177,1_Core_VDU_Doc
Dataset,Findings,VisDoT : Enhancing Visual Reasoning through Human-Like Interpretation Grounding and Decomposition of Thought,"Eunsoo Lee, Jeongwoo Lee, Minki Hong, Jangho Choi, Jihie Kim",https://aclanthology.org/2026.findings-eacl.30/,https://aclanthology.org/2026.findings-eacl.30.pdf,2026.findings-eacl.30,1_Core_VDU_Doc
Dataset,Main - Long,T^2-RAGBench: Text-and-Table Benchmark for Evaluating Retrieval-Augmented Generation,"Jan Strich, Enes Kutay Isgorur, Maximilian Trescher, Chris Biemann, Martin Semmann",https://aclanthology.org/2026.eacl-long.8/,https://aclanthology.org/2026.eacl-long.8.pdf,2026.eacl-long.8,1_Core_VDU_Doc
Method,Main - Long,SCoPE VLM: Selective Context Processing for Efficient Document Navigation in Vision-Language Models,"Gyubeum Lim, Yemo Koo, Vijay Krishna Madisetti",https://aclanthology.org/2026.eacl-long.6/,https://aclanthology.org/2026.eacl-long.6.pdf,2026.eacl-long.6,1_Core_VDU_Doc
Method,Findings,SCAN: Semantic Document Layout Analysis for Textual and Visual Retrieval-Augmented Generation,"Nobuhiro Ueda, Yuyang Dong, Krisztián Boros, Daiki Ito, Takuya Sera, Masafumi Oyamada",https://aclanthology.org/2026.findings-eacl.82/,https://aclanthology.org/2026.findings-eacl.82.pdf,2026.findings-eacl.82,1_Core_VDU_Doc
Method,Main - Long,DocPolarBERT: A Pre-trained Model for Document Understanding with Relative Polar Coordinate Encoding of Layout Structures,"Benno Uthayasooriyar, Antoine Ly, Franck Vermet, Caio Corro",https://aclanthology.org/2026.eacl-long.181/,https://aclanthology.org/2026.eacl-long.181.pdf,2026.eacl-long.181,1_Core_VDU_Doc
Method,Main - Long,Rethinking Reading Order: Toward Generalizable Document Understanding with LLM-based Relation Modeling,"Weishi Wang, Hengchang Hu, Daniel Dahlmeier",https://aclanthology.org/2026.eacl-long.192/,https://aclanthology.org/2026.eacl-long.192.pdf,2026.eacl-long.192,1_Core_VDU_Doc
Method,Findings,RADAR: A Reasoning-Guided Attribution Framework for Explainable Visual Data Analysis,"Anku Rani, Aparna Garimella, Apoorv Saxena, Balaji Vasan Srinivasan, Paul Pu Liang",https://aclanthology.org/2026.findings-eacl.299/,https://aclanthology.org/2026.findings-eacl.299.pdf,2026.findings-eacl.299,1_Core_VDU_Doc
Method,Industry,BornoDrishti: Leveraging Vision Encoders and Domain-Adaptive Learning for Bangla OCR on Diverse Documents,"S M Jishanul Islam, Md Mehedi Hasan, Masbul Haider Ovi, Akm Shahariar Azad Rabby, Fuad Rahman",https://aclanthology.org/2026.eacl-industry.20/,https://aclanthology.org/2026.eacl-industry.20.pdf,2026.eacl-industry.20,1_Core_VDU_Doc
Method,Industry,Compact Multimodal Language Models as Robust OCR Alternatives for Noisy Textual Clinical Reports,"Nikita Neveditsin, Pawan Lingras, Salil Patil, Swarup Patil, Vijay Kumar Mago",https://aclanthology.org/2026.eacl-industry.4/,https://aclanthology.org/2026.eacl-industry.4.pdf,2026.eacl-industry.4,1_Core_VDU_Doc
Method,Main - Short,Optical Character Recognition for the International Phonetic Alphabet,"Shu Okabe, Dejvi Zelo, Alexander Fraser",https://aclanthology.org/2026.eacl-short.19/,https://aclanthology.org/2026.eacl-short.19.pdf,2026.eacl-short.19,1_Core_VDU_Doc
Method,Demo,InkSight: Towards AI-Aided Historical Manuscript Analysis,"Andrey Sakhovskiy, Ivan Ulitin, Emilia Bojarskaja, Vladimir Kokh, Ruslan Murtazin, Maxim Novopoltsev, Semen Budennyy",https://aclanthology.org/2026.eacl-demo.20/,https://aclanthology.org/2026.eacl-demo.20.pdf,2026.eacl-demo.20,1_Core_VDU_Doc
Method,Industry,From Paper to Structured JSON: An Agentic AI Workflow for Compliant BMR Digital Transformation,"Bhavik Agarwal, Nidhi Bendre, Viktoria Rojkova",https://aclanthology.org/2026.eacl-industry.3/,https://aclanthology.org/2026.eacl-industry.3.pdf,2026.eacl-industry.3,1_Core_VDU_Doc
Method,Industry,TASER: Table Agents for Schema-guided Extraction and Recommendation,"Nicole Cho, Kirsty Fielding, William Watson, Sumitra Ganesh, Manuela Veloso",https://aclanthology.org/2026.eacl-industry.17/,https://aclanthology.org/2026.eacl-industry.17.pdf,2026.eacl-industry.17,1_Core_VDU_Doc
Dataset,Main - Long,What Breaks Knowledge Graph based RAG? Benchmarking and Empirical Insights into Reasoning under Incomplete Knowledge,"Dongzhuoran Zhou, Yuqicheng Zhu, Xiaxia Wang, Hongkuan Zhou, Yuan He, Jiaoyan Chen, Steffen Staab, Evgeny Kharlamov",https://aclanthology.org/2026.eacl-long.114/,https://aclanthology.org/2026.eacl-long.114.pdf,2026.eacl-long.114,2_RAG_Retrieval
Dataset,Main - Long,Classifying and Addressing the Diversity of Errors in Retrieval-Augmented Generation Systems,"Kin Kwan Leung, Mouloud Belbahri, Yi Sui, Alex Labach, Xueying Zhang, Stephen Anthony Rose, Jesse C. Cresswell",https://aclanthology.org/2026.eacl-long.147/,https://aclanthology.org/2026.eacl-long.147.pdf,2026.eacl-long.147,2_RAG_Retrieval
Dataset,Student Research Workshop,DRAGOn: Designing RAG On Periodically Updated Corpus,"Fedor Chernogorskii, Sergei Averkiev, Liliya Kudraleeva, Zaven Martirosian, Maria Tikhonova, Valentin Malykh, Alena Fenogenova",https://aclanthology.org/2026.eacl-srw.48/,https://aclanthology.org/2026.eacl-srw.48.pdf,2026.eacl-srw.48,2_RAG_Retrieval
Dataset,Findings,DRAGON: Domain-specific Robust Automatic Data Generation for RAG Optimization,"Haiyang Shen, Hang Yan, Zhongshi Xing, Mugeng Liu, Yue Li, Zhiyang Chen, Yuxiang Wang, Jiuzheng Wang, Yun Ma",https://aclanthology.org/2026.findings-eacl.56/,https://aclanthology.org/2026.findings-eacl.56.pdf,2026.findings-eacl.56,2_RAG_Retrieval
Dataset,Findings,Test-time Corpus Feedback: From Retrieval to RAG,"Mandeep Rathee, Venktesh V, Sean MacAvaney, Avishek Anand",https://aclanthology.org/2026.findings-eacl.298/,https://aclanthology.org/2026.findings-eacl.298.pdf,2026.findings-eacl.298,2_RAG_Retrieval
Method,Main - Long,Out of Style: RAG’s Fragility to Linguistic Variation,"Tianyu Cao, Neel Bhandari, Akhila Yerukola, Akari Asai, Maarten Sap",https://aclanthology.org/2026.eacl-long.13/,https://aclanthology.org/2026.eacl-long.13.pdf,2026.eacl-long.13,2_RAG_Retrieval
Method,Main - Long,Query Decomposition for RAG: Balancing Exploration-Exploitation,"Roxana Petcu, Kenton Murray, Daniel Khashabi, Evangelos Kanoulas, Maarten de Rijke, Dawn Lawrie, Kevin Duh",https://aclanthology.org/2026.eacl-long.322/,https://aclanthology.org/2026.eacl-long.322.pdf,2026.eacl-long.322,2_RAG_Retrieval
Method,Main - Long,Redefining Retrieval Evaluation in the Era of LLMs,"Giovanni Trappolini, Florin Cuconasu, Simone Filice, Yoelle Maarek, Fabrizio Silvestri",https://aclanthology.org/2026.eacl-long.391/,https://aclanthology.org/2026.eacl-long.391.pdf,2026.eacl-long.391,2_RAG_Retrieval
