Type,Decision,Title,Authors,Paper_Link,PDF_Link,ECCV_Page,Category
Dataset,Poster,MathVerse: Does Your Multi-modal LLM Truly See the Diagrams in Visual Math Problems?,"Renrui Zhang, Dongzhi Jiang, Yichi Zhang, Haokun Lin, Ziyu Guo, Pengshuo Qiu, Aojun Zhou, Pan Lu, Kai-Wei Chang, Peng Gao, Hongsheng LI",https://eccv.ecva.net/virtual/2024/poster/1852,,https://eccv.ecva.net/virtual/2024/poster/1852,1_Core_VDU_Doc
Method,Poster,VisFocus: Prompt-Guided Vision Encoders for OCR-Free Dense Document Understanding,"Ofir Abramovich, Niv Nayman, Sharon Fogel, Inbal Lavi, Ron Litman, Shahar Tsiper, Royee Tichauer, srikar appalaraju, Shai Mazor, R. Manmatha",https://eccv.ecva.net/virtual/2024/poster/1501,,https://eccv.ecva.net/virtual/2024/poster/1501,1_Core_VDU_Doc
Method,Poster,Textual Grounding for Open-vocabulary Visual Information Extraction in Layout-diversified Documents,"MENGJUN CHENG, Chengquan Zhang, Chang Liu, Yuke Li, Bohan Li, Kun Yao, Xiawu Zheng, Rongrong Ji, Jie Chen",https://eccv.ecva.net/virtual/2024/poster/774,,https://eccv.ecva.net/virtual/2024/poster/774,1_Core_VDU_Doc
Method,Poster,Platypus: A Generalized Specialist Model for Reading Text in Various Forms,"Peng Wang, Zhaohai Li, Jun Tang, Humen Zhong, Fei Huang, Zhibo Yang, Cong Yao",https://eccv.ecva.net/virtual/2024/poster/1864,,https://eccv.ecva.net/virtual/2024/poster/1864,1_Core_VDU_Doc
Method,Poster,DreamStruct: Understanding Slides and User Interfaces via Synthetic Data Generation,"Yi-Hao Peng, Faria Huq, Yue Jiang, Jason Wu, Xin Yue Li, Jeffrey Bigham, Amy Pavel",https://eccv.ecva.net/virtual/2024/poster/279,,https://eccv.ecva.net/virtual/2024/poster/279,1_Core_VDU_Doc
Method,Poster,Delving into Adversarial Robustness on Document Tampering Localization,"Huiru Shao, Zhuang Qian, Kaizhu Huang, Wei Wang, Xiaowei Huang, Qiufeng Wang",https://eccv.ecva.net/virtual/2024/poster/714,,https://eccv.ecva.net/virtual/2024/poster/714,1_Core_VDU_Doc
Method,Poster,Enhancing Tampered Text Detection through Frequency Feature Fusion and Decomposition,"Zhongxi Chen, Shen Chen, Taiping Yao, Ke Sun, Shouhong Ding, Xianming Lin, liujuan cao, Rongrong Ji",https://eccv.ecva.net/virtual/2024/poster/2184,,https://eccv.ecva.net/virtual/2024/poster/2184,1_Core_VDU_Doc
Dataset,Poster,LayoutDETR: Detection Transformer Is a Good Multimodal Layout Designer,"Ning Yu, Chia-Chih Chen, Zeyuan Chen, Rui Meng, Gang Wu, Paul W Josel, Juan Carlos Niebles, Caiming Xiong, Ran Xu",https://eccv.ecva.net/virtual/2024/poster/939,,https://eccv.ecva.net/virtual/2024/poster/939,2_Layout_Design
Method,Poster,PosterLlama: Bridging Design Ability of Langauge Model to Content-Aware Layout Generation,"Jaejung Seol, Seojun Kim, Jaejun Yoo",https://eccv.ecva.net/virtual/2024/poster/593,,https://eccv.ecva.net/virtual/2024/poster/593,2_Layout_Design
Method,Poster,Layout-Corrector: Alleviating Layout Sticking Phenomenon in Discrete Diffusion Model,"Shoma Iwai, Atsuki Osanai, Shunsuke Kitada, Shinichiro Omachi",https://eccv.ecva.net/virtual/2024/poster/1683,,https://eccv.ecva.net/virtual/2024/poster/1683,2_Layout_Design
