Type,Sub-category,Decision,Title,Authors,Paper_Link,PDF_Link,ECCV_Page,Category
Dataset,-,Accept Poster,"MultiHaystack: Benchmarking Multimodal Retrieval and Reasoning over 40K Images, Videos, and Documents","Dannong Xu, zhongyu yang, Jun Chen, Yingfang Yuan, Ming Hu, Lei Sun, Luc Van Gool, Danda Paudel, Chun-Mei Feng",https://eccv.ecva.net/virtual/2026/poster/3784,,https://eccv.ecva.net/virtual/2026/poster/3784,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Spotlight,DoCoG: Mask-based Multi-Type Grounded Chain-of-Thought for Document QA,"Sai Madhusudan Gunda, Jyothi Jinka, Hrithik Sagar, Aryan Jain, Venkata Venna, Anirudh Srinivasan, SANTOSH RAVI KIRAN SARVADEVABHATLA",https://eccv.ecva.net/virtual/2026/poster/3695,,https://eccv.ecva.net/virtual/2026/poster/3695,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,HighlightBench: Benchmarking and Diagnosing Markup-Driven Table Reasoning in Scientific Documents,"Lexin Wang, Shenghua Liu, Yiwei Wang, Yujun Cai, Yuyao Ge, Jiayu Yao, Jiafeng Guo, Xueqi Cheng",https://eccv.ecva.net/virtual/2026/poster/5369,,https://eccv.ecva.net/virtual/2026/poster/5369,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,MedRepBench: Benchmarking Structured Understanding of Medical Report Images,"Fangxin Shang, Yuan Xia, Dalu Yang, Yahui Wang, BingLinYang BingLinYang",https://eccv.ecva.net/virtual/2026/poster/5138,,https://eccv.ecva.net/virtual/2026/poster/5138,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,OmniMapBench: Benchmarking Visual-Centric Reasoning on Diverse Map Documents,"Yang Chen, Yufan Shen, Yunwen Li, Minghao Liu, Tuney Tianyu, Bin Fu, Qunshu Lin, Zhi Yu, Botian Shi",https://eccv.ecva.net/virtual/2026/poster/4395,,https://eccv.ecva.net/virtual/2026/poster/4395,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,BaFCo: A Document Understanding Benchmark for Complex Bangla Form Comprehension,"Abu Tyeb Azad, Ishita Apan, Fahim Ahmed, Sumaiya Karim Katha, Ezharuddin Jubaer, Armun Alam, Pranjal Nandi, Amin Ali, Aman Chadha, Md Mofijul Islam, A K M Mahbubur Rahman",https://eccv.ecva.net/virtual/2026/poster/5793,,https://eccv.ecva.net/virtual/2026/poster/5793,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,CMDR: Contextual Multimodal Document Retrieval,"Ryota Tanaka, Taku Hasegawa, Kyosuke Nishida",https://eccv.ecva.net/virtual/2026/poster/5332,,https://eccv.ecva.net/virtual/2026/poster/5332,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,Real5-OmniDocBench: A Full-Scale Physical Reconstruction Benchmark for Robust Document Parsing in the Wild,"Cheng Cui, Changda Zhou, Tingquan Gao, Xueqing Wang, ZIYUE GAO, Jing Tang, Yi Liu",https://eccv.ecva.net/virtual/2026/poster/5777,,https://eccv.ecva.net/virtual/2026/poster/5777,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,CRAG-MM-Diagnostics: Enabling Stage-Wise Analysis of Knowledge-Intensive VQA,"Hanseok Oh, Parishad BehnamGhader, Benno Krojer, Hyunji Lee, Paul Pu Liang, Siva Reddy, Verna Dankers",https://eccv.ecva.net/virtual/2026/poster/5125,,https://eccv.ecva.net/virtual/2026/poster/5125,1_Core_VDU_DocRetrieval_RAG
Dataset,-,Accept Poster,VLZip: Unified Visual and Textual Compression for Interleaved Long-Context Modeling,"Yuqi Zhang, Cheng Chen, Yuyu Guo, Wenjie Yang, Lingchen Meng, Peng Di, Hang Yu, Zuxuan Wu, Yu-Gang Jiang",https://eccv.ecva.net/virtual/2026/poster/5308,,https://eccv.ecva.net/virtual/2026/poster/5308,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,LightSTAR: Efficient Visual Document Retrieval via Lightweight Selection with Vision-Adaptive Refinement,"Tongkun Guan, Haocheng Wang, Wei Shen, Xiaokang Yang",https://eccv.ecva.net/virtual/2026/poster/4839,,https://eccv.ecva.net/virtual/2026/poster/4839,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,Unbalanced Optimal Transport for Efficient Visual Document Retrieval,"Hoyeon Shin, Jeongyeon Kim, Yeong Jun Koh, Yeoneung Kim, Hanul Kim",https://eccv.ecva.net/virtual/2026/poster/4715,,https://eccv.ecva.net/virtual/2026/poster/4715,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,MMAgent-R2: Learning to Rerank and Reject for Agentic mRAG,"Tao Zhang, Ziqi Zhang, Zongyang Ma, Yuxin Yang, Bing Li, Chunfeng Yuan, Kang Rong, Fengyun Rao, Jing LYU, Weiming Hu",https://eccv.ecva.net/virtual/2026/poster/4250,,https://eccv.ecva.net/virtual/2026/poster/4250,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,MG2-RAG: Multi-Granularity Graph for Multimodal Retrieval-Augmented Generation,"Sijun Dai, Qiang Huang, Xiaoxing You, Jun Yu",https://eccv.ecva.net/virtual/2026/poster/3411,,https://eccv.ecva.net/virtual/2026/poster/3411,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,ELVA: Exploring Ranking-Driven Universal Multimodal Retrieval,"Yuhan Liu, Pei Fu, Hang Li, Yukun Qi, Chao Jiang, Jingwen Fu, Zhen Liu, Bin Qin, Zhenbo Luo, Jian Luan, Jingmin Xin",https://eccv.ecva.net/virtual/2026/poster/5615,,https://eccv.ecva.net/virtual/2026/poster/5615,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,Magic-MM-Embedding: Towards Visual-Token-Efficient Universal Multimodal Embedding with MLLMs,"Qi Li, Yanzhe Zhao, Yongxin Zhou, Yameng Wang, Yandong Yang, Yuanjia Zhou, Jinxiang Liu",https://eccv.ecva.net/virtual/2026/poster/5057,,https://eccv.ecva.net/virtual/2026/poster/5057,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,Entropy-Gradient Grounding: Training-Free Evidence Retrieval in Vision-Language Models,"Marcel Gröpl, Jaewoo Jung, Seungryong Kim, Marc Pollefeys, Sunghwan Hong",https://eccv.ecva.net/virtual/2026/poster/3559,,https://eccv.ecva.net/virtual/2026/poster/3559,1_Core_VDU_DocRetrieval_RAG
Method,-,Accept Poster,Global-Local Dual Perception for MLLMs in High-Resolution Text-Rich Image Translation,"junxin lu, Tengfei Song, Zhanglin Wu, Lipengfei Lipengfei, Xiaowei Liang, Hui Yang, Kun Chen, NING XIE, Yunfei Lu, Jing Zhao, Shiliang Sun, Daimeng Wei",https://eccv.ecva.net/virtual/2026/poster/5236,,https://eccv.ecva.net/virtual/2026/poster/5236,1_Core_VDU_DocRetrieval_RAG
Dataset,Doc parsing / layout / tables,Spotlight,SyntheticDoc: A Large Synthetic Dataset for Document Unwarping and Illumination Correction,"Daniel Woortmann, Tanguy Magne, Olga Sorkine-Hornung",https://eccv.ecva.net/virtual/2026/poster/5293,,https://eccv.ecva.net/virtual/2026/poster/5293,2_DocParsing_Layout_OCR
Dataset,Doc parsing / layout / tables,Accept Poster,"DocLayout-VL: A Foundational Model for Hierarchical, Open-set, and Promptable Document Layout Segmentation","Venkata Venna, Srihari Bandarupalli, Anirudh Srinivasan, R Raghuveer, Sai Madhusudan Gunda, SANTOSH RAVI KIRAN SARVADEVABHATLA",https://eccv.ecva.net/virtual/2026/poster/4756,,https://eccv.ecva.net/virtual/2026/poster/4756,2_DocParsing_Layout_OCR
Dataset,Doc parsing / layout / tables,Accept Poster,StrucTab: A Structured Optimization Framework for Table Parsing,"Gengluo Li, Shangpin Peng, Chengquan Zhang, Binghong Wu, Hao Feng, Weinong Wang, Pengyuan Lyu, Huawen Shen, Xingyu Wan, Zhuotao Tian, Han Hu, Can Ma, Yu ZHOU",https://eccv.ecva.net/virtual/2026/poster/4626,,https://eccv.ecva.net/virtual/2026/poster/4626,2_DocParsing_Layout_OCR
