Type,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Dataset,Main,ViDoRAG: Visual Document Retrieval-Augmented Generation via Dynamic Iterative Reasoning Agents,"Qiuchen Wang, Ruixue Ding, Zehui Chen, Weiqi Wu, Shihang Wang, Pengjun Xie, Feng Zhao",https://aclanthology.org/2025.emnlp-main.464/,https://aclanthology.org/2025.emnlp-main.464.pdf,2025.emnlp-main.464,1_Core_VDU_DocRAG
Dataset,Main,M-LongDoc: A Benchmark For Multimodal Super-Long Document Understanding And A Retrieval-Aware Tuning Framework,"Yew Ken Chia, Liying Cheng, Hou Pong Chan, Maojia Song, Chaoqun Liu, Mahani Aljunied, Soujanya Poria, Lidong Bing",https://aclanthology.org/2025.emnlp-main.469/,https://aclanthology.org/2025.emnlp-main.469.pdf,2025.emnlp-main.469,1_Core_VDU_DocRAG
Dataset,Main,MMDocIR: Benchmarking Multimodal Retrieval for Long Documents,"Kuicai Dong, Yujing Chang, Derrick Goh Xin Deik, Dexun Li, Ruiming Tang, Yong Liu",https://aclanthology.org/2025.emnlp-main.1576/,https://aclanthology.org/2025.emnlp-main.1576.pdf,2025.emnlp-main.1576,1_Core_VDU_DocRAG
Dataset,Findings,DocMMIR: A Framework for Document Multi-modal Information Retrieval,"Zirui Li, Siwei Wu, Yizhi Li, Xingyu Wang, Yi Zhou, Chenghua Lin",https://aclanthology.org/2025.findings-emnlp.705/,https://aclanthology.org/2025.findings-emnlp.705.pdf,2025.findings-emnlp.705,1_Core_VDU_DocRAG
Dataset,Findings,TIU-Bench: A Benchmark for Evaluating Large Multimodal Models on Text-rich Image Understanding,"Kun Zhang, Liqiang Niu, Zhen Cao, Fandong Meng, Jie Zhou",https://aclanthology.org/2025.findings-emnlp.1318/,https://aclanthology.org/2025.findings-emnlp.1318.pdf,2025.findings-emnlp.1318,1_Core_VDU_DocRAG
Dataset,Main,VisFinEval: A Scenario-Driven Chinese Multimodal Benchmark for Holistic Financial Understanding,"Zhaowei Liu, Xin Guo, Haotian Xia, Lingfeng Zeng, Fangqi Lou, Jinyi Niu, Mengping Li, Qi Qi, Jiahuan Li, Wei Zhang, Yinglong Wang, Weige Cai, Weining Shen, Liwen Zhang",https://aclanthology.org/2025.emnlp-main.1229/,https://aclanthology.org/2025.emnlp-main.1229.pdf,2025.emnlp-main.1229,1_Core_VDU_DocRAG
Method,Main,MoLoRAG: Bootstrapping Document Understanding via Multi-modal Logic-aware Retrieval,"Xixi Wu, Yanchao Tan, Nan Hou, Ruiyang Zhang, Hong Cheng",https://aclanthology.org/2025.emnlp-main.708/,https://aclanthology.org/2025.emnlp-main.708.pdf,2025.emnlp-main.708,1_Core_VDU_DocRAG
Method,Main,DocAgent: An Agentic Framework for Multi-Modal Long-Context Document Understanding,"Li Sun, Liu He, Shuyue Jia, Yangfan He, Chenyu You",https://aclanthology.org/2025.emnlp-main.893/,https://aclanthology.org/2025.emnlp-main.893.pdf,2025.emnlp-main.893,1_Core_VDU_DocRAG
Method,Main,SimpleDoc: Multi‐Modal Document Understanding with Dual‐Cue Page Retrieval and Iterative Refinement,"Chelsi Jain, Yiran Wu, Yifan Zeng, Jiale Liu, Shengyu Dai, Zhenwen Shao, Qingyun Wu, Huazheng Wang",https://aclanthology.org/2025.emnlp-main.1443/,https://aclanthology.org/2025.emnlp-main.1443.pdf,2025.emnlp-main.1443,1_Core_VDU_DocRAG
Method,Main,SERVAL: Surprisingly Effective Zero-Shot Visual Document Retrieval Powered by Large Vision and Language Models,"Thong Nguyen, Yibin Lei, Jia-Huei Ju, Andrew Yates",https://aclanthology.org/2025.emnlp-main.1568/,https://aclanthology.org/2025.emnlp-main.1568.pdf,2025.emnlp-main.1568,1_Core_VDU_DocRAG
