Type,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Dataset,OCR Hinders RAG: Evaluating the Cascading Impact of OCR on Retrieval-Augmented Generation,"Junyuan Zhang, Qintong Zhang, Bin Wang, Linke Ouyang, Zichen Wen, Ying Li, Ka-Ho Chow, Conghui He, Wentao Zhang",https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_OCR_Hinders_RAG_Evaluating_the_Cascading_Impact_of_OCR_on_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_OCR_Hinders_RAG_Evaluating_the_Cascading_Impact_of_OCR_on_ICCV_2025_paper.pdf,http://arxiv.org/abs/2412.02592,1_Core_VDU_Doc_RAG
Dataset,DOGR: Towards Versatile Visual Document Grounding and Referring,"Yinan Zhou, Yuxin Chen, Haokun Lin, Yichen Wu, Shuyu Yang, Zhongang Qi, Chen Ma, Li Zhu",https://openaccess.thecvf.com/content/ICCV2025/html/Zhou_DOGR_Towards_Versatile_Visual_Document_Grounding_and_Referring_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhou_DOGR_Towards_Versatile_Visual_Document_Grounding_and_Referring_ICCV_2025_paper.pdf,http://arxiv.org/abs/2411.17125,1_Core_VDU_Doc_RAG
Dataset,A Token-level Text Image Foundation Model for Document Understanding,"Tongkun Guan, Zining Wang, Pei Fu, Zhengtao Guo, Wei Shen, Kai Zhou, Tiezhu Yue, Chen Duan, Hao Sun, Qianyi Jiang, Junfeng Luo, Xiaokang Yang",https://openaccess.thecvf.com/content/ICCV2025/html/Guan_A_Token-level_Text_Image_Foundation_Model_for_Document_Understanding_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Guan_A_Token-level_Text_Image_Foundation_Model_for_Document_Understanding_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.02304,1_Core_VDU_Doc_RAG
Dataset,CC-OCR: A Comprehensive and Challenging OCR Benchmark for Evaluating Large Multimodal Models in Literacy,"Zhibo Yang, Jun Tang, Zhaohai Li, Pengfei Wang, Jianqiang Wan, Humen Zhong, Xuejing Liu, Mingkun Yang, Peng Wang, Shuai Bai, Lianwen Jin, Junyang Lin",https://openaccess.thecvf.com/content/ICCV2025/html/Yang_CC-OCR_A_Comprehensive_and_Challenging_OCR_Benchmark_for_Evaluating_Large_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Yang_CC-OCR_A_Comprehensive_and_Challenging_OCR_Benchmark_for_Evaluating_Large_ICCV_2025_paper.pdf,,1_Core_VDU_Doc_RAG
Dataset,"FinMMR: Make Financial Numerical Reasoning More Multimodal, Comprehensive, and Challenging","Zichen Tang, Haihong E, Jiacheng Liu, Zhongjun Yang, Rongjin Li, Zihua Rong, Haoyang He, Zhuodi Hao, Xinyang Hu, Kun Ji, Ziyan Ma, Mengyuan Ji, Jun Zhang, Chenghao Ma, Qianhe Zheng, Yang Liu, Yiling Huang, Xinyi Hu, Qing Huang, Zijian Xie, Shiyao Peng",https://openaccess.thecvf.com/content/ICCV2025/html/Tang_FinMMR_Make_Financial_Numerical_Reasoning_More_Multimodal_Comprehensive_and_Challenging_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Tang_FinMMR_Make_Financial_Numerical_Reasoning_More_Multimodal_Comprehensive_and_Challenging_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.04625,1_Core_VDU_Doc_RAG
Method,DocThinker: Explainable Multimodal Large Language Models with Rule-based Reinforcement Learning for Document Understanding,"Wenwen Yu, Zhibo Yang, Yuliang Liu, Xiang Bai",https://openaccess.thecvf.com/content/ICCV2025/html/Yu_DocThinker_Explainable_Multimodal_Large_Language_Models_with_Rule-based_Reinforcement_Learning_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Yu_DocThinker_Explainable_Multimodal_Large_Language_Models_with_Rule-based_Reinforcement_Learning_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.08589,1_Core_VDU_Doc_RAG
Method,SmolDocling: An ultra-compact vision-language model for end-to-end multi-modal document conversion,"Ahmed Nassar, Matteo Omenetti, Maksym Lysak, Nikolaos Livathinos, Christoph Auer, Lucas Morin, Rafael Teixeira de Lima, Yusik Kim, A. Said Gurbuz, Michele Dolfi, Peter W. J. Staar",https://openaccess.thecvf.com/content/ICCV2025/html/Nassar_SmolDocling_An_ultra-compact_vision-language_model_for_end-to-end_multi-modal_document_conversion_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Nassar_SmolDocling_An_ultra-compact_vision-language_model_for_end-to-end_multi-modal_document_conversion_ICCV_2025_paper.pdf,http://arxiv.org/abs/2503.11576,1_Core_VDU_Doc_RAG
Method,ForCenNet: Foreground-Centric Network for Document Image Rectification,"Peng Cai, Qiang Li, Kaicheng Yang, Dong Guo, Jia Li, Nan Zhou, Xiang An, Ninghua Yang, Jiankang Deng",https://openaccess.thecvf.com/content/ICCV2025/html/Cai_ForCenNet_Foreground-Centric_Network_for_Document_Image_Rectification_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Cai_ForCenNet_Foreground-Centric_Network_for_Document_Image_Rectification_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.19804,1_Core_VDU_Doc_RAG
Method,ADCD-Net: Robust Document Image Forgery Localization via Adaptive DCT Feature and Hierarchical Content Disentanglement,"Kahim Wong, Jicheng Zhou, Haiwei Wu, Yain-Whar Si, Jiantao Zhou",https://openaccess.thecvf.com/content/ICCV2025/html/Wong_ADCD-Net_Robust_Document_Image_Forgery_Localization_via_Adaptive_DCT_Feature_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Wong_ADCD-Net_Robust_Document_Image_Forgery_Localization_via_Adaptive_DCT_Feature_ICCV_2025_paper.pdf,,1_Core_VDU_Doc_RAG
Dataset,ChartCap: Mitigating Hallucination of Dense Chart Captioning,"Junyoung Lim, Jaewoo Ahn, Gunhee Kim",https://openaccess.thecvf.com/content/ICCV2025/html/Lim_ChartCap_Mitigating_Hallucination_of_Dense_Chart_Captioning_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Lim_ChartCap_Mitigating_Hallucination_of_Dense_Chart_Captioning_ICCV_2025_paper.pdf,http://arxiv.org/abs/2508.03164,2_Chart_Slide_Diagram
