Type,Workshop,Title,Authors,Paper_Link,PDF_Link,Category
Dataset,CV4DC,"Nayana: A Foundation for Document-Centric Vision-Language Models via Multi-Task, Multimodal, and Multilingual Data Synthesis","Adithya S Kolavi, Samarth P, Vyoman Jain",https://openaccess.thecvf.com/content/ICCV2025W/CV4DC/html/Kolavi_Nayana_A_Foundation_for_Document-Centric_Vision-Language_Models_via_Multi-Task_Multimodal_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/CV4DC/papers/Kolavi_Nayana_A_Foundation_for_Document-Centric_Vision-Language_Models_via_Multi-Task_Multimodal_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Dataset,Findings,M3DocVQA: Multi-modal Multi-page Multi-document Understanding,"Jaemin Cho, Debanjan Mahata, Ozan Irsoy, Yujie He, Mohit Bansal",https://openaccess.thecvf.com/content/ICCV2025W/Findings/html/Cho_M3DocVQA_Multi-modal_Multi-page_Multi-document_Understanding_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/Findings/papers/Cho_M3DocVQA_Multi-modal_Multi-page_Multi-document_Understanding_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Dataset,VisionDocs,ZOD : Zero-shot and Out-of-Distribution Detection Dataset for Document Images,"Talha Uddin Sheikh, Sankalp Sinha, Shino Sam, Didier Stricker, Muhammad Zeshan Afzal",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Sheikh_ZOD__Zero-shot_and_Out-of-Distribution_Detection_Dataset_for_Document_Images_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Sheikh_ZOD__Zero-shot_and_Out-of-Distribution_Detection_Dataset_for_Document_Images_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Dataset,VisionDocs,CTC Transcription Alignment of the Bullinger Letters: Automatic Improvement of Annotation Quality,"Marco Peer, Anna Scius-Bertrand, Andreas Fischer",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Peer_CTC_Transcription_Alignment_of_the_Bullinger_Letters_Automatic_Improvement_of_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Peer_CTC_Transcription_Alignment_of_the_Bullinger_Letters_Automatic_Improvement_of_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Dataset,VisionDocs,CoSMo: A Multimodal Transformer for Page Stream Segmentation in Comic Books,"Marc Serra Ortega, Emanuele Vivoli, Artemis Llabres, Dimosthenis Karatzas",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Ortega_CoSMo_A_Multimodal_Transformer_for_Page_Stream_Segmentation_in_Comic_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Ortega_CoSMo_A_Multimodal_Transformer_for_Page_Stream_Segmentation_in_Comic_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Method,VisionDocs,Improved Information Extraction by Leveraging Multi-Hypothesis OCR at Inference Time,"Arthur Hemmer, Nicola Bartolo, Mickaël Coustaty, Jean-Marc Ogier",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Hemmer_Improved_Information_Extraction_by_Leveraging_Multi-Hypothesis_OCR_at_Inference_Time_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Hemmer_Improved_Information_Extraction_by_Leveraging_Multi-Hypothesis_OCR_at_Inference_Time_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Method,VisionDocs,DIVE-Doc: Downscaling foundational Image Visual Encoder into hierarchical architecture for DocVQA,"Rayane Bencharef, Abderrahmane Rahiche, Mohamed Cheriet",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Bencharef_DIVE-Doc_Downscaling_foundational_Image_Visual_Encoder_into_hierarchical_architecture_for_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Bencharef_DIVE-Doc_Downscaling_foundational_Image_Visual_Encoder_into_hierarchical_architecture_for_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Method,VisionDocs,DocSemi: Efficient Document Layout Analysis with Guided Queries,"Tahira Shehzadi, Ifza Ifza, Didier Stricker, Muhammad Zeshan Afzal",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Shehzadi_DocSemi_Efficient_Document_Layout_Analysis_with_Guided_Queries_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Shehzadi_DocSemi_Efficient_Document_Layout_Analysis_with_Guided_Queries_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Method,VisionDocs,TAP-VL: Text Layout Aware Pretraining for Enriched Vision-Language Models,"Jonathan Fhima, Elad Ben, Oren Nuriel, Yair Kittenplon, Roy Ganz, Aviad Aberdam, Ron Litman",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Fhima_TAP-VL_Text_Layout_Aware_Pretraining_for_Enriched_Vision-Language_Models_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Fhima_TAP-VL_Text_Layout_Aware_Pretraining_for_Enriched_Vision-Language_Models_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
Method,VisionDocs,Text Image Generation for Low-Resource Languages with Dual Translation Learning,"Chihiro Noguchi, Shun Fukuda, Shoichiro Mihara, Masao Yamanaka",https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/html/Noguchi_Text_Image_Generation_for_Low-Resource_Languages_with_Dual_Translation_Learning_ICCVW_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025W/VisionDocs/papers/Noguchi_Text_Image_Generation_for_Low-Resource_Languages_with_Dual_Translation_Learning_ICCVW_2025_paper.pdf,1_Core_VDU (VisionDocs+)
