Type,Kind,Part,Chapter,Title,Authors,Pages,DOI,Paper_Link,Category
Dataset,Full paper,Part IV (LNCS 16026),32,Unchecked and Overlooked: Addressing the Checkbox Blind Spot in Large Language Models with CheckboxQA,"Michał Turski, Mateusz Chiliński, Łukasz Borchmann",556-569,10.1007/978-3-032-04627-7_32,https://doi.org/10.1007/978-3-032-04627-7_32,1_Core_VDU_DocQA_Retrieval
Dataset,Full paper,Part IV (LNCS 16026),34,EviFiVQA: A Benchmark for Evidence-Grounded Multi-hop Reasoning in Financial VQA,"Sachin Raja, Ajoy Mondal, C. V. Jawahar",587-604,10.1007/978-3-032-04627-7_34,https://doi.org/10.1007/978-3-032-04627-7_34,1_Core_VDU_DocQA_Retrieval
Dataset,Full paper,Part II (LNCS 16024),2,CM1 - A Dataset for Evaluating Few-Shot Information Extraction with Large Vision Language Models,"Fabian Wolf, Oliver Tüselmann, Arthur Matei, Lukas Hennies, Christoph Rass, Gernot A. Fink",23-39,10.1007/978-3-032-04617-8_2,https://doi.org/10.1007/978-3-032-04617-8_2,1_Core_VDU_DocQA_Retrieval
Dataset,Full paper,Part IV (LNCS 16026),33,Towards Cross-Modal Retrieval in Chinese Cultural Heritage Documents: Dataset and Solution,"Junyi Yuan, Jian Zhang, Fangyu Wu, Huanda Lu, Dongming Lu, Qiufeng Wang",570-586,10.1007/978-3-032-04627-7_33,https://doi.org/10.1007/978-3-032-04627-7_33,1_Core_VDU_DocQA_Retrieval
Dataset,Full paper,Part III (LNCS 16025),33,DocAnnot - Accelerating the Creation of Key Information Extraction Datasets with GenAI-Powered Auto-annotation,"Siddartha Reddy, P. M. Harikrishnan, Goutham Vignesh, V. Varun, Vishal Vaddina",563-576,10.1007/978-3-032-04624-6_33,https://doi.org/10.1007/978-3-032-04624-6_33,1_Core_VDU_DocQA_Retrieval
Method,Full paper,Part I (LNCS 16023),14,HiDReader: Human-Inspired Document Reading Agent via Reinforcement Learning,"Changqing Wang, Hao Wang, Pinpin Zhu, Huiran Zhang",242-258,10.1007/978-3-032-04614-7_14,https://doi.org/10.1007/978-3-032-04614-7_14,1_Core_VDU_DocQA_Retrieval
Method,Full paper,Part IV (LNCS 16026),1,Where Layout Meets Language: Lightweight Spatial Enhancement to Large Language Models for Document Understanding,"Nil Biescas, Sanket Biswas, Josep Lladós, Jordy Van Landeghem",3-20,10.1007/978-3-032-04627-7_1,https://doi.org/10.1007/978-3-032-04627-7_1,1_Core_VDU_DocQA_Retrieval
Method,Full paper,Part IV (LNCS 16026),3,A Unified Framework for Knowledge-Intensive Numerical Reasoning over Financial Document,"Long Yin, Kai Yin, Hui Zhao",38-59,10.1007/978-3-032-04627-7_3,https://doi.org/10.1007/978-3-032-04627-7_3,1_Core_VDU_DocQA_Retrieval
Method,Full paper,Part IV (LNCS 16026),23,SelectVision: Adaptive Vision Resolution Selection for Visual Document Understanding,"Zhongjiang He, Ye Yuan, An Zhao, Han Fang, Hao Sun, Kongming Liang, Zhanyu Ma",398-413,10.1007/978-3-032-04627-7_23,https://doi.org/10.1007/978-3-032-04627-7_23,1_Core_VDU_DocQA_Retrieval
Method,Full paper,Part IV (LNCS 16026),29,Doc2GraphFormer: Bridging Structured Graph Learning with Transformer Attention for Efficient Document Understanding,"Souparni Mazumder, Sanket Biswas, Aniket Pal, Alloy Das, Umapada Pal, Josep Lladós",506-522,10.1007/978-3-032-04627-7_29,https://doi.org/10.1007/978-3-032-04627-7_29,1_Core_VDU_DocQA_Retrieval
