Type,Track,Sub-category,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
Dataset,Conference,Core VDU / Document RAG & Retrieval,"Patram-Bench: A Comprehensive Multi-task, Multi-domain and Multilingual Benchmark for Indian Document Understanding","Anirudh Srinivasan, Pratyush Jena, Arya Topale, Venkat Kesav, Ravi Kiran Sarvadevabhatla",,,,https://scholar.google.com/scholar?q=%22Patram-Bench%3A+A+Comprehensive+Multi-task%2C+Multi-domain+and+Multilingual+Benchmark+for+Indian+Document+Understanding%22,https://arxiv.org/search/?searchtype=title&query=Patram-Bench%3A+A+Comprehensive+Multi-task%2C+Multi-domain+and+Multilingual+Benchmark+for+Indian+Document+Understanding,84
Dataset,Conference,Core VDU / Document RAG & Retrieval,GeoLogVQA: A Borehole Log Documents Dataset for Explicit and Implicit Spatial Reasoning,"Stanislas Bagnol, Killian Barrere, Veronique Eglin, Elöd Egyed-Zsigmond, David Pitaval, Jean-Marie Côme",Part I,Document Analysis Systems,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_3,https://scholar.google.com/scholar?q=%22GeoLogVQA%3A+A+Borehole+Log+Documents+Dataset+for+Explicit+and+Implicit+Spatial+Reasoning%22,https://arxiv.org/search/?searchtype=title&query=GeoLogVQA%3A+A+Borehole+Log+Documents+Dataset+for+Explicit+and+Implicit+Spatial+Reasoning,251
Dataset,Conference,Core VDU / Document RAG & Retrieval,Benchmarking Information Retrieval for Large Archives of Historical Documents,"Tobias Steiner, Merlin Streilein, Andreas Fischer, Kaspar Riesen",,,,https://scholar.google.com/scholar?q=%22Benchmarking+Information+Retrieval+for+Large+Archives+of+Historical+Documents%22,https://arxiv.org/search/?searchtype=title&query=Benchmarking+Information+Retrieval+for+Large+Archives+of+Historical+Documents,252
Competition,Competition,Core VDU / Document RAG & Retrieval,ICDAR2026 Competition on Multimodal Reasoning over Documents in Multiple Domains,"Artemis Llabrés, Marc Serra Ortega, Tomás Ockier, Samuel Ortega Cuadra, Amritpal Singh, Christos Georgakilas, Andrey Barsky, Ernest Valveny, Dimosthenis Karatzas",Part IV,Competitions,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_20,https://scholar.google.com/scholar?q=%22ICDAR2026+Competition+on+Multimodal+Reasoning+over+Documents+in+Multiple+Domains%22,https://arxiv.org/search/?searchtype=title&query=ICDAR2026+Competition+on+Multimodal+Reasoning+over+Documents+in+Multiple+Domains,C2
Method,Conference,Core VDU / Document RAG & Retrieval,"LMS-Retrieval: Layout-Aware, Modality-Aware, Structure-Aware Document Retrieval","Man Qin, Tim French, Wei Liu",,,,https://scholar.google.com/scholar?q=%22LMS-Retrieval%3A+Layout-Aware%2C+Modality-Aware%2C+Structure-Aware+Document+Retrieval%22,https://arxiv.org/search/?searchtype=title&query=LMS-Retrieval%3A+Layout-Aware%2C+Modality-Aware%2C+Structure-Aware+Document+Retrieval,31
Method,Conference,Core VDU / Document RAG & Retrieval,AdaNav: Query-Adaptive Multi-Granularity Navigation for Long Document Understanding,"Yiming Xu, Eric López, Artemis Llabrés, Maximiliano Hormazábal, Ernest Valveny, Dimosthenis Karatzas",Part I,Document Analysis Systems,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_4,https://scholar.google.com/scholar?q=%22AdaNav%3A+Query-Adaptive+Multi-Granularity+Navigation+for+Long+Document+Understanding%22,https://arxiv.org/search/?searchtype=title&query=AdaNav%3A+Query-Adaptive+Multi-Granularity+Navigation+for+Long+Document+Understanding,342
Method,Conference,Core VDU / Document RAG & Retrieval,From Chunks to Graphs: Training-Free Multimodal Late Interaction for Document Understanding,"Ayush Lodh, Souparni Mazumder, Sanket Biswas, Josep Llados, Nisha Singh",,,,https://scholar.google.com/scholar?q=%22From+Chunks+to+Graphs%3A+Training-Free+Multimodal+Late+Interaction+for+Document+Understanding%22,https://arxiv.org/search/?searchtype=title&query=From+Chunks+to+Graphs%3A+Training-Free+Multimodal+Late+Interaction+for+Document+Understanding,260
Method,Conference,Core VDU / Document RAG & Retrieval,GraphVLM: Combining VLMs with GraphMLLM for Document Understanding,"Shuai Li, Xiao-Hui Li, Haijie Yuan, Fei Yin, Lin-Lin Huang",,,,https://scholar.google.com/scholar?q=%22GraphVLM%3A+Combining+VLMs+with+GraphMLLM+for+Document+Understanding%22,https://arxiv.org/search/?searchtype=title&query=GraphVLM%3A+Combining+VLMs+with+GraphMLLM+for+Document+Understanding,125
Method,Conference,Core VDU / Document RAG & Retrieval,RAGXDoc: Structured Knowledge-guided Retrieval and Explainable Re-ranking for Academic Documents,"Dipendra Sharma Kafle, Esma Talhi, Mickael Coustaty, Antoine Doucet",,,,https://scholar.google.com/scholar?q=%22RAGXDoc%3A+Structured+Knowledge-guided+Retrieval+and+Explainable+Re-ranking+for+Academic+Documents%22,https://arxiv.org/search/?searchtype=title&query=RAGXDoc%3A+Structured+Knowledge-guided+Retrieval+and+Explainable+Re-ranking+for+Academic+Documents,303
Method,Conference,Core VDU / Document RAG & Retrieval,HKGC: A Hierarchical Knowledge Graph Construction Framework for Structure-Aware RAG,"Yingxin Guan, Jian Xing, Zhaohua Zheng, Zhaofu Zeng, Bai Lei, Fanchen Meng, Haitao Guo",,,,https://scholar.google.com/scholar?q=%22HKGC%3A+A+Hierarchical+Knowledge+Graph+Construction+Framework+for+Structure-Aware+RAG%22,https://arxiv.org/search/?searchtype=title&query=HKGC%3A+A+Hierarchical+Knowledge+Graph+Construction+Framework+for+Structure-Aware+RAG,169
Method,Conference,Core VDU / Document RAG & Retrieval,Beyond Rows to Reasoning: Agentic Retrieval for Multimodal Spreadsheet Understanding,"Anmol Gulati, Sahil Sen, Waqar Sarguroh, Kevin Paul",,,,https://scholar.google.com/scholar?q=%22Beyond+Rows+to+Reasoning%3A+Agentic+Retrieval+for+Multimodal+Spreadsheet+Understanding%22,https://arxiv.org/search/?searchtype=title&query=Beyond+Rows+to+Reasoning%3A+Agentic+Retrieval+for+Multimodal+Spreadsheet+Understanding,197
Method,Conference,Core VDU / Document RAG & Retrieval,Agentic Document Reasoning for Evidence-Grounded Clinical Report Generation,"Hira Masood, Momina Moetesum, Muhammad Imran Malik, Faisal Shafait, Hassan Aqeel Khan",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_13,https://scholar.google.com/scholar?q=%22Agentic+Document+Reasoning+for+Evidence-Grounded+Clinical+Report+Generation%22,https://arxiv.org/search/?searchtype=title&query=Agentic+Document+Reasoning+for+Evidence-Grounded+Clinical+Report+Generation,384
Method,Conference,Core VDU / Document RAG & Retrieval,LiteDoc: Distilling Large Document Models into Efficient Task-Specific Encoders,"Tayyab Raza, Syed Muhammad Taha Imam, Adrian Ulges, Ulrich Schwanecke, Momina Moetesum, Faisal Shafait",,,,https://scholar.google.com/scholar?q=%22LiteDoc%3A+Distilling+Large+Document+Models+into+Efficient+Task-Specific+Encoders%22,https://arxiv.org/search/?searchtype=title&query=LiteDoc%3A+Distilling+Large+Document+Models+into+Efficient+Task-Specific+Encoders,318
Method,Conference,Core VDU / Document RAG & Retrieval,Counterfeit Answers: Adversarial Forgery against OCR-Free Document Visual Question Answering,"Marco Pintore, Maura Pintor, Battista Biggio, Dimosthenis Karatzas",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_16,https://scholar.google.com/scholar?q=%22Counterfeit+Answers%3A+Adversarial+Forgery+against+OCR-Free+Document+Visual+Question+Answering%22,https://arxiv.org/search/?searchtype=title&query=Counterfeit+Answers%3A+Adversarial+Forgery+against+OCR-Free+Document+Visual+Question+Answering,73
