Type,Decision,Title,Authors,Paper_Link,PDF_Link,Category
Dataset,Accept (Poster),ColPali: Efficient Document Retrieval with Vision Language Models,"Manuel Faysse, Hugues Sibille, Tony Wu, Bilel Omrani, Gautier Viaud, CELINE HUDELOT, Pierre Colombo",https://openreview.net/forum?id=ogjBpZ8uSi,https://openreview.net/pdf?id=ogjBpZ8uSi,1_Core_VDU_DocRAG
Dataset,Accept (Poster),MRAG-Bench: Vision-Centric Evaluation for Retrieval-Augmented Multimodal Models,"Wenbo Hu, Jia-Chen Gu, Zi-Yi Dou, Mohsen Fayyaz, Pan Lu, Kai-Wei Chang, Nanyun (Violet) Peng",https://openreview.net/forum?id=Usklli4gMc,https://openreview.net/pdf?id=Usklli4gMc,1_Core_VDU_DocRAG
Dataset,Accept (Poster),Benchmarking Multimodal Retrieval Augmented Generation with Dynamic VQA Dataset and Self-adaptive Planning Agent,"Yangning Li, Yinghui Li, Xinyu Wang, Yong Jiang, Zhen Zhang, Xinran Zheng, HUI WANG, Hai-Tao Zheng, Fei Huang, Jingren Zhou, Philip Yu",https://openreview.net/forum?id=VvDEuyVXkG,https://openreview.net/pdf?id=VvDEuyVXkG,1_Core_VDU_DocRAG
Dataset,Accept (Poster),BigDocs: An Open Dataset for Training Multimodal Models on Document and Code Tasks,"Juan A. Rodriguez, Xiangru Jian, Siba Smarak Panigrahi, Tianyu Zhang, Aarash Feizi, Abhay Puri, Akshay Suresh, François Savard, Ahmed Masry, Shravan Nayak, Rabiul Awal, Mahsa Massoud, Amirhossein Abaskohi, Zichao Li, Suyuchen Wang, Pierre-André Noël, Mats L. Richter, Saverio Vadacchino, Shubham Agarwal, Sanket Biswas, Sara Shanian, Ying Zhang, Sathwik Tejaswi Madhusudhan, Joao Monteiro, Krishnamurthy Dvijotham, Torsten Scholak, Nicolas Chapados, Sepideh Kharaghani, Sean Hughes, M. Tamer Özsu, Siva Reddy, Marco Pedersoli, Yoshua Bengio, Christopher Pal, Issam Laradji, Spandana Gella, Perouz Taslakian, David Vazquez, Sai Rajeswar",https://openreview.net/forum?id=b1ivBPLb1n,https://openreview.net/pdf?id=b1ivBPLb1n,1_Core_VDU_DocRAG
Dataset,Accept (Poster),Harnessing Webpage UIs for Text-Rich Visual Understanding,"Junpeng Liu, Tianyue Ou, Yifan Song, Yuxiao Qu, Wai Lam, Chenyan Xiong, Wenhu Chen, Graham Neubig, Xiang Yue",https://openreview.net/forum?id=IIsTO4P3Ag,https://openreview.net/pdf?id=IIsTO4P3Ag,1_Core_VDU_DocRAG
Dataset,Accept (Poster),Graph-based Document Structure Analysis,"Yufan Chen, Ruiping Liu, Junwei Zheng, Di Wen, Kunyu Peng, Jiaming Zhang, Rainer Stiefelhagen",https://openreview.net/forum?id=Fu0aggezN9,https://openreview.net/pdf?id=Fu0aggezN9,1_Core_VDU_DocRAG
Dataset,Accept (Poster),LiveXiv - A Multi-Modal live benchmark based on Arxiv papers content,"Nimrod Shabtay, Felipe Maia Polo, Sivan Doveh, Wei Lin, Muhammad Jehanzeb Mirza, Leshem Choshen, Mikhail Yurochkin, Yuekai Sun, Assaf Arbelle, Leonid Karlinsky, Raja Giryes",https://openreview.net/forum?id=SulRfnEVK4,https://openreview.net/pdf?id=SulRfnEVK4,1_Core_VDU_DocRAG
Dataset,Accept (Poster),Visual Haystacks: A Vision-Centric Needle-In-A-Haystack Benchmark,"Tsung-Han Wu, Giscard Biamby, Jerome Quenum, Ritwik Gupta, Joseph E Gonzalez, trevor darrell, David Chan",https://openreview.net/forum?id=9JCNPFL1f9,https://openreview.net/pdf?id=9JCNPFL1f9,1_Core_VDU_DocRAG
Method,Accept (Poster),VisRAG: Vision-based Retrieval-augmented Generation on Multi-modality Documents,"Shi Yu, Chaoyue Tang, Bokai Xu, Junbo Cui, Junhao Ran, Yukun Yan, Zhenghao Liu, Shuo Wang, Xu Han, Zhiyuan Liu, Maosong Sun",https://openreview.net/forum?id=zG459X3Xge,https://openreview.net/pdf?id=zG459X3Xge,1_Core_VDU_DocRAG
Method,Accept (Poster),SV-RAG: LoRA-Contextualizing Adaptation of MLLMs for Long Document Understanding,"Jian Chen, Ruiyi Zhang, Yufan Zhou, Tong Yu, Franck Dernoncourt, Jiuxiang Gu, Ryan Rossi, Changyou Chen, Tong Sun",https://openreview.net/forum?id=FDaHjwInXO,https://openreview.net/pdf?id=FDaHjwInXO,1_Core_VDU_DocRAG
