Type,Sub-category,Decision,Title,Authors,Primary_Area,Paper_Link,PDF_Link,Category
Dataset,-,Accept (Poster),OCR-Reasoning Benchmark: Unveiling the True Capabilities of MLLMs in Complex Text-Rich Image Reasoning,"Mingxin Huang, Yongxin Shi, Dezhi Peng, Songxuan Lai, Zecheng Xie, Lianwen Jin",,https://openreview.net/forum?id=aH7eyx64pC,https://openreview.net/pdf?id=aH7eyx64pC,1_Core_VDU_DocRetrieval
Dataset,-,Accept (Poster),MRMR: A Realistic and Expert-Level Multidisciplinary Benchmark for Reasoning-Intensive Multimodal Retrieval,"Siyue Zhang, Yuan Gao, Xiao Zhou, Yilun Zhao, Tingyu Song, Arman Cohan, Anh Tuan Luu, Chen Zhao",General Machine Learning->Representation Learning,https://openreview.net/forum?id=XZNXSM4rHG,https://openreview.net/pdf?id=XZNXSM4rHG,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),DAVE: A VLM Vision Encoder for Document Understanding and Web Agents,"Brandon Huang, Hang Hua, Zhuoran Yu, trevor darrell, Rogerio Feris, Roei Herzig",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=kgk0NqjsoW,https://openreview.net/pdf?id=kgk0NqjsoW,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),SmartChunk Retrieval: Query-Aware Chunk Compression with Planning for Efficient Document RAG,"Xuechen Zhang, Koustava Goswami, Samet Oymak, Jiasi Chen, Nedim Lipka",Applications->Everything Else,https://openreview.net/forum?id=Myti1QwL2t,https://openreview.net/pdf?id=Myti1QwL2t,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),Teaching VLMs to Admit Uncertainty in OCR from Lossy Visual Inputs,"Shuhao Guan, Moule Lin, Cheng Xu, Jinman Zhao, Derek Greene",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=zyCjizqOxB,https://openreview.net/pdf?id=zyCjizqOxB,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),Synthesizing High-Quality Visual Question Answering from Medical Documents with Generator-Verifier LMMs,"Xiaoke Huang, Ningsen Wang, Hui Liu, Xianfeng Tang, Yuyin Zhou",Applications->Health,https://openreview.net/forum?id=ULMWcNduE3,https://openreview.net/pdf?id=ULMWcNduE3,1_Core_VDU_DocRetrieval
Method,-,Accept (Oral),MetaEmbed: Scaling Multimodal Retrieval at Test-Time with Flexible Late Interaction,"Zilin Xiao, Qi Ma, Mengting Gu, Chun-cheng Chen, Xintao Chen, Vicente Ordonez, Vijai Mohan",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=yKDqg9HwZX,https://openreview.net/pdf?id=yKDqg9HwZX,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),Guided Query Refinement: Multimodal Hybrid Retrieval with Test-Time Optimization,"Omri Uzan, Asaf Yehudai, Roi Pony, Eyal Shnarch, Ariel Gera",General Machine Learning->Representation Learning,https://openreview.net/forum?id=4GRsedu43K,https://openreview.net/pdf?id=4GRsedu43K,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),Beyond Text-Only: Towards Multimodal Table Retrieval in Open-World,"Da Li, Keping Bi, Jiafeng Guo, Wei Yuan, Fan Yang, Tingting Gao, Xueqi Cheng",General Machine Learning->Representation Learning,https://openreview.net/forum?id=4QPgqdQmYn,https://openreview.net/pdf?id=4QPgqdQmYn,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),U-MARVEL: Unveiling Key Factors for Universal Multimodal Retrieval via Embedding Learning with MLLMs,"Xiaojie Li, Chu Li, Shi-Zhe Chen, Xi Chen",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=CUFJluq5O8,https://openreview.net/pdf?id=CUFJluq5O8,1_Core_VDU_DocRetrieval
Method,-,Accept (Poster),Reading Images Like Texts: Sequential Image Understanding in Vision-Language Models,"Yueyan Li, Chenggong Zhao, Zeyuan Zang, Caixia YUAN, Xiaojie Wang",Theory->Interpretability and Visualization,https://openreview.net/forum?id=qYcZVezPW7,https://openreview.net/pdf?id=qYcZVezPW7,1_Core_VDU_DocRetrieval
Dataset,Chart / infographic,Accept (Poster),ChartGalaxy: A Dataset for Infographic Chart Understanding and Generation,"Zhen Li, Duan Li, Yukai Guo, Xinyuan Guo, Bowen Li, Lanxi Xiao, Shenyu Qiao, Jiashu Chen, Zijian Wu, Hui Zhang, Xinhuan Shu, Shixia Liu",Deep Learning->Everything Else,https://openreview.net/forum?id=P4lFbvZ4HH,https://openreview.net/pdf?id=P4lFbvZ4HH,2_Table_Chart_Diagram
Dataset,Chart / infographic,Accept (Poster),InfoDet: A Dataset for Infographic Element Detection,"Jiangning Zhu, Yuxing Zhou, Zheng Wang, Juntao Yao, Yima Gu, Yuhui Yuan, Shixia Liu",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=Wj0Sc9WBHZ,https://openreview.net/pdf?id=Wj0Sc9WBHZ,2_Table_Chart_Diagram
Method,Chart / infographic,Accept (Poster),Breaking the SFT Plateau: Multimodal Structured Reinforcement Learning for Chart-to-Code Generation,"Lei Chen, Xuanle Zhao, Zhixiong Zeng, Jing Huang, Liming Zheng, Yufeng Zhong, Lin Ma",Computer Vision->Vision Models & Multimodal,https://openreview.net/forum?id=14qYxv2jki,https://openreview.net/pdf?id=14qYxv2jki,2_Table_Chart_Diagram
Method,Chart / infographic,Accept (Poster),Visual Self-Refine: A Pixel-Guided Paradigm for Accurate Chart Parsing,"Jinsong Li, Xiaoyi Dong, Yuhang Zang, Yuhang Cao, Jiaqi Wang, Dahua Lin",Deep Learning->Algorithms,https://openreview.net/forum?id=RI0oNr1b0y,https://openreview.net/pdf?id=RI0oNr1b0y,2_Table_Chart_Diagram
Method,Chart / infographic,Accept (Poster),Charts Are Not Images: On the Challenges of Scientific Chart Editing,"Li Li, Ryan Rossi, Sungchul Kim, Sunav Choudhary, Franck Dernoncourt, Puneet Mathur, Zhengzhong Tu, Yue Zhao",Computer Vision->Image and Video Generation,https://openreview.net/forum?id=259xBeNyDV,https://openreview.net/pdf?id=259xBeNyDV,2_Table_Chart_Diagram
Method,Chart / infographic,Accept (Poster),Chart Deep Research in LVLMs via Parallel Relative Policy Optimization,"Jiajin Tang, Yang Gao, Wenjie Wang, Sibei Yang, Xing Chen",Reinforcement Learning->Deep RL,https://openreview.net/forum?id=cRJNk4bhZi,https://openreview.net/pdf?id=cRJNk4bhZi,2_Table_Chart_Diagram
