Type,Track,Title,Authors,Pages,Paper_Link,PDF_Link,OpenReview,Category
Dataset,Main,SK-VQA: Synthetic Knowledge Generation at Scale for Training Context-Augmented Multimodal LLMs,"Xin Su, Man Luo, Kris W Pan, Tien Pei Chou, Vasudev Lal, Phillip Howard",57008-57029,https://proceedings.mlr.press/v267/su25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/su25a/su25a.pdf,https://openreview.net/forum?id=EVwMw2lVlw,1_Core_VDU_VisualRAG
Dataset,Main,FG-CLIP: Fine-Grained Visual and Textual Alignment,"Chunyu Xie, Bin Wang, Fanjing Kong, Jincheng Li, Dawei Liang, Gengshen Zhang, Dawei Leng, Yuhui Yin",68777-68793,https://proceedings.mlr.press/v267/xie25k.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xie25k/xie25k.pdf,https://openreview.net/forum?id=eih5Gy3Pjt,1_Core_VDU_VisualRAG
Method,Main,DocVXQA: Context-Aware Visual Explanations for Document Question Answering,"Mohamed Ali Souibgui, Changkyu Choi, Andrey Barsky, Kangsoo Jung, Ernest Valveny, Dimosthenis Karatzas",56549-56569,https://proceedings.mlr.press/v267/souibgui25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/souibgui25a/souibgui25a.pdf,https://openreview.net/forum?id=wex0vL4c2Y,1_Core_VDU_VisualRAG
Method,Main,Retrieval-Augmented Perception: High-resolution Image Perception Meets Visual RAG,"Wenbin Wang, Yongcheng Jing, Liang Ding, Yingjie Wang, Li Shen, Yong Luo, Bo Du, Dacheng Tao",63290-63307,https://proceedings.mlr.press/v267/wang25at.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25at/wang25at.pdf,https://openreview.net/forum?id=X9vBykZVYg,1_Core_VDU_VisualRAG
Method,Main,ReFocus: Visual Editing as a Chain of Thought for Structured Image Understanding,"Xingyu Fu, Minqian Liu, Zhengyuan Yang, John Richard Corring, Yijuan Lu, Jianwei Yang, Dan Roth, Dinei Florencio, Cha Zhang",17783-17805,https://proceedings.mlr.press/v267/fu25d.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/fu25d/fu25d.pdf,https://openreview.net/forum?id=a7qFlPOTix,1_Core_VDU_VisualRAG
Method,Main,Re-ranking Reasoning Context with Tree Search Makes Large Vision-Language Models Stronger,"Qi Yang, Chenghao Zhang, Lubin Fan, Kun Ding, Jieping Ye, Shiming Xiang",71521-71542,https://proceedings.mlr.press/v267/yang25at.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/yang25at/yang25at.pdf,https://openreview.net/forum?id=DJcEoC9JpQ,1_Core_VDU_VisualRAG
Method,Main,PoisonedEye: Knowledge Poisoning Attack on Retrieval-Augmented Generation based Large Vision-Language Models,"Chenyang Zhang, Xiaoyu Zhang, Jian Lou, Kai Wu, Zilong Wang, Xiaofeng Chen",76811-76830,https://proceedings.mlr.press/v267/zhang25da.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25da/zhang25da.pdf,https://openreview.net/forum?id=6SIymOqJlc,1_Core_VDU_VisualRAG
Dataset,Main,LaRA: Benchmarking Retrieval-Augmented Generation and Long-Context LLMs – No Silver Bullet for LC or RAG Routing,"Kuan Li, Liwen Zhang, Yong Jiang, Pengjun Xie, Fei Huang, Shuai Wang, Minhao Cheng",36846-36867,https://proceedings.mlr.press/v267/li25dv.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/li25dv/li25dv.pdf,https://openreview.net/forum?id=CLF25dahgA,2_RAG_Retrieval
Method,Main,POQD: Performance-Oriented Query Decomposer for Multi-vector retrieval,"Yaoyang Liu, Junlin Li, Yinjun Wu, Zhen Chen",38789-38808,https://proceedings.mlr.press/v267/liu25ag.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/liu25ag/liu25ag.pdf,https://openreview.net/forum?id=oktw116wt2,2_RAG_Retrieval
Method,Main,RAGGED: Towards Informed Design of Scalable and Stable RAG Systems,"Jennifer Hsia, Afreen Shaikh, Zora Zhiruo Wang, Graham Neubig",24139-24155,https://proceedings.mlr.press/v267/hsia25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/hsia25a/hsia25a.pdf,https://openreview.net/forum?id=4ufjBV6S4I,2_RAG_Retrieval
Method,Main,C-3PO: Compact Plug-and-Play Proxy Optimization to Achieve Human-like Retrieval-Augmented Generation,"Guoxin Chen, Minpeng Liao, Peiying Yu, Dingmin Wang, Zile Qiao, Chao Yang, Xin Zhao, Kai Fan",8530-8551,https://proceedings.mlr.press/v267/chen25an.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25an/chen25an.pdf,https://openreview.net/forum?id=hlpwAmQ4wr,2_RAG_Retrieval
Method,Main,RAPID: Long-Context Inference with Retrieval-Augmented Speculative Decoding,"Guanzheng Chen, Qilong Feng, Jinjie Ni, Xin Li, Michael Qizhe Shieh",8093-8107,https://proceedings.mlr.press/v267/chen25s.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/chen25s/chen25s.pdf,https://openreview.net/forum?id=73mDARqOtQ,2_RAG_Retrieval
Method,Main,From RAG to Memory: Non-Parametric Continual Learning for Large Language Models,"Bernal Jiménez Gutiérrez, Yiheng Shu, Weijian Qi, Sizhe Zhou, Yu Su",21497-21515,https://proceedings.mlr.press/v267/gutierrez25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/gutierrez25a/gutierrez25a.pdf,https://openreview.net/forum?id=LWH8yn4HS2,2_RAG_Retrieval
Method,Main,From Complex to Atomic: Enhancing Augmented Generation via Knowledge-Aware Dual Rewriting and Reasoning,"Jinyu Wang, Jingjing Fu, Rui Wang, Lei Song, Jiang Bian",62890-62915,https://proceedings.mlr.press/v267/wang25ac.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25ac/wang25ac.pdf,https://openreview.net/forum?id=PAjCdkkNaU,2_RAG_Retrieval
Method,Main,On the Vulnerability of Applying Retrieval-Augmented Generation within Knowledge-Intensive Application Domains,"Xun Xian, Ganghua Wang, Xuan Bi, Rui Zhang, Jayanth Srinivasa, Ashish Kundu, Charles Fleming, Mingyi Hong, Jie Ding",68292-68315,https://proceedings.mlr.press/v267/xian25a.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xian25a/xian25a.pdf,https://openreview.net/forum?id=SOMDiaGoil,2_RAG_Retrieval
Method,Position,Position: Retrieval-augmented systems can be dangerous medical communicators,"Lionel Wong, Ayman Ali, Raymond M Xiong, Zejiang Shen, Yoon Kim, Monica Agrawal",82347-82359,https://proceedings.mlr.press/v267/wong25b.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/wong25b/wong25b.pdf,https://openreview.net/forum?id=LL39y0Tfxb,2_RAG_Retrieval
