Type,Track,Decision,Title,Authors,Topic,Paper_Link,PDF_Link,Category
Dataset,Main,Accept (regular),DocHop: Benchmarking Out-of-domain Multi-hop Reasoning in Information-Dense Documents,"Zhuoran Yu, Le T Nguyen, Jaden Park, Xinyi Gu, Zexue He, Soochahn Lee, Rogerio Feris, Yong Jae Lee",General Machine Learning->Evaluation,https://openreview.net/forum?id=PQFkScoGqz,https://openreview.net/pdf?id=PQFkScoGqz,1_Core_VDU_DocRAG
Dataset,Main,Accept (spotlight),Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,"Lukasz Borchmann, Jordy Van Landeghem, Michał Turski, Shreyansh Padarha, Ryan Kearns, Adam Mahdi, Niels Rogge, Clémentine Fourrier, Siwei Han, Huaxiu Yao, Artemis Llabrés, Yiming Xu, Dimosthenis Karatzas, Hao Zhang, Anupam Datta",Deep Learning->Large Language Models,https://openreview.net/forum?id=ds3ZOevkwx,https://openreview.net/pdf?id=ds3ZOevkwx,1_Core_VDU_DocRAG
Dataset,Main,Accept (regular),Fix Before Search: Benchmarking Agentic Visual Query Pre-processing in Multimodal Retrieval-augmented Generation,"Shenglai Zeng, Jiankun Zhang, Kai Guo, Xinnan Dai, Hui Liu, Jiliang Tang, Yi Chang",General Machine Learning->Evaluation,https://openreview.net/forum?id=c6KQjNRo1m,https://openreview.net/pdf?id=c6KQjNRo1m,1_Core_VDU_DocRAG
Dataset,Main,Accept (regular),Uni-DocRobust: Universal Plug-and-Play Robustness Enhancement for Multi-modal LLMs via Feature Restoration,"Yuxuan Zhou, Baole Wei, Xingjian Hu, Haowei Chen, Yu Li, Xingyue Lin, Liangcai Gao, Zhi Tang",Applications->Computer Vision,https://openreview.net/forum?id=ErZRlWv8kZ,https://openreview.net/pdf?id=ErZRlWv8kZ,1_Core_VDU_DocRAG
Dataset,Main,Accept (regular),Token-Free Hierarchical Indexing for RAG beyond LLM-based Summarization,"Yifan Wei, Dan Yuan, Xiaoyan Yu, Angsheng Li",General Machine Learning->Clustering,https://openreview.net/forum?id=UnNUWCbDO6,https://openreview.net/pdf?id=UnNUWCbDO6,1_Core_VDU_DocRAG
Method,Main,Accept (regular),Navigating Massive Visual Context in Retrieval-Augmented Generation via Multimodal Memory Graph,"Qiuchen Wang, Shihang Wang, Yu Zeng, Qiang Zhang, Fanrui Zhang, Zhuoning Guo, Bosi Zhang, Wenxuan Huang, Lin Chen, Zehui Chen, Pengjun Xie, Ruixue Ding","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=fylE5O8g5F,https://openreview.net/pdf?id=fylE5O8g5F,1_Core_VDU_DocRAG
Method,Main,Accept (regular),DocVAL: Validated Chain-of-Thought Distillation for Grounded Document VQA,"Pinaki Prasad Guha Neogi, Ahmad Mohammadshirazi, Ser-Nam Lim, Rajiv Ramnath",Deep Learning->Large Language Models,https://openreview.net/forum?id=Ygg3KJPeT6,https://openreview.net/pdf?id=Ygg3KJPeT6,1_Core_VDU_DocRAG
Method,Main,Accept (regular),$G^2$-Reader: Dual Evolving Graphs for Multimodal Document QA,"Yaxin Du, Junru Song, Yifan Zhou, Cheng Wang, Jiahao Gu, Zimeng Chen, Menglan Chen, Wen Yao, Yang Yang, Ying Wen, Siheng Chen",,https://openreview.net/forum?id=1NACQKPp1n,https://openreview.net/pdf?id=1NACQKPp1n,1_Core_VDU_DocRAG
Method,Main,Accept (regular),Very Efficient Listwise Multimodal Reranking for Long Documents,"Yiqun Sun, Pengfei Wei, Lawrence Hsieh","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=9lV4ZvcOAL,https://openreview.net/pdf?id=9lV4ZvcOAL,1_Core_VDU_DocRAG
Method,Main,Accept (regular),ModernVBERT: Towards Smaller Visual Document Retrievers,"Paul Teiletche, Quentin Macé, Max Conti, António Loison, Gautier Viaud, Pierre Colombo, Manuel Faysse",General Machine Learning->Representation Learning,https://openreview.net/forum?id=TyVJlSHke2,https://openreview.net/pdf?id=TyVJlSHke2,1_Core_VDU_DocRAG
Method,Main,Accept (regular),When RAG Hurts: Diagnosing and Mitigating Attention Distraction in Retrieval-Augmented LVLMs,"Beidi Zhao, wenlong deng, Xinting Liao, Yushu Li, Nazim Shaikh, Yao Nie, Xiaoxiao Li",Deep Learning->Large Language Models,https://openreview.net/forum?id=PzXOrmsRZn,https://openreview.net/pdf?id=PzXOrmsRZn,1_Core_VDU_DocRAG
Method,Main,Accept (regular),Hierarchical Abstract Tree for Cross-Document Retrieval Augmented Generation,"Ziwen Zhao, Menglin Yang",Deep Learning->Large Language Models,https://openreview.net/forum?id=3Hea2WFhPW,https://openreview.net/pdf?id=3Hea2WFhPW,1_Core_VDU_DocRAG
Dataset,Main,Accept (regular),MORE: A Multilingual Document Parsing Benchmark and Evaluation,"Long Xu, Binghong Wu, TingHao YU, Hao Feng, zhenyuhuang, Haoqing Jiang, Yunhao Wang, Shuo Huang, feng zhang",Deep Learning->Foundation Models,https://openreview.net/forum?id=ov240fehF6,https://openreview.net/pdf?id=ov240fehF6,2_DocParsing_OCR
Dataset,Other track (journal-track poster),Poster,mSOP-765k: A Benchmark For Multi-Modal Structured Output Predictions,"Bianca Lamm, Janis Keuper",Deep Learning->Other Representation Learning,https://icml.cc/virtual/2026/poster/68802,,2_DocParsing_OCR
Dataset,Main,Accept (regular),Evaluating AI Grading on Real-World Handwritten College Mathematics: A Large-Scale Study Toward a Benchmark,"Zhiqi Yu, Xingping Liu, Haobin Mao, Mingshuo Liu, Long Chen, Jack Xin, Yifeng Yu",General Machine Learning->Evaluation,https://openreview.net/forum?id=vcdsMrNGqP,https://openreview.net/pdf?id=vcdsMrNGqP,2_DocParsing_OCR
