Type,Kind,Part,Title,Authors,DOI,Paper_Link,Category
Method,Paper,Part XXXI,ROISER: Towards Real World Semantic Entity Recognition from Visually-Rich Documents,"Zening Lin, Jiapeng Wang, Wenhui Liao, Weicong Dai, Longfei Xiong, Lianwen Jin",10.1007/978-3-031-78119-3_6,https://doi.org/10.1007/978-3-031-78119-3_6,1_Core_Doc_KIE_RAG
Method,Paper,Part XXXI,Perception-Enhanced Generative Transformer for Key Information Extraction from Documents,"Runbo Zhao, Jun Jie Ou Yang, Chen Gao, Xugong Qin, Gangyan Zeng, Xiaoxu Hu, Peng Zhang",10.1007/978-3-031-78119-3_7,https://doi.org/10.1007/978-3-031-78119-3_7,1_Core_Doc_KIE_RAG
Method,Paper,Part XIX,Region-Level Layout Generation for Multi-level Pre-trained Model Based Visual Information Extraction,"Shuai Li, Xiao-Hui Li, Fei Yin, Lin-Lin Huang",10.1007/978-3-031-78495-8_15,https://doi.org/10.1007/978-3-031-78495-8_15,1_Core_Doc_KIE_RAG
Method,Paper,Part XIX,Zero-Shot Prompting and Few-Shot Fine-Tuning: Revisiting Document Image Classification Using Large Language Models,"Anna Scius-Bertrand, Michael Jungo, Lars Vögtlin, Jean-Marc Spat, Andreas Fischer",10.1007/978-3-031-78495-8_10,https://doi.org/10.1007/978-3-031-78495-8_10,1_Core_Doc_KIE_RAG
Method,Paper,Part XIX,Learning-Based Sub-image Retrieval in Historical Document Images,"Joseph Assaker, Stéphane Nicolas, Laurent Heutte",10.1007/978-3-031-78495-8_9,https://doi.org/10.1007/978-3-031-78495-8_9,1_Core_Doc_KIE_RAG
Method,Paper,Part XX,Enhancing Table Structure Recognition via Bounding Box Guidance,"Lei Hu, Shuangping Huang",10.1007/978-3-031-78498-9_15,https://doi.org/10.1007/978-3-031-78498-9_15,1_Core_Doc_KIE_RAG
Method,Paper,Part XXXI,ODTr: Transformer Integrating OCR Auxiliary Map and Image Depth Information for Document Image Unwarping,"Xiangyu Xie, Yuxuan Zhou, Liangcai Gao",10.1007/978-3-031-78119-3_1,https://doi.org/10.1007/978-3-031-78119-3_1,1_Core_Doc_KIE_RAG
Method,Paper,Part XXXI,DocHFormer: Document Image Dewarping via Harmonized Modeling of Hierarchical Priors,"Xinyue Zhou, Guanting Li, Nanfeng Jiang, Da-Han Wang, Xu-Yao Zhang, ShunZhi Zhu",10.1007/978-3-031-78119-3_3,https://doi.org/10.1007/978-3-031-78119-3_3,1_Core_Doc_KIE_RAG
Method,Paper,Part XXXI,Document Image Shadow Removal via Frequency Information-Oriented Network,"Fan Yang, Xinyue Zhou, Nanfeng Jiang, Da-Han Wang, Xu-Yao Zhang, Guantin Li, Wang Man, Yun Wu",10.1007/978-3-031-78119-3_4,https://doi.org/10.1007/978-3-031-78119-3_4,1_Core_Doc_KIE_RAG
Method,Paper,Part XXI,LK-Net: Efficient Large Kernel ConvNet for Document Enhancement,"Qijun Shi, Hongjian Zhan, Yangfu Li, Weijun Zou, Huasheng Li, Umapada Pal, Yue Lu",10.1007/978-3-031-78305-0_18,https://doi.org/10.1007/978-3-031-78305-0_18,1_Core_Doc_KIE_RAG
Method,Paper,Part XXXI,: A Voting-Based Paradigm for Enhancing Retrieval Augmented Generation,"Wenbo Guan, Xiaoqian Li, Jiyu Lu, Jun Zhou",10.1007/978-3-031-78119-3_9,https://doi.org/10.1007/978-3-031-78119-3_9,1_Core_Doc_KIE_RAG
Method,Paper,Part XIX,Beyond Relevant Documents: A Knowledge-Intensive Approach for Query-Focused Summarization Using Large Language Models,"Weijia Zhang, Jia-Hong Huang, Svitlana Vakulenko, Yumo Xu, Thilina Rajapakse, Evangelos Kanoulas",10.1007/978-3-031-78495-8_6,https://doi.org/10.1007/978-3-031-78495-8_6,1_Core_Doc_KIE_RAG
Dataset,Paper,Part XIX,CHART-Info 2024: A Dataset for Chart Analysis and Recognition,"Kenny Davila, Rupak Lazarus, Fei Xu, Nicole Rodríguez Alcántara, Srirangaraj Setlur, Venu Govindaraju, Ajoy Mondal, C. V. Jawahar",10.1007/978-3-031-78495-8_19,https://doi.org/10.1007/978-3-031-78495-8_19,2_Chart
Method,Paper,Part I,C2F-CHART: A Curriculum Learning Approach to Chart Classification,"Nour Shaheen, Tamer Elsharnouby, Marwan Torki",10.1007/978-3-031-78107-0_24,https://doi.org/10.1007/978-3-031-78107-0_24,2_Chart
Method,Paper,Part III,PiExtract: An End-to-End Data Extraction Pipeline for Pie-Charts,"Muhammad Suhaib Kanroo, Hadia Showkat Kawoosa, Joy Dhar, Puneet Goyal",10.1007/978-3-031-78122-3_3,https://doi.org/10.1007/978-3-031-78122-3_3,2_Chart
Dataset,Paper,Part XIX,AIO-HB: A Handwritten Text Image Dataset of Hindi and Bengali Indian Scripts for Handwritten Text Recognition,"Piyush Kanti Samanta, Samit Biswas",10.1007/978-3-031-78495-8_20,https://doi.org/10.1007/978-3-031-78495-8_20,3_Indic_OCR_HTR
Dataset,Paper,Part XIX,Unconstrained Camera Captured Indic Offline Handwritten Dataset,"Ajoy Mondal, C. V. Jawahar",10.1007/978-3-031-78495-8_21,https://doi.org/10.1007/978-3-031-78495-8_21,3_Indic_OCR_HTR
Method,Paper,Part XIX,Towards Deployable OCR Models for Indic Languages,"Minesh Mathew, Ajoy Mondal, C. V. Jawahar",10.1007/978-3-031-78495-8_11,https://doi.org/10.1007/978-3-031-78495-8_11,3_Indic_OCR_HTR
Method,Paper,Part XXXI,Breaking Boundaries: Enhancing Script Identification Using a Learnable MULLER Resizer,"Souhaila Djaffal, Yasmina Benmabrouk, Chawki Djeddi, Moises Diaz",10.1007/978-3-031-78119-3_16,https://doi.org/10.1007/978-3-031-78119-3_16,3_Indic_OCR_HTR
Method,Paper,Part XIX,XLSI: A New Xception and Log Polar Transform Based Approach for Scene Text Script Identification,"Ayush Roy, Shivakumara Palaiahnakote, Umapada Pal, Apostolos Antonacopoulos, Michael Blumenstein",10.1007/978-3-031-78495-8_12,https://doi.org/10.1007/978-3-031-78495-8_12,3_Indic_OCR_HTR
Dataset,Competition,Part XXXIV,ICPR 2024 Competition on Multi-line Mathematical Expressions Recognition,"Tianrui Zong, Lin Yang, Wei Luo, Wenhao Yu, Borui Cai, He Zhang, Fenghong Liu, Qinqin Yan, Liangcai Gao",10.1007/978-3-031-80139-6_2,https://doi.org/10.1007/978-3-031-80139-6_2,4_OCR_SceneText_HTR
Dataset,Competition,Part XXXIV,ICPR 2024 Competition on Domain Adaptation and GEneralization for Character Classification (DAGECC),"Sofia Marino, Jennifer Vandoni, Emanuel Aldea, Ichraq Lemghari, Sylvie Le Hégarat-Mascle, Frédéric Jurie",10.1007/978-3-031-80139-6_12,https://doi.org/10.1007/978-3-031-80139-6_12,4_OCR_SceneText_HTR
Method,Paper,Part XIX,Advancing Handwritten Text Detection by Synthetic Text,"Markus Muth, Marco Peer, Florian Kleber, Robert Sablatnig",10.1007/978-3-031-78495-8_8,https://doi.org/10.1007/978-3-031-78495-8_8,4_OCR_SceneText_HTR
Method,Paper,Part XIX,LineTR: Unified Text Line Segmentation for Challenging Palm Leaf Manuscripts,"Vaibhav Agrawal, Niharika Vadlamudi, Muhammad Waseem, Amal Joseph, Sreenya Chitluri, Ravi Kiran Sarvadevabhatla",10.1007/978-3-031-78495-8_14,https://doi.org/10.1007/978-3-031-78495-8_14,4_OCR_SceneText_HTR
Method,Paper,Part XX,Contour-Guided Context Learning for Scene Text Recognition,"Wei-Chun Hsieh, Gee-Sern Hsu, Jun-Yi Chen, Moi Hoon Yap, Zi-Chun Chao",10.1007/978-3-031-78498-9_8,https://doi.org/10.1007/978-3-031-78498-9_8,4_OCR_SceneText_HTR
Method,Paper,Part XX,FastTextSpotter: A High-Efficiency Transformer for Multilingual Scene Text Spotting,"Alloy Das, Sanket Biswas, Umapada Pal, Josep Lladós, Saumik Bhattacharya",10.1007/978-3-031-78498-9_10,https://doi.org/10.1007/978-3-031-78498-9_10,4_OCR_SceneText_HTR
Method,Paper,Part XX,Vietnamese Scene Text Detection via Edge Information and Text Region Feature Enhancement,"Liyu Jiang, Shaoliang Shi, Wenhui Huang, Zhengli Xu, Vinh Loc Cu, Yimin Wen",10.1007/978-3-031-78498-9_11,https://doi.org/10.1007/978-3-031-78498-9_11,4_OCR_SceneText_HTR
Method,Paper,Part XX,Scene Uyghur Text Detection Based on Adaptive Feature Fusion,"Dong Wang, Elham Eli, Alimjan Aysa, Xuebin Xu, Hornisa Mamat, Kurban Ubul",10.1007/978-3-031-78498-9_12,https://doi.org/10.1007/978-3-031-78498-9_12,4_OCR_SceneText_HTR
Method,Paper,Part XX,Handwriting Trajectory Recovery Via Trajectory Transformer With Global Radical Context-Aware Module,"Junxiang Lin, Zhounan Chen, Lingyu Liang, Wenjie Peng, Shuangping Huang",10.1007/978-3-031-78498-9_13,https://doi.org/10.1007/978-3-031-78498-9_13,4_OCR_SceneText_HTR
Method,Paper,Part XXXI,TBIA-DBNet: A Two-Branch Image-Adaptive DBNet for Scene Text Detection in Real-World Foggy Scenes,"Zhaoxi Liu, Gang Zhou, Runlin He, Mengnan Zhang, Zhenhong Jia, Jing Ma",10.1007/978-3-031-78119-3_15,https://doi.org/10.1007/978-3-031-78119-3_15,4_OCR_SceneText_HTR
Method,Paper,Part XXXI,Arbitrary-Shaped Scene Text Recognition with Deformable Ensemble Attention,"Shuo Xu, Zeming Zhuang, Mingjun Li, Feng Su",10.1007/978-3-031-78119-3_17,https://doi.org/10.1007/978-3-031-78119-3_17,4_OCR_SceneText_HTR
Method,Paper,Part XXXII,Scene Text Image Super-Resolution with CLIP Prior Guidance,"Yogesh Surapaneni, Chakravarthy Bhagvati",10.1007/978-3-031-78125-4_2,https://doi.org/10.1007/978-3-031-78125-4_2,4_OCR_SceneText_HTR
Method,Paper,Part XXXII,MPGTSRN: Scene Text Image Super-Resolution Guided by Multiple Visual-Semantic Prompts,"Mingjun Li, Zeming Zhuang, Shuo Xu, Feng Su",10.1007/978-3-031-78125-4_22,https://doi.org/10.1007/978-3-031-78125-4_22,4_OCR_SceneText_HTR
Method,Paper,Part XXXI,Learning Explicit Radical Representations for Zero-Shot Chinese Character Recognition,"Song-Liang Pan, Da-Han Wang, Nanfeng Jiang, Xu-Yao Zhang, Shunzhi Zhu",10.1007/978-3-031-78119-3_21,https://doi.org/10.1007/978-3-031-78119-3_21,4_OCR_SceneText_HTR
Method,Paper,Part XXXI,Oracle Character Recognition Based on Attention Enhancement and Multi-level Feature Fusion,"Zhiwang Han, Nurbiya Yadikar, Xuebin Xu, Alimjan Aysa, Kurban Ubul",10.1007/978-3-031-78119-3_2,https://doi.org/10.1007/978-3-031-78119-3_2,4_OCR_SceneText_HTR
Method,Paper,Part XXII,Oracle Bone Script Recognition Based on Multi-scale Feature Fusion and Knowledge Distillation,"Jiaoyan Wang, Xuebin Xu, Alimjan Aysa, Jun Ding, Kurban Ubul",10.1007/978-3-031-78312-8_18,https://doi.org/10.1007/978-3-031-78312-8_18,4_OCR_SceneText_HTR
Method,Paper,Part VII,Recognition of Online Handwritten Chinese Texts in Any Writing Direction via Stroke Classification Based Over-Segmentation,"Yi Chen, Heng Zhang, Min-Si Ren, Cheng-Lin Liu",10.1007/978-3-031-78183-4_24,https://doi.org/10.1007/978-3-031-78183-4_24,4_OCR_SceneText_HTR
