Type,Sub-category,Track,Presentation,Session,RR_Label,Paper_ID,Title,Authors,Paper_Link,PDF_Link,Category
Dataset,Doc parsing / tables / formulas,T5: Document Analysis and Recognition,Oral,O4-D.T5,yes,154,Benchmarking Document Parsers On Mathematical Formula Extraction From Pdfs,"Horn, Pius; Keuper, Janis",https://doi.org/10.1007/978-3-032-31583-0_7,https://link.springer.com/content/pdf/10.1007/978-3-032-31583-0_7,1_Document_Analysis
Dataset,Doc parsing / tables / formulas,T5: Document Analysis and Recognition,Oral,O5-D.T5,,397,Dentab: A Dataset For Table Recognition And Visual Qa On Real-World Dental Estimates,"Hamdi, Laziz; Paquet, Thierry; Tamasna, Amine",https://doi.org/10.1007/978-3-032-31663-9_18,https://link.springer.com/content/pdf/10.1007/978-3-032-31663-9_18,1_Document_Analysis
Method,Doc parsing / tables / formulas,T5: Document Analysis and Recognition,Poster,P2.T5,,412,Rethinking The Pointer Loss In Table Structure Recognition: Geometry-Aware Pointer Loss For Spatial Locality,"Choi, Hong-Jun; Lee, Jongho; Kim, Jaeyoung",https://doi.org/10.1007/978-3-032-31663-9_23,https://link.springer.com/content/pdf/10.1007/978-3-032-31663-9_23,1_Document_Analysis
Method,Doc parsing / tables / formulas,T5: Document Analysis and Recognition,Oral,O5-D.T5,,674,Ragdnet: A Region-Adjacency Graph For Semantic Segmentation Of Mechanical Drawings Using Graph Neural Networks,"MONNIER WEIL, Alexandre; HILI, Nicolas; LEDRU, YVES",https://doi.org/10.1007/978-3-032-31397-3_9,https://link.springer.com/content/pdf/10.1007/978-3-032-31397-3_9,1_Document_Analysis
Method,Historical docs / reading order,T5: Document Analysis and Recognition,Poster,P2.T5,yes,792,Decoding-Time Fusion Of Ocr And Large Language Models For Traditional Chinese Historical Document Recognition,"Lin, Zih-Ci; Liao, Wen-Hung",https://doi.org/10.1007/978-3-032-31404-8_4,https://link.springer.com/content/pdf/10.1007/978-3-032-31404-8_4,1_Document_Analysis
Method,Historical docs / reading order,T5: Document Analysis and Recognition,Poster,P2.T5,,1370,Semantic-Guided Reading Order Reconstruction In Historical Armenian Newspapers With Llms,"Vidal-Gorène, Chahan; Tomeh, Nadi; Khurshudyan, Victoria",https://doi.org/10.1007/978-3-032-31927-2_39,https://link.springer.com/content/pdf/10.1007/978-3-032-31927-2_39,1_Document_Analysis
Method,Historical docs / reading order,T5: Document Analysis and Recognition,Oral,O1-D.T5,yes,445,Modern Summarization Methods For Diplomatic Documents: Current State And Limitations,"Streilein, Merlin; Steiner, Tobias; Riesen, Kaspar; Fischer, Andreas",https://doi.org/10.1007/978-3-032-31663-9_37,https://link.springer.com/content/pdf/10.1007/978-3-032-31663-9_37,1_Document_Analysis
Dataset,Doc QA / financial reasoning,T5: Document Analysis and Recognition,Poster,P2.T5,,789,Bridging The Arithmetic Gap: The Cognitive Complexity Benchmark And Financial-Pot For Robust Financial Reasoning,"Zhao, Boxiang; Li, Qince; Wang, Zhonghao; Wang, Yi; Cheng, Peng; Lin, Bo",https://doi.org/10.1007/978-3-032-31404-8_2,https://link.springer.com/content/pdf/10.1007/978-3-032-31404-8_2,1_Document_Analysis
Method,Scene text,T5: Document Analysis and Recognition,Oral,O4-D.T5,,1100,Reading In The Dark: Low-Light Scene Text Recognition,"Fu, Xuanshuo; Kang, Lei; Valveny, Ernest; Karatzas, Dimosthenis; Vazquez-Corral, Javier",https://doi.org/10.1007/978-3-032-31452-9_9,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_9,2_OCR_SceneText_Handwriting
Method,Scene text,T5: Document Analysis and Recognition,Oral,O4-D.T5,,1122,Cpa-Gnn: Contextual-Based Pattern-Aware Graph-Neural Network For Text Spotting,"Sinha, Anant ; Palaiahnakote, Shivakumara ; Pal , Umapada ; Saraee, Mo",https://doi.org/10.1007/978-3-032-31452-9_21,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_21,2_OCR_SceneText_Handwriting
Method,Scene text,T5: Document Analysis and Recognition,Poster,P2.T5,,1123,Mstis: Multi-Views Scene Text Image Sequencing To Enhance Text Detection Performance,"Das Gupta, Debayan Das ; Roy, Jayasmita; Palaiahnakote, Shivakumara ; Pal, Umapada",https://doi.org/10.1007/978-3-032-31452-9_22,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_22,2_OCR_SceneText_Handwriting
Method,Scene text,T5: Document Analysis and Recognition,Poster,P2.T5,,974,Visual Information Facilitation Scene Text Retrieval,"Ibrayim, Mayire ; Luo, Hailong ; Li, Pengyang",https://doi.org/10.1007/978-3-032-31441-3_34,https://link.springer.com/content/pdf/10.1007/978-3-032-31441-3_34,2_OCR_SceneText_Handwriting
