Sub-category,Type,Track,Title,Authors,Paper_Link,PDF_Link,Category
Visual retrieval / VQA,Method,"Main Track > AI Ethics, Trust, Fairnes",VERA: Identifying and Leveraging Visual Evidence Retrieval Heads in Long-Context Understanding,"Rongcan Pei, Huan Li, Fang Guo, Qi Zhu",https://www.ijcai.org/proceedings/2026/81,https://www.ijcai.org/proceedings/2026/0081.pdf,TOP_related
Visual retrieval / VQA,Method,Main Track > Computer Vision,Dynamic Multi-Path Retrieval for Knowledge-based Visual Question Answering,"Zeyu Song, Yimin Deng, Yuxin Zhang, Guoshuai Zhao, Chengxu Liu, Jialie Shen, Xueming Qian",https://www.ijcai.org/proceedings/2026/182,https://www.ijcai.org/proceedings/2026/0182.pdf,TOP_related
RAG,Method,Main Track > Natural Language Processing,Exploring Internal Emphasis for Robust Noisy RAG,"Qifeng Lai, Zhiguo Gong, Usman Naseem, Wei Wang",https://www.ijcai.org/proceedings/2026/643,https://www.ijcai.org/proceedings/2026/0643.pdf,TOP_related
RAG,Method,Main Track > Natural Language Processing,ARMOR: Adaptive Curriculum Meta-Learning for Noise-Robust RAG Reasoning,"Yan Wang, Yuxin Zhang, Shenyu Zhang, Yongrui Chen, Sheng Bi, Guilin Qi",https://www.ijcai.org/proceedings/2026/663,https://www.ijcai.org/proceedings/2026/0663.pdf,TOP_related
RAG,Method,Main Track > Natural Language Processing,Text-Graph Synergy: A Bidirectional Verification and Completion Framework for RAG,"Jiarui Zhong, Hong Cai Chen",https://www.ijcai.org/proceedings/2026/679,https://www.ijcai.org/proceedings/2026/0679.pdf,TOP_related
RAG,Method,Main Track > Machine Learning,CDS4RAG: Cyclic Dual-Sequential Hyperparameter Optimization for RAG,"Pengzhou Chen, Tao Chen",https://www.ijcai.org/proceedings/2026/466,https://www.ijcai.org/proceedings/2026/0466.pdf,TOP_related
RAG,Method,Main Track > Natural Language Processing,Semantic Similarity Is Not Legal Correctness: Evaluating RAG Systems in Brazilian Civil Procedure,"Eryclis Silva, Madelyn Sanfilippo",https://www.ijcai.org/proceedings/2026/659,https://www.ijcai.org/proceedings/2026/0659.pdf,TOP_related
RAG,Method,Demo Track,MC-RAG System: A Structure-Driven RAG System for Multi-Constraint Queries,"Xiao Zhang, Yang Wan, Yi Li, Miao Xie, Chunli Lv",https://www.ijcai.org/proceedings/2026/1002,https://www.ijcai.org/proceedings/2026/1002.pdf,TOP_related
RAG,Method,Doctoral Consortium,IKnowFlow: Trustworthy RAG for Sensitive Domains,Yash Saxena,https://www.ijcai.org/proceedings/2026/947,https://www.ijcai.org/proceedings/2026/0947.pdf,TOP_related
Related-work generation,Dataset,Main Track > Natural Language Processing,MA-RWG: A Multi-Agent Framework for Thematically Structuring and Generation of Related Work,"Zhuang Liu, Jian Liu, Chun Kang, Chenbin Zhang, Rui Li, Fanhu Zeng, Yong Dai, Lei Sha",https://www.ijcai.org/proceedings/2026/656,https://www.ijcai.org/proceedings/2026/0656.pdf,TOP_related
