Sub-category,Type,Vol,Title,Authors,DOI,Paper_Link,Category
Document / text,Dataset,133.0,RealDTT: Towards A Comprehensive Real-World Dataset for Tampered Text Detection,"Junxian Duan, Hao Sun, Fan Ji, Kai Zhou, Zhiyong Wang, Huaibo Huang, Lianwen Jin",10.1007/s11263-025-02515-2,https://doi.org/10.1007/s11263-025-02515-2,TOP_related
Document / text,Dataset,133.0,Zero-Shot Paragraph-level Handwriting Imitation with Latent Diffusion Models,"Martin Mayr, Marcel Dreier, Florian Kordon, Mathias Seuret, Jochen Zöllner, Fei Wu, Andreas Maier, Vincent Christlein",10.1007/s11263-025-02525-0,https://doi.org/10.1007/s11263-025-02525-0,TOP_related
Document / text,Method,133.0,DocScanner: Robust Document Image Rectification with Progressive Learning,"Hao Feng, Wengang Zhou, Jiajun Deng, Qi Tian, Houqiang Li",10.1007/s11263-025-02431-5,https://doi.org/10.1007/s11263-025-02431-5,TOP_related
Document / text,Method,133.0,SwinTextSpotter v2: Towards Better Synergy for Scene Text Spotting,"Mingxin Huang, Dezhi Peng, Hongliang Li, Zhenghao Peng, Chongyu Liu, Dahua Lin, Yuliang Liu, Xiang Bai, Lianwen Jin",10.1007/s11263-025-02428-0,https://doi.org/10.1007/s11263-025-02428-0,TOP_related
Document / text,Method,133.0,"IPAD: Iterative, Parallel, and Diffusion-Based Network for Scene Text Recognition","Xiaomeng Yang, Zhi Qiao, Yu Zhou",10.1007/s11263-025-02443-1,https://doi.org/10.1007/s11263-025-02443-1,TOP_related
Document / text,Method,133.0,Self-Supervised Learning for Text Recognition: A Critical Survey,"Carlos Penarrubia, Jose J. Valero-Mas, Jorge Calvo-Zaragoza",10.1007/s11263-025-02487-3,https://doi.org/10.1007/s11263-025-02487-3,TOP_related
Layout,Method,133.0,Smaller But Better: Unifying Layout Generation with Smaller Large Language Models,"Peirong Zhang, Jiaxin Zhang, Jiahuan Cao, Hongliang Li, Lianwen Jin",10.1007/s11263-025-02353-2,https://doi.org/10.1007/s11263-025-02353-2,TOP_related
MLLM related,Method,133.0,Visual Instruction Tuning towards General-Purpose Multimodal Large Language Model: A Survey,"Jiaxing Huang, Jingyi Zhang, Kai Jiang, Han Qiu, Xiaoqin Zhang, Ling Shao, Shijian Lu, Dacheng Tao",10.1007/s11263-025-02572-7,https://doi.org/10.1007/s11263-025-02572-7,TOP_related
MLLM related,Method,134.0,Attention Reallocation: Towards Zero-cost and Controllable Hallucination Mitigation of MLLMs,"Chongjun Tu, Peng Ye, Dongzhan Zhou, Lei Bai, Gang Yu, Tao Chen, Wanli Ouyang",10.1007/s11263-025-02607-z,https://doi.org/10.1007/s11263-025-02607-z,TOP_related
MLLM related,Method,133.0,ADEM-VL: Adaptive and Embedded Fusion for Efficient Vision-Language Tuning,"Zhiwei Hao, Jianyuan Guo, Li Shen, Yong Luo, Han Hu, Yonggang Wen",10.1007/s11263-025-02440-4,https://doi.org/10.1007/s11263-025-02440-4,TOP_related
