Type,Vol_Issue,Published,Title,Authors,DOI,Paper_Link,Category
Dataset,Online First,2026-7-1,IndianPCL: A Dataset for Multimodal Legal Document Understanding,"Sagar Chakraborty, Neeraj Boddeda, Aditya Palakurty, Gaurav Harit, Saptarshi Ghosh",10.1007/s10032-026-00601-w,https://doi.org/10.1007/s10032-026-00601-w,1_DocUnderstanding_KIE_Layout
Dataset,Online First,2026-8-21,Literally reading behind the lines: a benchmark for OCR on cluttered printed documents,"Rajat Verma, Vriti Sharma, Manikandan Ravikiran, Rohit Saluja, Laxmidhar Behera",10.1007/s10032-026-00615-4,https://doi.org/10.1007/s10032-026-00615-4,1_DocUnderstanding_KIE_Layout
Dataset,Online First,2026-6-30,AIKON: a modular computer vision platform for historical corpora,"Ségolène Albouy, Somkeo Norindr, Paul Kervegan, Fouad Aouinti, Rémy Delanaux, Clara Grometto, Robin Champenois, Stavros Lazaris, Alexandre Guilbaud, Matthieu Husson, Mathieu Aubry",10.1007/s10032-026-00581-x,https://doi.org/10.1007/s10032-026-00581-x,1_DocUnderstanding_KIE_Layout
Method,29(2),2026-3-10,Beyond Accuracy: Understanding Model Confidence in Key Information Extraction with Conformal Prediction,"Alexander Rombach, Nijat Mehdiyev",10.1007/s10032-026-00572-y,https://doi.org/10.1007/s10032-026-00572-y,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-4-30,Unsupervised document and template clustering using multimodal embeddings,"Phillipe R. Sampaio, Helene Maxcici",10.1007/s10032-026-00591-9,https://doi.org/10.1007/s10032-026-00591-9,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-5-5,Complex Layout Analysis Algorithm in Chinese Ancient Mathematical Books,"Haolin Guo, Yanling Li, Jie Dong, Cui Zhang, Maoguo Gong",10.1007/s10032-026-00584-8,https://doi.org/10.1007/s10032-026-00584-8,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-5-5,"Tableseq: unified generation of structure, content, and layout","Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",10.1007/s10032-026-00586-6,https://doi.org/10.1007/s10032-026-00586-6,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-6-2,PILOT: A promptable interleaved layout-aware OCR transformer,"Laziz Hamdi, Amine Tamasna, Pascal Boisson, Thierry Paquet",10.1007/s10032-026-00590-w,https://doi.org/10.1007/s10032-026-00590-w,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-7-23,A document is worth a structured record: Principled inductive bias design for document recognition,"Benjamin Meyer, Lukas Tuggener, Sascha Hänzi, Daniel Schmid, Erdal Ayfer, Benjamin F. Grewe, Ahmed Abdulkadir, Thilo Stadelmann",10.1007/s10032-026-00602-9,https://doi.org/10.1007/s10032-026-00602-9,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-7-25,Extraction of literal information from clinical document images using deep learning and pattern recognition techniques,"Ravichandra Sriram, S. Siva Sathya",10.1007/s10032-026-00606-5,https://doi.org/10.1007/s10032-026-00606-5,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-8-25,DocDjinn: controllable synthetic document generation with VLMs and handwriting diffusion,"Marcel Lamott, Saifullah Saifullah, Nauman Riaz, Yves-Noel Weweler, Tobias Alt-Veit, Ahmad Sarmad Ali, Muhammad Armaghan Shakir, Adrian Kalwa, Momina Moetesum, Andreas Dengel, Sheraz Ahmed, Faisal Shafait, Ulrich Schwanecke, Adrian Ulges",10.1007/s10032-026-00604-7,https://doi.org/10.1007/s10032-026-00604-7,1_DocUnderstanding_KIE_Layout
Method,Online First,2026-4-30,DSRDiff: document image seen-through removal via progressive diffusion models,"Zongbao Liang, Jiaxin Gong, Yijie Wang, Jindong Xu",10.1007/s10032-026-00594-6,https://doi.org/10.1007/s10032-026-00594-6,1_DocUnderstanding_KIE_Layout
Dataset,Online First,2026-6-18,Bharat scene text: a novel comprehensive dataset and benchmark for indian language scene text understanding,"Anik De, Abhirama Subramanyam Penamakuri, Rajeev Yadav, Aditya Rathore, Harshiv Shah, Devesh Sharma, Sagar Agarwal, Pravin Kumar, Anand Mishra",10.1007/s10032-026-00583-9,https://doi.org/10.1007/s10032-026-00583-9,2_OCR_HTR_SceneText
Dataset,Online First,2026-5-7,Fidel: a large-scale sentence level Amharic OCR dataset,"Tunga Tessema Chamisso, Blessed Guda, Bereket Retta, Carmel Prosper Sagbo, Gabrial Zencha Ashungafac, Assane Gueye",10.1007/s10032-026-00593-7,https://doi.org/10.1007/s10032-026-00593-7,2_OCR_HTR_SceneText
Dataset,Online First,2026-8-1,Large language models for OCR in cultural heritage: a comparative study on Slovene Folkloristic texts,"Octavian M. Machidon, Jasmina Rejec, Domen Vreš, Alina L. Machidon",10.1007/s10032-026-00612-7,https://doi.org/10.1007/s10032-026-00612-7,2_OCR_HTR_SceneText
Dataset,Online First,2026-8-21,Benchmarking OCR and vision-language models for Turkish text recognition: a comprehensive evaluation using synthetic data,"Yasin Yılmaz, Erol Görkem Hanoğlu, Ayşe Gül Özkan, Kasım Öztoprak",10.1007/s10032-026-00613-6,https://doi.org/10.1007/s10032-026-00613-6,2_OCR_HTR_SceneText
Dataset,Online First,2026-7-2,A study of handwritten text recognition with cross-out words,"Gayan H. Pathirage, Simon Corbillé, Filip Wåhlin, Nazrul Islam, Elisa H. Barney Smith",10.1007/s10032-026-00603-8,https://doi.org/10.1007/s10032-026-00603-8,2_OCR_HTR_SceneText
Dataset,Online First,2026-8-25,Accurate localization of characters in handwritten words,"Said Yasin, Torsten Zesch",10.1007/s10032-026-00611-8,https://doi.org/10.1007/s10032-026-00611-8,2_OCR_HTR_SceneText
Dataset,29(2),2026-4-18,U-DIADS-TL: a novel dataset for text line segmentation in historical manuscripts,"Silvia Zottin, Axel De Nardin, Claudio Piciarelli, Gian Luca Foresti",10.1007/s10032-026-00585-7,https://doi.org/10.1007/s10032-026-00585-7,2_OCR_HTR_SceneText
Dataset,29(2),2026-2-17,Segmentation of Ink and Parchment in Dead Sea Scroll Fragments,"Berat Kurar-Barakat, Nachum Dershowitz",10.1007/s10032-025-00564-4,https://doi.org/10.1007/s10032-025-00564-4,2_OCR_HTR_SceneText
Dataset,Online First,2026-6-29,DKDS: A Benchmark Dataset of Degraded Kuzushiji Documents with Seals for Detection and Binarization,"Rui-Yang Ju, Kohei Yamashita, Hirotaka Kameko, Shinsuke Mori",10.1007/s10032-026-00595-5,https://doi.org/10.1007/s10032-026-00595-5,2_OCR_HTR_SceneText
Method,29(2),2026-3-19,An end-to-end malayalam handwritten word spotting framework integrated with automatic annotation,"Anitha Mary M. O. Chacko, D Harikrishnan, V J Manoj",10.1007/s10032-026-00571-z,https://doi.org/10.1007/s10032-026-00571-z,2_OCR_HTR_SceneText
Method,29(2),2026-4-3,A Novel Method for Spotting and Recognizing Texts in Odia ChitraKavyas,"Swarupananda Bissoyi, Santosh Kumar Das, Siba Kumar Udgata",10.1007/s10032-026-00570-0,https://doi.org/10.1007/s10032-026-00570-0,2_OCR_HTR_SceneText
Method,29(2),2026-1-7,Handwritten text line segmentation with TextSAM: An enhanced segment anything model via multi-module fusion,"Yunjie Xiang, Yukai Xian, Xianmu Cairang, Gesang Dorji, Pubu Danzeng, Qijun Zhao",10.1007/s10032-025-00567-1,https://doi.org/10.1007/s10032-025-00567-1,2_OCR_HTR_SceneText
Method,29(2),2026-2-4,Contour thinning for text detection in Mongolian handwritten historical documents,"Liuxu Ding, Yuefeng Liu",10.1007/s10032-026-00569-7,https://doi.org/10.1007/s10032-026-00569-7,2_OCR_HTR_SceneText
Method,Online First,2026-3-30,Domain Adaptation Based Pipeline for Character Classification and Handwritten Text Recognition,"Florent Imbert, Simon Corbillé, Hui Han, Elisa H. Barney Smith",10.1007/s10032-026-00575-9,https://doi.org/10.1007/s10032-026-00575-9,2_OCR_HTR_SceneText
Method,29(2),2026-4-18,Global and sequence-level information maximization for self-supervised scene text recognition,"Sungsu Kim, Seoung Bum Kim",10.1007/s10032-026-00577-7,https://doi.org/10.1007/s10032-026-00577-7,2_OCR_HTR_SceneText
Method,Online First,2026-4-25,Predicting text recognition word error rate of image documents without ground truth transcripts,"Enrique Vidal, Alejandro H. Toselli",10.1007/s10032-026-00578-6,https://doi.org/10.1007/s10032-026-00578-6,2_OCR_HTR_SceneText
Method,29(2),2026-4-27,EMBFN: an efficient multi-scale bidirectional parallel fusion network for answer sheet text analysis,"Pengbin Fu, Gaizhi Guo, Yongqiang Song, Huirong Yang",10.1007/s10032-026-00592-8,https://doi.org/10.1007/s10032-026-00592-8,2_OCR_HTR_SceneText
Method,Online First,2026-5-20,Difficulty-aware multi-scale feature pyramid network for transformer-based offline Chinese handwritten text line recognition,"Zechong Yang, Yuxin Wu",10.1007/s10032-026-00597-3,https://doi.org/10.1007/s10032-026-00597-3,2_OCR_HTR_SceneText
Method,Online First,2026-5-26,DARE: A large-scale handwritten DAte REcognition system,"Christian M. Dahl, Torben S. D. Johansen, Emil N. Sørensen, Christian E. Westmermann, Simon F. Wittrock",10.1007/s10032-026-00587-5,https://doi.org/10.1007/s10032-026-00587-5,2_OCR_HTR_SceneText
Method,Online First,2026-6-15,LayoutGAT: layout-aware handwritten text recognition with graph attention networks,"ZhengDong Hou, Yushi Ren, Zhibo Ding",10.1007/s10032-026-00600-x,https://doi.org/10.1007/s10032-026-00600-x,2_OCR_HTR_SceneText
Method,Online First,2026-6-30,APAU-Net: Adaptive prior-aware U-Net for handwritten text-line segmentation in historical documents,"Mohamed Amine Beghoura, Abdelouahab Attia, Abderraouf Bouziane, M. Hassaballah",10.1007/s10032-026-00599-1,https://doi.org/10.1007/s10032-026-00599-1,2_OCR_HTR_SceneText
Method,Online First,2026-7-26,Handwritten Text Recognition for Historical Latin Manuscripts via Model Adaptation and Synthetic Data Augmentation,"Maria Mihaela Trusca, Mark Depauw, Margherita Fantoli, Violet Soen, Ine de Daele, Kevin Verbruggen, Tim Van de Cruys",10.1007/s10032-026-00605-6,https://doi.org/10.1007/s10032-026-00605-6,2_OCR_HTR_SceneText
