Type,Sub-category,Vol,Title,Authors,Pages,DOI,Paper_Link,Has_Abstract,Category
Dataset,-,V.2 (Cycle 2),DocRetriever: A Plug-and-Play Framework for Multimodal Document Retrieval with Comprehensive Benchmark,"Ruofan Hu, Menghui Zhu, Jieming Zhu, Bo Chen, Shengyang Xu, Minjie Hong, Xiaoda Yang, Sashuai Zhou, Li Tang, Tao Jin, Zhou Zhao",1780-1791,10.1145/3770855.3817680,https://doi.org/10.1145/3770855.3817680,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),CRAG-MM: Multi-modal Multi-turn Comprehensive RAG Benchmark,"Jiaqi Wang, Xiao Yang, Kai Sun, Parth Suresh, Sanat Sharma, Adam Czyzewski, Derek Andersen, Surya Appini, Arkav Banerjee, Sajal Choudhary, Shervin Ghasemlou, Ziqiang Guan, Akil Iyer, Haidar Khan, Lingkun Kong, Yuanhang Luo, Tiffany Ma, Zhen Qiao, Tammy Stark, David Tran, Wenfang Xu, Skyler Yeatman, Chen Zhou, Gunveer Gujral, Yinglong Xia, Seungwhan Moon, Nicolas Scheffer, Nirav Shah, Eun Chang, Yue Liu, Florian Metze, Zhaleh Feizollahi, Andrea Jessee, Mangesh Pujari, Ahmed Aly, Babak Damavandi, Rakesh Wanga, Anuj Kumar, Rohit Patel, Wen-tau Yih, Xin Luna Dong",9906-9915,10.1145/3770855.3817544,https://doi.org/10.1145/3770855.3817544,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),RAViG-Bench: A Benchmark for Retrieval-Augmented Visually-Rich Generation with Multi-Modal Automated Evaluation,"Qirui Hu, Shunlei Ning, Chong Bao, Guanyu Chen, Jiaotuan Wang, Wei Yang, Hao Chen, Xuepeng Jia, Wei Zhou, Guofeng Zhang",9091-9102,10.1145/3770855.3817479,https://doi.org/10.1145/3770855.3817479,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),From Rows to Reasoning: A Retrieval-Augmented Multimodal Framework for Spreadsheet Understanding,"Anmol Gulati, Sahil Sen, Waqar Sarguroh, Kevin Paul",1393-1403,10.1145/3770855.3817962,https://doi.org/10.1145/3770855.3817962,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),"IPO-Mine: A Toolkit and Dataset for Section-Structured Analysis of Long, Multimodal IPO Documents","Michael Galarnyk, Siddharth Lohani, Sagnik Nandi, Aman Patel, Vidhyakshaya Kannan, Prasun Banerjee, Rutwik Routu, Liqin Ye, Siddhartha Somani, Arnav Hiray, Sudheer Chava",8882-8893,10.1145/3770855.3817580,https://doi.org/10.1145/3770855.3817580,NO,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),DTBench: A Synthetic Benchmark for Document-to-Table Extraction,"Yuxiang Guo, Zhuoran Du, Nan Tang, Kezheng Tang, Congcong Ge, Yunjun Gao",8942-8953,10.1145/3770855.3817516,https://doi.org/10.1145/3770855.3817516,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),Benchmarking Table Extraction from Heterogeneous Scientific PDF Documents,"Marijan Soric, Cécile Gracianne, Ioana Manolescu, Pierre Senellart",9813-9823,10.1145/3770855.3817462,https://doi.org/10.1145/3770855.3817462,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),Benchmarking Multimodal LLMs on Recognition and Understanding over Chemical Tables,"Yitong Zhou, Mingyue Cheng, Qingyang Mao, Yucong Luo, Qi Liu, Yupeng Li, Xiaohan Zhang, Deguang Liu, Xin Li, Enhong Chen",13099-13110,10.1145/3770855.3818823,https://doi.org/10.1145/3770855.3818823,yes,1_Core_VDU_DocRAG
Dataset,-,V.2 (Cycle 2),Fin-RATE: A Real-world Financial Analytics and Tracking Evaluation Benchmark for LLMs on SEC Filings,"Yidong Jiang, Junrong Chen, Eftychia Makri, Jialin Chen, Peiwen Li, Ali Maatouk, Leandros Tassiulas, Eliot Brenner, Bing Xiang, Rex Ying",9183-9194,10.1145/3770855.3817528,https://doi.org/10.1145/3770855.3817528,yes,1_Core_VDU_DocRAG
Method,-,V.2 (Cycle 2),Multi-Modal Hierarchical Retrieval-Augmented Generation for Document Question Answering,"Jiayuan Wang, Jie Lian, Fu Zhao, Zhenghong Lin, Hongrong Chen, Shiping Wang",12243-12254,10.1145/3770855.3819034,https://doi.org/10.1145/3770855.3819034,yes,1_Core_VDU_DocRAG
