Type,Decision,Title,Authors,Paper_Link,PDF_Link,Category
Dataset,Accept (poster),Benchmarking Retrieval-Augmented Multimomal Generation for Document Question Answering,"Kuicai Dong, CHANG YUJING, Shijie Huang, Yasheng Wang, Ruiming Tang, Yong Liu",https://openreview.net/forum?id=W4b3v9jx1p,https://openreview.net/pdf?id=W4b3v9jx1p,1_Core_VDU_DocRAG
Dataset,Accept (poster),OCRBench v2: An Improved Benchmark for Evaluating Large Multimodal Models on Visual Text Localization and Reasoning,"Ling Fu, Zhebin Kuang, Jiajun Song, Mingxin Huang, Biao Yang, Yuzhe Li, Linghao Zhu, Qidi Luo, Xinyu Wang, Hao Lu, Zhang Li, Guozhi Tang, Bin Shan, Chunhui Lin, Qi Liu, Binghong Wu, Hao Feng, Hao Liu, Can Huang, Jingqun Tang, Wei Chen, Lianwen Jin, Yuliang Liu, Xiang Bai",https://openreview.net/forum?id=Vb6i3Dp24N,https://openreview.net/pdf?id=Vb6i3Dp24N,1_Core_VDU_DocRAG
Dataset,Accept (poster),Seeing is Believing? Mitigating OCR Hallucinations in Multimodal Large Language Models,"zhentao he, Can Zhang, Ziheng Wu, Zhenghao Chen, Yufei Zhan, Yifan Li, Zhao Zhang, Xian Wang, Minghui Qiu",https://openreview.net/forum?id=bjoHB7IN6b,https://openreview.net/pdf?id=bjoHB7IN6b,1_Core_VDU_DocRAG
Dataset,Accept (poster),MME-VideoOCR: Evaluating OCR-Based Capabilities of Multimodal LLMs in Video Scenarios,"Yang Shi, Huanqian Wang, Xie, Huanyao Zhang, Lijie Zhao, yifan zhang, Xinfeng Li, Chaoyou Fu, Zhuoer Wen, Wenting Liu, Zhuoran Zhang, Xinlong Chen, Bohan Zeng, Sihan Yang, Yushuo Guan, Zhang Zhang, Liang Wang, Haoxuan Li, Zhouchen Lin, Yuanxing Zhang, Pengfei Wan, Haotian Wang, Wenjing Yang",https://openreview.net/forum?id=hW7Bpu6Kbn,https://openreview.net/pdf?id=hW7Bpu6Kbn,1_Core_VDU_DocRAG
Dataset,Accept (poster),FreshStack: Building Realistic Benchmarks for Evaluating Retrieval on Technical Documents,"Nandan Thakur, Jimmy Lin, Samuel Havens, Michael Carbin, Omar Khattab, Andrew Drozdov",https://openreview.net/forum?id=54TTgXlS2U,https://openreview.net/pdf?id=54TTgXlS2U,1_Core_VDU_DocRAG
Dataset,Accept (poster),Paper2Poster: Towards Multimodal Poster Automation from Scientific Papers,"Wei Pang, Kevin Qinghong Lin, Xiangru Jian, Xi He, Philip Torr",https://openreview.net/forum?id=p0E74lpRBD,https://openreview.net/pdf?id=p0E74lpRBD,1_Core_VDU_DocRAG
Method,Accept (poster),VRAG-RL: Empower Vision-Perception-Based RAG for Visually Rich Information Understanding via Iterative Reasoning with Reinforcement Learning,"Qiuchen Wang, Ruixue Ding, Yu Zeng, Zehui Chen, Lin Chen, Shihang Wang, Pengjun Xie, Fei Huang, Feng Zhao",https://openreview.net/forum?id=EeAHhNwXPV,https://openreview.net/pdf?id=EeAHhNwXPV,1_Core_VDU_DocRAG
Method,Accept (poster),AlignVLM: Bridging Vision and Language Latent Spaces for Multimodal Document Understanding,"Ahmed Masry, Juan Rodriguez, Tianyu Zhang, Suyuchen Wang, Chao Wang, Aarash Feizi, Akshay Kalkunte Suresh, Abhay Puri, Xiangru Jian, Pierre-André Noël, Sathwik Tejaswi Madhusudhan, Marco Pedersoli, Bang Liu, Nicolas Chapados, Yoshua Bengio, Enamul Hoque, Chris Pal, Issam Hadj Laradji, David Vazquez, Perouz Taslakian, Spandana Gella, Sai Rajeswar Mudumba",https://openreview.net/forum?id=vAxGuGmshO,https://openreview.net/pdf?id=vAxGuGmshO,1_Core_VDU_DocRAG
Method,Accept (spotlight),Uni-MuMER: Unified Multi-Task Fine-Tuning of Vision-Language Model for Handwritten Mathematical Expression Recognition,"Yu Li, Jin Jiang, Jianhua Zhu, Shuai Peng, Baole, Yuxuan Zhou, Liangcai Gao",https://openreview.net/forum?id=oHbVboLXz6,https://openreview.net/pdf?id=oHbVboLXz6,1_Core_VDU_DocRAG
Dataset,Accept (poster),ChartMuseum: Testing Visual Reasoning Capabilities of Large Vision-Language Models,"Liyan Tang, Grace Kim, Xinyu Zhao, Thom Lake, Wenxuan Ding, Fangcong Yin, Prasann Singhal, Manya Wadhwa, Zeyu Liu, Zayne Sprague, Ramya Namuduri, Bodun Hu, Juan Rodriguez, Puyuan Peng, Greg Durrett",https://openreview.net/forum?id=qLdX6TA19s,https://openreview.net/pdf?id=qLdX6TA19s,2_Chart_Table
Dataset,Accept (poster),InfoChartQA: A Benchmark for Multimodal Question Answering on Infographic Charts,"Tianchi Xie, Minzhi Lin, Mengchen Liu, Yilin Ye, Changjian Chen, Shixia Liu",https://openreview.net/forum?id=yzuPL2EXAn,https://openreview.net/pdf?id=yzuPL2EXAn,2_Chart_Table
Dataset,Accept (poster),MMTU: A Massive Multi-Task Table Understanding and Reasoning Benchmark,"Junjie Xing, Yeye He, Mengyu Zhou, Haoyu Dong, Shi Han, Lingjiao Chen, Dongmei Zhang, Surajit Chaudhuri, H. V. Jagadish",https://openreview.net/forum?id=ryUzgwD6UQ,https://openreview.net/pdf?id=ryUzgwD6UQ,2_Chart_Table
Method,Accept (poster),ChartSketcher: Reasoning with Multimodal Feedback and Reflection for Chart Understanding,"Muye Huang, Lingling Zhang, Jie Ma, Han Lai, Fangzhi Xu, Yifei Li, Wenjun Wu, Yaqiang Wu, Jun Liu",https://openreview.net/forum?id=BxRsXqjWft,https://openreview.net/pdf?id=BxRsXqjWft,2_Chart_Table
Dataset,Accept (poster),Worse than Zero-shot? A Fact-Checking Dataset for Evaluating the Robustness of RAG Against Misleading Retrievals,"Linda Zeng, Rithwik Gupta, Divij Motwani, Yi Zhang, Diji Yang",https://openreview.net/forum?id=R4MeWTeVej,https://openreview.net/pdf?id=R4MeWTeVej,3_RAG_Retrieval
Dataset,Accept (poster),AdaVideoRAG: Omni-Contextual Adaptive Retrieval-Augmented Efficient Long Video Understanding,"Xue zhucun, Jiangning Zhang, Xie Xurong, Yuxuan Cai, Yong Liu, Xiangtai Li, Dacheng Tao",https://openreview.net/forum?id=FDAI0PY9Qp,https://openreview.net/pdf?id=FDAI0PY9Qp,3_RAG_Retrieval
Method,Accept (poster),EAReranker: Efficient Embedding Adequacy Assessment for Retrieval Augmented Generation,"Dongyang Zeng, Yaping Liu, Wei Zhang, Shuo Zhang, Xinwang Liu, Binxing Fang",https://openreview.net/forum?id=mzxGGzeLCL,https://openreview.net/pdf?id=mzxGGzeLCL,3_RAG_Retrieval
Method,Accept (poster),RAGRouter: Learning to Route Queries to Multiple Retrieval-Augmented Language Models,"Jiarui Zhang, Xiangyu Liu, Yong Hu, Chaoyue Niu, Fan Wu, Guihai Chen",https://openreview.net/forum?id=4VKVUmE1I8,https://openreview.net/pdf?id=4VKVUmE1I8,3_RAG_Retrieval
Method,Accept (spotlight),Can Knowledge-Graph-based Retrieval Augmented Generation Really Retrieve What You Need?,"Junchi Yu, Yujie Liu, Jindong Gu, Philip Torr, Dongzhan Zhou",https://openreview.net/forum?id=po0eyoYFUa,https://openreview.net/pdf?id=po0eyoYFUa,3_RAG_Retrieval
Method,Accept (poster),ReliabilityRAG: Effective and Provably Robust Defense for RAG-based Web-Search,"Zeyu Shen, Basileal Imana, Tong Wu, Chong Xiang, Prateek Mittal, Aleksandra Korolova",https://openreview.net/forum?id=D9JeNTs5Bu,https://openreview.net/pdf?id=D9JeNTs5Bu,3_RAG_Retrieval
Method,Accept (poster),Cooperative Retrieval-Augmented Generation for Question Answering: Mutual Information Exchange and Ranking by Contrasting Layers,"Youmin Ko, Sungjong Seo, Hyunjoon Kim",https://openreview.net/forum?id=D2XdJf1tXW,https://openreview.net/pdf?id=D2XdJf1tXW,3_RAG_Retrieval
Method,Accept (poster),DSAS: A Universal Plug-and-Play Framework for Attention Optimization in Multi-Document Question Answering,"Jiakai Li, Rongzheng Wang, Yizhuo Ma, Shuang Liang, Guangchun Luo, Ke Qin",https://openreview.net/forum?id=y68Q09Vc4K,https://openreview.net/pdf?id=y68Q09Vc4K,3_RAG_Retrieval
Method,Accept (poster),GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation,"LINHAO LUO, Zicheng Zhao, Reza Haffari, Dinh Phung, Chen Gong, Shirui Pan",https://openreview.net/forum?id=0QNmAvQQqj,https://openreview.net/pdf?id=0QNmAvQQqj,3_RAG_Retrieval
Method,Accept (poster),Reliable Decision‑Making via Calibration‑Oriented Retrieval‑Augmented Generation,"Chaeyun Jang, Deukhwan Cho, Seanie Lee, Hyungi Lee, Juho Lee",https://openreview.net/forum?id=Rgk129n73h,https://openreview.net/pdf?id=Rgk129n73h,3_RAG_Retrieval
Method,Accept (poster),Improving Retrieval-Augmented Generation through Multi-Agent Reinforcement Learning,"Yiqun Chen, Lingyong Yan, Weiwei Sun, Xinyu Ma, Yi Zhang, Shuaiqiang Wang, Dawei Yin, Yiming Yang, Jiaxin Mao",https://openreview.net/forum?id=9Ia0KiVAut,https://openreview.net/pdf?id=9Ia0KiVAut,3_RAG_Retrieval
Method,Accept (poster),SeCon-RAG: A Two-Stage Semantic Filtering and Conflict-Free Framework for Trustworthy RAG,"Xiaonan Si, Meilin Zhu, Simeng Qin, Lijia Yu, Lijun Zhang, Shuaitong Liu, Xinfeng Li, Ranjie Duan, Yang Liu, Xiaojun Jia",https://openreview.net/forum?id=tTwZhy8JqY,https://openreview.net/pdf?id=tTwZhy8JqY,3_RAG_Retrieval
Method,Accept (poster),DynamicRAG: Leveraging Outputs of Large Language Model as Feedback for Dynamic Reranking in Retrieval-Augmented Generation,"Jiashuo Sun, Xianrui Zhong, Sizhe Zhou, Jiawei Han",https://openreview.net/forum?id=NuCtKoflsV,https://openreview.net/pdf?id=NuCtKoflsV,3_RAG_Retrieval
