Type,Vol,Published,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Dataset,172,2026-4,mChartQA and mChartQABench: A multimodal-only solution for complex chart question-answering,"Jingxuan Wei, Nan Xu, Guiyong Chang, Yin Luo, Bihui Yu, Ruifeng Guo",10.1016/j.patcog.2025.112348,https://doi.org/10.1016/j.patcog.2025.112348,NO,1_Core_VDU_Doc
Method,169,2026-1,MGRAG: MultiModal grid-aware retrieval augmentation generation framework for power grid work tickets,"Jiangbing Mao, Chenfeng Zheng, Wenliang Liu, Zhihong Zhang",10.1016/j.patcog.2025.111845,https://doi.org/10.1016/j.patcog.2025.111845,NO,1_Core_VDU_Doc
Method,170,2026-2,Mamba-YOLO: Multi-level adaptive rectangular convolution for Document Layout Analysis,"Wenkang Ma, Mingzhe Cao, Jinyue Ma, Zhenyang Dong, Chaozhi Yang, Zongmin Li",10.1016/j.patcog.2025.112031,https://doi.org/10.1016/j.patcog.2025.112031,NO,1_Core_VDU_Doc
Method,171,2026-3,DocAligner: Automating the annotation of photographed documents through real-virtual alignment,"Jiaxin Zhang, Peirong Zhang, Huiyi Cheng, Xinhong Chen, Haowei Xu, Kai Ding, Lianwen Jin",10.1016/j.patcog.2025.112191,https://doi.org/10.1016/j.patcog.2025.112191,NO,1_Core_VDU_Doc
Method,171,2026-3,Reasoning elicitation and multi-granularity contrastive learning for text-rich image understanding in large vision-language models,"Jiazhi Xia, Xiangyu Zhu, Bingchuan Jiang, Shichao Kan",10.1016/j.patcog.2025.112278,https://doi.org/10.1016/j.patcog.2025.112278,NO,1_Core_VDU_Doc
Method,172,2026-4,Robust scene text understanding with OCR token and word alignment for Text-VQA and text-caption,"Zan-Xia Jin, Pinle Qin, Suzhen Lin, Jia Qin, Shuangjiao Zhai, Jianchao Zeng, Xu-Cheng Yin",10.1016/j.patcog.2025.112362,https://doi.org/10.1016/j.patcog.2025.112362,NO,1_Core_VDU_Doc
Method,179,2026-11,AFH-Net: An adaptive feature harmonization network for document image De-warping,"Xinyue Zhou, Yuqi Liu, Nanfeng Jiang, Wang Man, Xu-Yao Zhang, Shunzhou Wang, Da-Han Wang",10.1016/j.patcog.2026.113608,https://doi.org/10.1016/j.patcog.2026.113608,NO,1_Core_VDU_Doc
Method,179,2026-11,DocSR-DETR: Enhancing Document Layout Analysis with emphasis on background regions of document images,"Wenjie Xu, Mayire Ibrayim, Quan Wang, Linying Wang",10.1016/j.patcog.2026.113944,https://doi.org/10.1016/j.patcog.2026.113944,NO,1_Core_VDU_Doc
Method,180,2026-12,VERSE: Visual Embedding Reduction and Space Exploration — Latent-space clustering for improving document understanding,"Ignacio de Rodrigo, Alvaro J. Lopez-Lopez, Jaime Boal",10.1016/j.patcog.2026.114448,https://doi.org/10.1016/j.patcog.2026.114448,NO,1_Core_VDU_Doc
Method,180,2026-12,FP-THD: Full page transcription of historical documents,"Hala Neji, Javier Nogueras-Iso, Javier Lacasta, Miguel Ángel Latre, Francisco Javier García-Marco",10.1016/j.patcog.2026.114351,https://doi.org/10.1016/j.patcog.2026.114351,yes,1_Core_VDU_Doc
