Type,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Dataset,Chain of Evidence: Pixel-Level Visual Attribution for Iterative Retrieval-Augmented Generation,"Peiyang Liu, Ziqiang Cui, Xi Wang, Di Liang, Wei Ye",10.1145/3805712.3809540,https://doi.org/10.1145/3805712.3809540,yes,1_Core_VisualDoc_Retrieval_RAG
Dataset,Visual-RAG: Benchmarking Text-to-Image Retrieval Augmented Generation for Visual Knowledge Intensive Queries,"Yin Wu, Quanyu Long, Jing Li, Jianfei Yu, Wenya Wang",10.1145/3805712.3808615,https://doi.org/10.1145/3805712.3808615,yes,1_Core_VisualDoc_Retrieval_RAG
Method,Visual RAG at Scale: Tile-Level Spatial Pooling for Efficient Multi-Vector Document Retrieval,Ara Yeroyan,10.1145/3805712.3808383,https://doi.org/10.1145/3805712.3808383,yes,1_Core_VisualDoc_Retrieval_RAG
Method,ReAlign: Optimizing the Visual Document Retriever with Reasoning-Guided Fine-Grained Alignment,"Hao Yang, Yifan Ji, Zhipeng Xu, Zhenghao Liu, Yukun Yan, Zulong Chen, Shuo Wang, Yu Gu, Ge Yu",10.1145/3805712.3809602,https://doi.org/10.1145/3805712.3809602,NO,1_Core_VisualDoc_Retrieval_RAG
Method,Attention Grounded Enhancement for Visual Document Retrieval,"Wanqing Cui, Wei Huang, Yazhi Guo, Yibo Hu, Meiguang Jin, Junfeng Ma, Keping Bi",10.1145/3805712.3809532,https://doi.org/10.1145/3805712.3809532,yes,1_Core_VisualDoc_Retrieval_RAG
Method,RegionSLM: Region-aware Question Answering on Document Screenshots,"Chao Wang, Hehe Fan, Huichen Yang, Sarvnaz Karimi, Lina Yao, Yi Yang",10.1145/3805712.3809603,https://doi.org/10.1145/3805712.3809603,yes,1_Core_VisualDoc_Retrieval_RAG
Method,Good Ranks Follow Good Answers: Unsupervised Answer-Driven Reranking for Multimodal Document QA,"Keyu Zhu, Shuanghong Shen, Xianquan Wang, Kai Zhang, Shijin Wang, Qi Liu, Zhenya Huang",10.1145/3805712.3809664,https://doi.org/10.1145/3805712.3809664,yes,1_Core_VisualDoc_Retrieval_RAG
Method,Purifying Multimodal Retrieval: Fragment-Level Evidence Selection for RAG,"Xihang Wang, Zihan Wang, Chengkai Huang, Cao Liu, Ke Zeng, Quan Z. Sheng, Lina Yao",10.1145/3805712.3809692,https://doi.org/10.1145/3805712.3809692,NO,1_Core_VisualDoc_Retrieval_RAG
Method,MEG-RAG: Quantifying Multi-modal Evidence Grounding for Evidence Selection in RAG,"Xihang Wang, Zihan Wang, Chengkai Huang, Quan Z. Sheng, Lina Yao",10.1145/3805712.3809947,https://doi.org/10.1145/3805712.3809947,yes,1_Core_VisualDoc_Retrieval_RAG
Method,Towards Mixed-Modal Retrieval for Universal Retrieval-Augmented Generation,"Chenghao Zhang, Guanting Dong, Xinyu Yang, Zhicheng Dou",10.1145/3805712.3809716,https://doi.org/10.1145/3805712.3809716,yes,1_Core_VisualDoc_Retrieval_RAG
