Type,Vol_Issue,Published,Title,Authors,Pages,DOI,Paper_Link,Category
Dataset,47(5),2025-5,Understand Layout and Translate Text: Unified Feature-Conductive End-to-End Document Image Translation,"Zhiyang Zhang, Yaping Zhang, Yupu Liang, Cong Ma, Lu Xiang, Yang Zhao, Yu Zhou, Chengqing Zong",3358-3376,10.1109/tpami.2025.3530998,https://doi.org/10.1109/tpami.2025.3530998,1_Doc_OCR_Text
Dataset,47(3),2025-3,Hi-SAM: Marrying Segment Anything Model for Hierarchical Text Segmentation,"Maoyuan Ye, Jing Zhang, Juhua Liu, Chenyu Liu, Baocai Yin, Cong Liu, Bo Du, Dacheng Tao",1431-1447,10.1109/tpami.2024.3495831,https://doi.org/10.1109/tpami.2024.3495831,1_Doc_OCR_Text
Dataset,47(4),2025-4,VimTS: A Unified Video and Image Text Spotter for Enhancing the Cross-Domain Generalization,"Yuliang Liu, Mingxin Huang, Hao Yan, Linger Deng, Weijia Wu, Hao Lu, Chunhua Shen, Lianwen Jin, Xiang Bai",2957-2972,10.1109/tpami.2025.3528950,https://doi.org/10.1109/tpami.2025.3528950,1_Doc_OCR_Text
Method,47(4),2025-4,Instruction-Guided Scene Text Recognition,"Yongkun Du, Zhineng Chen, Yuchen Su, Caiyan Jia, Yu-Gang Jiang",2723-2738,10.1109/tpami.2025.3525526,https://doi.org/10.1109/tpami.2025.3525526,1_Doc_OCR_Text
Method,47(6),2025-6,Context Perception Parallel Decoder for Scene Text Recognition,"Yongkun Du, Zhineng Chen, Caiyan Jia, Xiaoting Yin, Chenxia Li, Yuning Du, Yu-Gang Jiang",4668-4683,10.1109/tpami.2025.3545453,https://doi.org/10.1109/tpami.2025.3545453,1_Doc_OCR_Text
Method,47(5),2025-5,CCDPlus: Towards Accurate Character to Character Distillation for Text Recognition,"Tongkun Guan, Wei Shen, Xiaokang Yang",3546-3562,10.1109/tpami.2025.3533737,https://doi.org/10.1109/tpami.2025.3533737,1_Doc_OCR_Text
Method,47(12),2025-12,Enhanced Generative Structure Prior for Chinese Text Image Super-Resolution,"Xiaoming Li, Wangmeng Zuo, Chen Change Loy",11366-11381,10.1109/tpami.2025.3596329,https://doi.org/10.1109/tpami.2025.3596329,1_Doc_OCR_Text
Method,47(2),2025-2,VATr++: Choose Your Words Wisely for Handwritten Text Generation,"Bram Vanherle, Vittorio Pippi, Silvia Cascianelli, Nick Michiels, Frank Van Reeth, Rita Cucchiara",934-948,10.1109/tpami.2024.3481154,https://doi.org/10.1109/tpami.2024.3481154,1_Doc_OCR_Text
Method,47(3),2025-3,Partial Scene Text Retrieval,"Hao Wang, Minghui Liao, Zhouyi Xie, Wenyu Liu, Xiang Bai",1548-1563,10.1109/tpami.2024.3496576,https://doi.org/10.1109/tpami.2024.3496576,1_Doc_OCR_Text
Method,47(4),2025-4,TDGI: Translation-Guided Double-Graph Inference for Document-Level Relation Extraction,"Lingling Zhang, Yujie Zhong, Qinghua Zheng, Jun Liu, Qianying Wang, Jiaxin Wang, Xiaojun Chang",2647-2659,10.1109/tpami.2025.3528246,https://doi.org/10.1109/tpami.2025.3528246,1_Doc_OCR_Text
Dataset,47(3),2025-3,LVLM-EHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models,"Peng Xu, Wenqi Shao, Kaipeng Zhang, Peng Gao, Shuo Liu, Meng Lei, Fanqing Meng, Siyuan Huang, Yu Qiao, Ping Luo",1877-1893,10.1109/tpami.2024.3507000,https://doi.org/10.1109/tpami.2024.3507000,2_MLLM_related
Dataset,47(10),2025-10,New Dataset and Methods for Fine-Grained Compositional Referring Expression Comprehension via Specialist-MLLM Collaboration,"Xuzheng Yang, Junzhuo Liu, Peng Wang, Guoqing Wang, Yang Yang, Heng Tao Shen",8598-8612,10.1109/tpami.2025.3580090,https://doi.org/10.1109/tpami.2025.3580090,2_MLLM_related
Method,47(5),2025-5,RelationLMM: Large Multimodal Model as Open and Versatile Visual Relationship Generalist,"Chi Xie, Shuang Liang, Jie Li, Zhao Zhang, Feng Zhu, Rui Zhao, Yichen Wei",3515-3529,10.1109/tpami.2025.3531452,https://doi.org/10.1109/tpami.2025.3531452,2_MLLM_related
Method,47(5),2025-5,A Causality-Aware Paradigm for Evaluating Creativity of Multimodal Large Language Models,"Zhongzhan Huang, Shanshan Zhong, Pan Zhou, Shanghua Gao, Marinka Zitnik, Liang Lin",3830-3846,10.1109/tpami.2025.3539433,https://doi.org/10.1109/tpami.2025.3539433,2_MLLM_related
