Type,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Dataset,"UniTabBank: A Large Scale Multi-Lingual, Multi-Layout, Multi-Type, Multi-Format Dataset for Table Detection","Ajoy Mondal, Saumya Mundra, Avijit Dasgupta, C.V. Jawahar",https://openaccess.thecvf.com/content/WACV2026/html/Mondal_UniTabBank_A_Large_Scale_Multi-Lingual_Multi-Layout_Multi-Type_Multi-Format_Dataset_for_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Mondal_UniTabBank_A_Large_Scale_Multi-Lingual_Multi-Layout_Multi-Type_Multi-Format_Dataset_for_WACV_2026_paper.pdf,,1_Doc_Table_Form_Chart
Dataset,"CommonForms: A Large, Diverse Dataset for Form Field Detection",Joe Barrow,https://openaccess.thecvf.com/content/WACV2026/html/Barrow_CommonForms_A_Large_Diverse_Dataset_for_Form_Field_Detection_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Barrow_CommonForms_A_Large_Diverse_Dataset_for_Form_Field_Detection_WACV_2026_paper.pdf,https://arxiv.org/abs/2509.16506,1_Doc_Table_Form_Chart
Dataset,Zero-Shot Table Extraction in Business Documents: A Unified Benchmark with Error Taxonomy and Ecological Analysis,"Eliott Thomas, Mickael Coustaty, Aurélie Joseph, Tri-Cong Pham, Gaspar Deloin, Elodie Carel, Vincent Poulain D'andecy, Jean-Marc Ogier",https://openaccess.thecvf.com/content/WACV2026/html/Thomas_Zero-Shot_Table_Extraction_in_Business_Documents_A_Unified_Benchmark_with_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Thomas_Zero-Shot_Table_Extraction_in_Business_Documents_A_Unified_Benchmark_with_WACV_2026_paper.pdf,,1_Doc_Table_Form_Chart
Dataset,"Tables Decoded: DELTA for Structure, TARQA for Understanding","Jahanvi Rajput, Dhruv Kudale, Saikiran Kasturi, Utkarsh Verma, Ganesh Ramakrishnan",https://openaccess.thecvf.com/content/WACV2026/html/Rajput_Tables_Decoded_DELTA_for_Structure_TARQA_for_Understanding_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Rajput_Tables_Decoded_DELTA_for_Structure_TARQA_for_Understanding_WACV_2026_paper.pdf,,1_Doc_Table_Form_Chart
Dataset,Crash2DocAI: Automated Integration of Post-Crash Car Part Images into Technical Reports,"Vaclav Divis, Jessica Giovagnola, Khalil Ben Chikha, Marek Hrúz",https://openaccess.thecvf.com/content/WACV2026/html/Divis_Crash2DocAI_Automated_Integration_of_Post-Crash_Car_Part_Images_into_Technical_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Divis_Crash2DocAI_Automated_Integration_of_Post-Crash_Car_Part_Images_into_Technical_WACV_2026_paper.pdf,,1_Doc_Table_Form_Chart
Dataset,START: Spatial and Textual Learning for Chart Understanding,"Zhuoming Liu, Xiaofeng Gao, Feiyang Niu, Qiaozi Gao, Liu Liu, Robinson Piramuthu",https://openaccess.thecvf.com/content/WACV2026/html/Liu_START_Spatial_and_Textual_Learning_for_Chart_Understanding_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Liu_START_Spatial_and_Textual_Learning_for_Chart_Understanding_WACV_2026_paper.pdf,https://arxiv.org/abs/2512.07186,1_Doc_Table_Form_Chart
Dataset,ChartQA-X: Generating Explanations for Visual Chart Reasoning,"Shamanthak Hegde, Pooyan Fazli, Hasti Seifi",https://openaccess.thecvf.com/content/WACV2026/html/Hegde_ChartQA-X_Generating_Explanations_for_Visual_Chart_Reasoning_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Hegde_ChartQA-X_Generating_Explanations_for_Visual_Chart_Reasoning_WACV_2026_paper.pdf,https://arxiv.org/abs/2504.13275,1_Doc_Table_Form_Chart
Method,DocWaveDiff: A Predict-and-Refine approach for Document Image Enhancement with Wavelet U-Nets and Diffusion models,"Matteo Marulli, Marco Bertini",https://openaccess.thecvf.com/content/WACV2026/html/Marulli_DocWaveDiff_A_Predict-and-Refine_approach_for_Document_Image_Enhancement_with_Wavelet_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Marulli_DocWaveDiff_A_Predict-and-Refine_approach_for_Document_Image_Enhancement_with_Wavelet_WACV_2026_paper.pdf,,1_Doc_Table_Form_Chart
Dataset,Learning Beyond Labels: Self-Supervised Handwritten Text Recognition,"Shree Mitra, Ajoy Mondal, C.V. Jawahar",https://openaccess.thecvf.com/content/WACV2026/html/Mitra_Learning_Beyond_Labels_Self-Supervised_Handwritten_Text_Recognition_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Mitra_Learning_Beyond_Labels_Self-Supervised_Handwritten_Text_Recognition_WACV_2026_paper.pdf,,2_OCR_HTR_Text
Dataset,MIST: Multilingual Incidental Dataset for Scene Text Detection,"Saumya Mundra, Ajoy Mondal, C.V. Jawahar",https://openaccess.thecvf.com/content/WACV2026/html/Mundra_MIST_Multilingual_Incidental_Dataset_for_Scene_Text_Detection_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Mundra_MIST_Multilingual_Incidental_Dataset_for_Scene_Text_Detection_WACV_2026_paper.pdf,,2_OCR_HTR_Text
